case_id,sensor,sensor_kind,prediction_source_segment,baseline_residual_K,candidate_residual_K,delta_residual_K,baseline_abs_residual_K,candidate_abs_residual_K,delta_abs_residual_K,response_class,claim_boundary
salt_2,TP1,TP,top_horizontal_exit,-87.92395687812393,-87.61279728695939,0.3111595911645395,87.92395687812393,87.61279728695939,-0.3111595911645395,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TP2,TP,,,,,,,,not_evaluable,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TP3,TP,left_lower_vertical,-71.99877491658049,-71.35004964106577,0.648725275514721,71.99877491658049,71.35004964106577,-0.648725275514721,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TP4,TP,left_lower_vertical,-78.15520696979331,-77.6113263445846,0.5438806252087147,78.15520696979331,77.6113263445846,-0.5438806252087147,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TP5,TP,test_section,-77.51240681850976,-76.91833796232044,0.5940688561893239,77.51240681850976,76.91833796232044,-0.5940688561893239,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TP6,TP,left_upper_vertical,-85.65660972897336,-85.16453513311131,0.49207459586205005,85.65660972897336,85.16453513311131,-0.49207459586205005,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW1,TW,right_vertical,-82.5654417051071,-82.36518193173185,0.20025977337525092,82.5654417051071,82.36518193173185,-0.20025977337525092,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW10,TW,cooled_incline_hx_active,-24.0768651941367,-23.713881110041257,0.36298408409544436,24.0768651941367,23.713881110041257,-0.36298408409544436,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW11,TW,cooled_incline_post_hx,-81.91245394255543,-81.55663197062711,0.35582197192832155,81.91245394255543,81.55663197062711,-0.35582197192832155,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW2,TW,right_vertical,-87.85910936335051,-87.77232023060873,0.08678913274178512,87.85910936335051,87.77232023060873,-0.08678913274178512,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW3,TW,right_vertical,-90.04458167578917,-90.0562432691824,-0.011661593393228031,90.04458167578917,90.0562432691824,0.011661593393228031,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW4,TW,heated_incline,-88.97995704040545,-95.6693122991469,-6.689355258741443,88.97995704040545,95.6693122991469,6.689355258741443,worsens,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW5,TW,heated_incline,-109.09380824932663,-110.43452079501566,-1.3407125456890299,109.09380824932663,110.43452079501566,1.3407125456890299,worsens,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW6,TW,heated_incline,-98.32612150303572,-96.52503010041835,1.8010914026173737,98.32612150303572,96.52503010041835,-1.8010914026173737,improves,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW7,TW,left_lower_vertical,-80.81461106728568,-80.23144825657391,0.5831628107117695,80.81461106728568,80.23144825657391,-0.5831628107117695,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW8,TW,left_upper_vertical,-78.43118567652232,-77.90058786444672,0.5305978120755981,78.43118567652232,77.90058786444672,-0.5305978120755981,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
salt_2,TW9,TW,cooled_incline_pre_hx,-81.95315020396828,-81.52764562564698,0.42550457832129496,81.95315020396828,81.52764562564698,-0.42550457832129496,insensitive,train-only source-lane residual delta; not validation/holdout/external scoring
