topic,cfd_openfoam,current_1d_model,comparison_implication,primary_sources
Internal Nu role,"No imposed internal Nu correlation; internal heat transfer follows from solved temperature field and wall gradients.","Explicit internal_nusselt(Re,Pr,L/D) closure supplies Nu before h_i and R_i' are computed.","CFD Nu/HTC is a postprocessed diagnostic; 1D Nu/HTC is an input closure.","constant/momentumTransport; constant/thermophysicalTransport; ../cfd-modeling-tools/.../solver.py"
Momentum model,"simulationType laminar; default noSlip wall velocity with selected slip NCC neighbor patches.","1D loop bulk-flow model with friction/loss closures; internal thermal closure uses scalar segment Re.","CFD can resolve local velocity distortion; 1D uses segment-average flow quantities.","0/U; constant/momentumTransport; solver.py"
Thermal transport,"laminar Fourier transport with tabulated salt transport properties in physicalProperties.","Thermal resistance network with internal convection, wall, insulation, external convection, and optional radiation.","CFD solves internal field; 1D composes scalar resistances.","constant/thermophysicalTransport; constant/physicalProperties; solver.py"
External wall treatment,"externalTemperature/rcExternalTemperature/zeroGradient in 0/T; prescribed h/Ta/Tsur/layers/emissivity metadata; no resolved outside-air domain.","Natural-convection correlation plus optional linearized radiation and insulation resistance in 1D ambient-loss path.","Neither current model solves a full external-air CFD domain; their external closures differ in form and parameters.","0/T; reports/2026-07/.../external_boundary_setup_reference/README.md; solver.py"
CFD effective HTC,"Computed after the fact as wallHeatFlux_mean divided by wall_T_mean minus representative bulk temperature.","Not postprocessed from field gradients during solve; h_i is predicted from Nu*k/D with optional multipliers.","Do not present CFD effective HTC as the CFD closure law.","tools/analyze/build_patchwise_heat_ledger.py"
Effective Nu conversion,"Can be formed as Nu_eff=h_eff*D/k if diameter, bulk temperature, and conductivity conventions are fixed.","Nu is directly computed before h_i, and nusselt_inner is exported in segment states.","A clean comparison needs a shared convention for D, k(T), and bulk temperature.","build_patchwise_heat_ledger.py; solver.py"
Laminar 1D Nu,"Not applicable as a CFD input.","Nu=max(4.36,1.86*(Re*Pr/(L/D))^(1/3)) for Re<2300.","The 1D baseline embeds ideal-pipe/developing-flow assumptions that CFD may violate locally.","solver.py: internal_nusselt"
Turbulent 1D Nu,"Not applicable as a CFD input.","Nu=0.023*Re^0.8*Pr^0.4 for Re>=2300.","The high-Re branch is available in the solver but Salt cases of interest should be interpreted through actual segment Re diagnostics.","solver.py: internal_nusselt"
Internal HTC multiplier,"No equivalent solver input in the audited OpenFOAM dictionaries.","baseline mode gives multiplier 1.0; per_parent_multiplier mode injects positive branch/segment multipliers.","CFD-informed 1D forms must be labeled as fitted/diagnostic corrections, not CFD solve settings.","solver.py: ScenarioConfig and _internal_htc_multiplier_for_segment"
Profile descriptor HTC,"CFD field/profile evidence can inform descriptors after postprocessing.","profile_descriptor modes use shape and developing signals to form a bounded multiplier.","Profile descriptors are model-form corrections that compress CFD patterns into 1D scalars.","profile_descriptor_closure.py; solver.py"
HX cooler duty,"Cooler wallHeatFlux is a realized CFD boundary heat removal.","predictive_airside_hx computes air-side/salt-side UA and epsilon-NTU cooler duty; imposed_qhx mode can prescribe duty diagnostically.","Slide/report comparisons should separate predictive baseline from CFD-duty replays.","solver.py: _hx_airside_transfer; July 8 thermal replay packages"
Temperature marching,"CFD evolves coupled pressure/velocity/temperature fields in the OpenFOAM solve.","1D marches bulk segment temperatures using Q_source-Q_sink-Q_ambient over mdot*cp.","Agreement can improve when CFD duties are imposed because the energy balance is then forced closer to CFD.","solver.py: march_temperatures; July 8 fixed-mdot replay"
Mesh/UQ status,"Current effective Nu/UA/HTC closure observations remain coarse/no-GCI unless later mesh study admits them.","1D equations are deterministic once scenario inputs are chosen; uncertainty comes from closure validity and input support.","Paper claims should mark CFD-inferred closures as diagnostic until mesh-UQ is available.","tools/analyze/compute_gci.py; mesh-refinement reports"
Best current wording,"CFD resolves salt-side heat transfer; effective Nu/HTC is reconstructed from outputs.","1D closes internal convection with explicit Nu correlations and optional CFD-informed multipliers.","This avoids implying that both models use the same Nu law.","this report"
