source_id,source_path,source_type,used_for,evidence_status
openfoam_momentum,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/constant/momentumTransport,OpenFOAM dictionary,CFD laminar momentum setup,read_only_representative_case
openfoam_thermal_transport,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/constant/thermophysicalTransport,OpenFOAM dictionary,CFD Fourier thermal transport setup,read_only_representative_case
openfoam_physical_properties,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/constant/physicalProperties,OpenFOAM dictionary,temperature-dependent salt property setup,read_only_representative_case
openfoam_temperature_bc,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,OpenFOAM field dictionary,externalTemperature/rcExternalTemperature/zeroGradient wall thermal boundary evidence,read_only_representative_case
openfoam_velocity_bc,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/U,OpenFOAM field dictionary,noSlip and slip NCC wall velocity boundary evidence,read_only_representative_case
fluid_solver,../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,external 1D solver source,ScenarioConfig internal_htc_mode/internal_nusselt/wall resistance/HX epsilon-NTU/temperature marching,read_only_external_source
fluid_profile_descriptor,../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/profile_descriptor_closure.py,external 1D solver source,profile descriptor developing and shape signal definitions,read_only_external_source
july1_1d_setup,reports/2026-07/2026-07-01/2026-07-01_local_1d_closure_bakeoff_refresh/2026-07-01_one_d_setup_and_confidence.md,report,current defended 1D setup and branch thermal-closure assignment,existing_report
july8_boundary_reference,reports/2026-07/2026-07-09/2026-07-09_external_boundary_setup_reference/README.md,report,external wall boundary/setup synthesis and cooler-duty mismatch context,existing_report
patchwise_heat_ledger_tool,tools/analyze/build_patchwise_heat_ledger.py,analysis script,CFD effective internal convection diagnostic formula and heat-ledger interpretation,read_only_tool_source
june10_thermal_streamwise,reports/2026-06/2026-06-10/2026-06-10_ethan_salt2_case_analysis_package/thermal_streamwise_summary.csv,CSV report output,earlier streamwise effective HTC/UA diagnostic columns,existing_diagnostic_output
june15_branch_thermal,reports/2026-06/2026-06-15/2026-06-15_ethan_all_runs_field_transport_campaign/field_transport_branch_thermal_comparison.csv,CSV report output,branch-level effective HTC/UA diagnostic columns,existing_diagnostic_output
gci_tool,tools/analyze/compute_gci.py,analysis script,GCI and no-discretization-bound caveat for Nu/UA/HTC closures,read_only_tool_source
