area,status,what_we_can_say,provenance,key_numbers,next_needed
case_selection,paper_ready_policy,"Use Jin Salt mainline and continuation artifacts as current CFD evidence; keep Kirst as historical provenance unless explicitly re-admitted.","reports/2026-06/2026-06-29/2026-06-29_ethan_paper_case_inventory/README.md","paper-grade: Salt 1 Jin, Salt 2 Jin, Salt 3 Jin, Salt 4 Jin","Update paper case matrix and evidence map."
geometry,paper_ready_methods_after_crosscheck,"Use mesh-derived geometry and station provenance for closure extraction and ROM inputs.","AGENT-162; reports/2026-07/2026-07-01/2026-07-01_presentation_readiness_and_rom_agenda/paper_readiness_matrix.csv","90 geometry rows normalized","Carry exact geometry source path into pressure and thermal tables."
field_reduction,paper_ready_methods,"Use hybrid 3D-to-1D reductions with masks and quality gates; native zones/sets alone are insufficient.","reports/2026-06/2026-06-30/2026-06-30_3d_to_1d_field_reduction_methods/README.md","segment map: lower_leg heated, right_leg downcomer, upcomer left_lower/test_section/left_upper, upper_leg cooled","Integrate method text and pressure definitions into paper."
pressure_and_friction,meeting_ready_guardrail,"Only six audited rows are direct-friction candidates; buoyancy-contaminated apparent resistance rows must not be fitted as Darcy friction.","work_products/2026-07-01_rom_postprocessing_correctness_validation/pressure_friction_audit.csv","36 pressure/friction rows; 6 direct-friction candidates; 12 buoyancy-contaminated apparent-resistance rows","Implement variable-density buoyancy/mechanical-loss decomposition."
thermal_closure,near_paper_ready_with_gci_caveat,"Salt 2/3/4 Jin lower-leg HTC and UA' are credible energy-closure candidates; upcomer Nu is diagnostic under recirculation.","reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md","lower-leg HTC 252/269/288 W/m2-K; upcomer Nu 3.11/4.06/4.99","Complete GCI, sign, and property-temperature checks."
upcomer_flow_structure,meeting_ready_mechanism,"Upcomer flow is recirculating and buoyancy-dominated, not ordinary straight-pipe friction.","reports/2026-06/2026-06-29/2026-06-29_ethan_upcomer_recirculation_evidence/README.md","reversed-area fractions Salt 1-4 Jin about 0.607/0.625/0.663/0.680","Use as mechanism/trust boundary; fit only after broader true-steady support."
rom_validation,diagnostic,"June 23 defended 1D scenario is useful but not final predictive validation.","reports/2026-06/2026-06-23/2026-06-23_ethan_1d_closure_bakeoff/surface_summary.csv; reports/2026-07/2026-07-01/2026-07-01_presentation_readiness_and_rom_agenda/paper_readiness_matrix.csv","best energy error 11.274%; mass-flow relative error 26.691%","Score mass flow, heat balance, pressure distribution, and sensor temperatures together."
rom_1p4_boundary,diagnostic,"The local 1.4 in insulation boundary scenario and compact dense closure fits are now available for comparison.","reports/2026-07/2026-07-01/2026-07-01_rom_model_form_fits_and_1p4_boundary/README.md","best compact Salt 2-4 mdot MAE 3.103%; RMSE 3.594%; mean energy error 14.027%","Run full dense fit only after scoring vector and compute budget are agreed."
mesh_uncertainty,blocked,"No mesh-independence or GCI bound is available for final uncertainty claims.","reports/2026-07/2026-07-01/2026-07-01_presentation_readiness_and_rom_agenda/paper_readiness_matrix.csv; active AGENT-171 status","single delivered mesh level only","Follow AGENT-171 mesh/self-generation results tomorrow."
long_cfd_runs,running_or_unverified,"Four long CFD jobs are running but convergence and latest-window quality were not assessed in this package.","squeue at 2026-07-01T17:53:03-0500","jobs 3265969, 3265970, 3265971, 3265972 running at age 2-00:34:37","Inspect residuals, heat balance, mdot stability, and latest-window reductions."
scaling_study,postponed,"Scaling jobs were not submitted in this cycle; one planned scaling job from yesterday should be resubmitted when scaling resumes.","user request and AGENT-170/172 notes","none submitted","Record in scaling TODO and resubmit when the scaling study is reopened."
experimental_validation,future_work,"Real predictive credibility requires experimental validation with uncertainty and station mapping.","reports/2026-07/2026-07-01/2026-07-01_presentation_readiness_and_rom_agenda/experimental_validation_next_steps.md","planned only","Define experiment-data contract and calibration/validation split."
