source_id,source_type,path_or_glob,review_status,used_for,current_role,next_action
paper_case_inventory,report,"reports/2026-06/2026-06-29/2026-06-29_ethan_paper_case_inventory/README.md",reviewed_current_anchor,"case selection, run class, Jin/Kirst policy",paper_ready_policy,"Use in paper case matrix and provenance section."
reduction_contract_audit,report,"reports/2026-06/2026-06-29/2026-06-29_ethan_reduction_contract_audit/README.md",reviewed_current_anchor,"source roots, station/branch contract, reduction provenance",paper_ready_methods,"Use in paper evidence map and appendix."
closure_status_gate,report,"reports/2026-06/2026-06-29/2026-06-29_ethan_closure_status_gate/README.md",reviewed_current_anchor,"defended/support-gated/diagnostic/blocked closure classes",paper_ready_guardrail,"Use to prevent overclaiming closure support."
upcomer_recirculation,report,"reports/2026-06/2026-06-29/2026-06-29_ethan_upcomer_recirculation_evidence/README.md",reviewed_current_anchor,"upcomer reversed-area fractions and mechanism evidence",meeting_ready_mechanism,"Add quantitative mechanism evidence with caveat."
pressure_drop_predictivity,report,"reports/2026-06/2026-06-29/2026-06-29_ethan_salt_pressure_drop_predictivity/README.md",reviewed_current_anchor,"local hydraulic replay and pressure-budget diagnostics",diagnostic,"Use as resistance sanity check, not final coupled validation."
field_reduction_methods,report,"reports/2026-06/2026-06-30/2026-06-30_3d_to_1d_field_reduction_methods/README.md",reviewed_current_anchor,"3D-to-1D methods, p_rgh/p0 roles, branch masks",paper_ready_methods,"Move into paper methods before using new closure tables."
claude_closure_results,report,"reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md",reviewed_current_anchor,"Salt 2-4 OF13 thermal closure values and confidence boundaries",near_paper_ready_with_gci_caveat,"Add table only with GCI/property/sign caveats."
presentation_readiness,report,"reports/2026-07/2026-07-01/2026-07-01_presentation_readiness_and_rom_agenda/**",reviewed_current_anchor,"paper readiness matrix, figure inventory, coefficient inventory",meeting_and_paper_queue,"Use as meeting agenda and paper-pass queue."
postprocessing_honesty_audit,report,"reports/2026-07/2026-07-01/2026-07-01_postprocessing_rom_honesty_audit/README.md",reviewed_current_anchor,"methodological honesty, pressure/HTC/ROM caution",internal_methods_guardrail,"Carry into paper-facing method/trust-boundary prose."
postprocessing_correctness_validation,report,"reports/2026-07/2026-07-01/2026-07-01_rom_postprocessing_correctness_validation/**",reviewed_current_anchor,"geometry reference, pressure/friction audit, closure observation tables",internal_validation_anchor,"Use for pressure and geometry guardrails."
rom_model_form_fits,report,"reports/2026-07/2026-07-01/2026-07-01_rom_model_form_fits_and_1p4_boundary/**",reviewed_current_anchor,"1.4 in boundary and compact dense model-form fits",diagnostic_not_final,"Use for internal ROM comparison; do not present as final prediction."
operational_paper_readiness,operational_notes,"operational_notes/06-26/30/2026-06-30_paper_package_readiness_index.md; operational_notes/06-26/30/2026-06-30_paper_readiness_checklist.md",reviewed_current_anchor,"paper citation priority and stale-package warnings",paper_integration_guide,"Use as paper-edit reading order."
run_classification_notes,operational_notes,"operational_notes/06-26/30/2026-06-30_run_classification_policy.md; operational_notes/06-26/30/2026-06-30_kirst_reference_cleanup.md",reviewed_current_anchor,"Kirst demotion and run-class policy",paper_ready_policy,"Apply before case-table edits."
active_july1_journals,journal_glob,".agent/journal/2026-07-01/*.md",partially_reviewed_current_surface,"AGENT-162 through AGENT-172 context and active blockers",current_work_context,"Re-read specific task journal before using that task's output."
main_june_journals,journal_glob,"journals/2026-06/2026-06-{23,25,26,29,30}_ethan_runs.md",inventoried_not_fully_audited,"historical chronology and high-level state",historical_context,"Full paper-pass audit still needed before citing older claims."
agent_june_journals,journal_glob,".agent/journal/2026-06-{23,25,26,29,30}/**/*.md",inventoried_not_fully_audited,"task-level provenance for older report packages",historical_context,"Audit only the rows tied to figures/tables being imported."
legacy_report_readmes,report_glob,"reports/2026-06/**/README.md",inventoried_not_fully_audited,"older Salt/Water analyses, some already in current paper",mixed_prior_or_superseded,"Use current readiness index to decide whether each is superseded."
paper_repo,paper_repo,"../papers/3d_analysis",inspected_read_only,"current manuscript gap check",external_read_only,"Open a separate paper-edit task before modifying."
