case_id,quantity,units,external_coarse_value,mainline_coarse_value,abs_delta,rel_delta,tolerance_type,tolerance_value,alignment_status,external_series_verdict,mainline_series_verdict,mainline_source_path,external_source_note
salt_test_2_jin,mdot_abs_mean_kg_s,kg/s,0.013156806406013957,0.013196283873081102,3.9477467067144945e-05,0.002991559400118273,relative,0.01,aligned,derived_composite,derived_composite,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_2_jin,wall_gross_duty_w,W,486.86950027088136,486.87377967590953,0.004279405028171368,8.78955739004877e-06,relative,0.01,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_2_jin,wall_heat_in_w,W,243.60873153021382,243.52473430947447,0.08399722073934868,0.0003448038180393827,relative,0.01,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_2_jin,wall_heat_out_w,W,-243.26076874066763,-243.3490453664351,0.0882766257674632,0.00036275723060485494,relative,0.01,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_2_jin,wall_net_q_w,W,0.3479627895461946,0.17568894303939808,0.1722738465067965,0.4950927273903979,absolute,5.0,aligned,drifting_or_oscillatory,drifting_or_oscillatory,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_2_jin,yplus_global_max,dimensionless,161.17295220246712,163.4668212571501,2.293869054682972,0.014032627765327866,relative,0.25,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_2_jin,yplus_patch_average_mean,dimensionless,0.6221579982647816,0.6260622205169883,0.0039042222522067682,0.006236156925397523,relative,0.25,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_2_jin,temperature_probe_mean_K,K,447.8241609430761,448.39021066910897,0.5660497260328725,0.001262404291093212,absolute,2.0,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_2_jin,wall_temperature_probe_mean_K,K,448.34146543047467,448.9027688262552,0.5613033957805555,0.0012503896940716003,absolute,2.0,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,mdot_abs_mean_kg_s,kg/s,0.017043059606727445,0.01708333130634346,4.027169961601587e-05,0.0023573680621098766,relative,0.01,aligned,derived_composite,derived_composite,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,wall_gross_duty_w,W,620.9831980675413,620.9049854180912,0.07821264945005169,0.00012594970313761192,relative,0.01,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,wall_heat_in_w,W,310.6044070523992,310.49221596048,0.11219109191921461,0.00036120251152871725,relative,0.01,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,wall_heat_out_w,W,-310.37879101514204,-310.41276945761115,0.033978442469106085,0.00010946212853445792,relative,0.01,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,wall_net_q_w,W,0.22561603725719676,0.07944650286884117,0.1461695343883556,0.6478685476676727,absolute,5.0,aligned,drifting_or_oscillatory,drifting_or_oscillatory,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,yplus_global_max,dimensionless,214.69681669539347,217.17188524416,2.4750685487665294,0.011396818450896082,relative,0.25,aligned,quasi_stationary,quasi_stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,yplus_patch_average_mean,dimensionless,0.865054844907241,0.8706565652018983,0.00560172029465722,0.006433903468422392,relative,0.25,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,temperature_probe_mean_K,K,477.2795524894434,477.95502728575235,0.6754747963089471,0.001413260155761694,absolute,2.0,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
salt_test_4_jin,wall_temperature_probe_mean_K,K,476.25839154274996,476.93975084309915,0.681359300349186,0.0014286066513531928,absolute,2.0,aligned,stationary,stationary,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,external coarse mesh-family summary from AGENT-231
