family,case_id,case_label,branch,time_s,mean_direct_gradient_pa_per_m,mean_shear_gradient_pa_per_m,terminal_direct_drop_pa,terminal_shear_drop_pa,gradient_positive,cumulative_positive,flow_alignment_signature,source_timeseries_path
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,3226.0,23.327676319931,13.539464877845,19.891768495569,12.343586762223,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,3227.0,23.323740393319,13.539136061495,19.888204827687,12.343284058579,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,3228.0,23.330732973412,13.539722523329,19.894715179536,12.343821788465,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,3229.0,23.331557680595,13.540555580716,19.895426081283,12.344585966986,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,3226.0,8.334678411662,18.945296637105,1.615033886809,4.646673072280,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,3227.0,8.333030041516,18.945295542335,1.614607686385,4.646672671274,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,3228.0,8.335571877360,18.945187406518,1.615267917593,4.646645415827,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,3229.0,8.340391374311,18.945090832378,1.616484788076,4.646620756191,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upper_leg,3226.0,63.663162489751,14.750030086081,54.907446764368,13.033614515570,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upper_leg,3227.0,63.719208649902,14.749132247955,54.956207162041,13.032816663382,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upper_leg,3228.0,63.684007809875,14.749593726847,54.925566522926,13.033225067318,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upper_leg,3229.0,63.632742350776,14.749156557670,54.881175451320,13.032847316661,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,right_leg,3276.0,22.803628560726,13.397405941521,19.669832803823,12.212203003796,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,right_leg,3277.0,22.803636801467,13.397406082167,19.669840260594,12.212203132530,yes,yes,-1.0,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
