family,case_id,case_label,branch,time_count,gradient_positive_fraction,cumulative_positive_fraction,gradient_rel_cv,cumulative_rel_cv,mean_direct_gradient_pa_per_m,mean_terminal_direct_drop_pa,summary_terminal_direct_drop_pa,raw_summary_terminal_direct_drop_pa,summary_terminal_direct_drop_missing,terminal_direct_drop_publication_source,preferred_direct_observable,recommended_status,explanation,source_summary_path,source_timeseries_path
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,4,1.000000000000,1.000000000000,0.000131506349,0.000143180092,23.328426841814,19.892528646019,19.892528646018686,19.892528646018686,no,summary_mean,no_clear_advantage,context_only_redesign_input,"Both direct observables are sign-clean on this case/branch pair, but neither has a decisive retained-time stability advantage.",tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,4,1.000000000000,1.000000000000,0.000328574139,0.000431729374,8.335917926212,1.615348569716,1.61534856971566,1.61534856971566,no,summary_mean,mean_direct_gradient_preferred,context_only_redesign_input,The branch-mean direct gradient is materially less noisy than the cumulative branch-end direct drop on this case/branch pair.,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upper_leg,4,1.000000000000,1.000000000000,0.000494214259,0.000497329664,63.674780325076,54.917598975164,54.917598975164,nan,yes,timeseries_mean_fallback,no_clear_advantage,context_only_redesign_input,"Both direct observables are sign-clean on this case/branch pair, but neither has a decisive retained-time stability advantage.",tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,right_leg,4,1.000000000000,1.000000000000,0.000000325944,0.000000347054,22.803634565433,19.669838310724,19.669838310724405,19.669838310724405,no,summary_mean,no_clear_advantage,context_only_redesign_input,"Both direct observables are sign-clean on this case/branch pair, but neither has a decisive retained-time stability advantage.",tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,test_section_span,4,1.000000000000,1.000000000000,0.000002426008,0.000003069024,9.624493637835,1.955576126533,1.9555761265331695,1.9555761265331695,no,summary_mean,mean_direct_gradient_preferred,context_only_redesign_input,The branch-mean direct gradient is materially less noisy than the cumulative branch-end direct drop on this case/branch pair.,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,upper_leg,4,1.000000000000,1.000000000000,0.000000125224,0.000000126096,65.061142853673,56.457391924220,56.457391924220,nan,yes,timeseries_mean_fallback,no_clear_advantage,context_only_redesign_input,"Both direct observables are sign-clean on this case/branch pair, but neither has a decisive retained-time stability advantage.",tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,val_salt_test_2_coarse_mesh_laminar,Salt 2 val,right_leg,5,1.000000000000,1.000000000000,0.002895975971,0.002280353032,17.385484173414,14.876892906083,14.876892906083452,14.876892906083452,no,summary_mean,cumulative_end_drop_preferred,context_only_redesign_input,Cumulative direct branch-end drop is materially less noisy than the branch-mean direct gradient on this case/branch pair.,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
salt,val_salt_test_2_coarse_mesh_laminar,Salt 2 val,test_section_span,5,1.000000000000,1.000000000000,0.000091385017,0.000105788381,18.555739468581,4.210777568087,4.2107775680865895,4.2107775680865895,no,summary_mean,mean_direct_gradient_preferred,context_only_redesign_input,The branch-mean direct gradient is materially less noisy than the cumulative branch-end direct drop on this case/branch pair.,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
salt,val_salt_test_2_coarse_mesh_laminar,Salt 2 val,upper_leg,5,1.000000000000,1.000000000000,0.000006965571,0.000020530439,59.255515453179,50.389556924028,50.389556924028,nan,yes,timeseries_mean_fallback,mean_direct_gradient_preferred,context_only_redesign_input,The branch-mean direct gradient is materially less noisy than the cumulative branch-end direct drop on this case/branch pair.,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,right_leg,4,1.000000000000,1.000000000000,0.008659004452,0.006016365461,20.284930578186,17.037530420807,17.037530420806938,17.037530420806938,no,summary_mean,cumulative_end_drop_preferred,context_only_redesign_input,Cumulative direct branch-end drop is materially less noisy than the branch-mean direct gradient on this case/branch pair.,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
