case_key,case_id,split_role,harvest_package,harvest_job_id,branch,station_count,adjacent_pair_count,net_delta_p_to_minus_from_Pa,net_delta_p_rgh_to_minus_from_Pa,dominant_adjacent_delta_p_sign,dominant_adjacent_delta_p_fraction,dominant_adjacent_delta_p_rgh_sign,dominant_adjacent_delta_p_rgh_fraction,mean_adjacent_delta_p_rgh_Pa,trimmed_mean_adjacent_delta_p_rgh_Pa,max_pair_reverse_area_fraction_proxy,low_recirc_pair_count,material_recirc_pair_count,upcomer_hybrid_lane,recirculation_policy_evidence_rows,recirculation_policy_context,recirculation_mask_status,pressure_definition_status,orientation_status,straight_loss_subtraction_status,admission_status,true_f_D_or_K_fit_admitted,blockers,next_use,source_paths
salt1_hi10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,left_lower_leg,5,4,-4738.655283,-0.8422585292,negative,1.0,negative,1.0,-0.2105646323,-0.17305687713333334,0.6597222222,0,4,yes,0,upcomer_hybrid_lane_by_policy,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask;upcomer_hybrid_lane_not_ordinary_pipe_fit,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_hi10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,left_upper_leg,5,4,-5541.2683210000005,-20.277288910099998,negative,1.0,negative,0.75,-5.069322227524999,2.6034350166333335,0.85,0,4,yes,0,upcomer_hybrid_lane_by_policy,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask;upcomer_hybrid_lane_not_ordinary_pipe_fit,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_hi10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,lower_leg,5,4,7138.2732373,0.3566976763000005,positive,0.75,negative,0.75,0.08917441907499993,-3.095070884566667,0.5405797101,0,4,no,0,none,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_hi10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,right_leg,5,4,-14159.168432,-4.766215284,negative,1.0,negative,1.0,-1.1915538209999998,-0.639552045,0.6736111111,0,4,no,0,none,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_hi10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,test_section_span,5,4,3831.9854118,0.9536675566000001,positive,1.0,positive,0.75,0.23841688915000003,0.10102853656666667,0.3532818533,0,4,yes,0,upcomer_hybrid_lane_by_policy,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask;upcomer_hybrid_lane_not_ordinary_pipe_fit,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_hi10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,upper_leg,5,4,7005.220518,25.652601450099997,positive,0.5,positive,1.0,6.413150362525,4.5691313267,0.5783308931,0,4,no,0,none,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_lo10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,left_lower_leg,5,4,-4753.199213,-0.405786645277,negative,1.0,negative,0.75,-0.10144666131925,-0.045231192459,0.6701388889,0,4,yes,0,upcomer_hybrid_lane_by_policy,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask;upcomer_hybrid_lane_not_ordinary_pipe_fit,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_lo10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,left_upper_leg,5,4,-5558.156413,-17.9986914116,negative,1.0,positive,0.5,-4.4996728529,2.1447580161333333,0.8461538462,0,4,yes,0,upcomer_hybrid_lane_by_policy,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_unresolved_mixed_adjacent_p_rgh,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;orientation_unresolved;recirculation_mask;upcomer_hybrid_lane_not_ordinary_pipe_fit,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_lo10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,lower_leg,5,4,7159.769577499999,1.2464320613900006,positive,0.75,negative,0.75,0.31160801534749993,-2.57020865387,0.5405797101,0,4,no,0,none,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
salt1_lo10q,salt_1,training_perturbation,AGENT-447_expanded_salt1_pm5_val,3297863,right_leg,5,4,-14201.376104,-4.4723436471,negative,1.0,negative,0.75,-1.118085911775,-0.6277226500333334,0.6701388889,0,4,no,0,none,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,not_admitted_recirc_mask,no,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask,orientation_and_straight_loss_screen_only; do_not_submit_duplicate_pressure_ladder_jobs,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/adjacent_pressure_ladder.csv
