family,case_id,case_label,branch,time_count,agree_time_count,negative_mean_direct_time_count,positive_cumulative_time_count,nonpositive_cumulative_time_count,branch_alignment_signature,mean_shear_gradient_pa_per_m,mean_direct_prgh_gradient_pa_per_m,direct_to_shear_ratio_mean,terminal_direct_prgh_drop_pa,raw_summary_terminal_direct_prgh_drop_pa,terminal_direct_prgh_drop_source,terminal_shear_drop_pa,direct_support_fraction,source_summary_path,source_timeseries_path
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,lower_leg,4,4,0,4,0,1.0,14.681671583111092,6.737177160580915,0.458883570306,6.174964704788593,6.174964704788593,summary_mean,13.206196233246935,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,4,4,0,4,0,-1.0,13.5397197608464,23.328426841814114,1.722962305463,19.892528646018686,19.892528646018686,summary_mean,12.34381964406327,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_lower_leg,4,4,0,4,0,1.0,16.666587127377213,15.397607791927568,0.921438626354,4.5343098175204535,4.5343098175204535,summary_mean,5.175994633442133,0.968750000000,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,4,4,0,4,0,-1.0,18.945217604584073,8.335917926212272,0.440001171376,1.61534856971566,1.61534856971566,summary_mean,4.646652978892904,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_upper_leg,4,4,0,4,0,1.0,15.723080103726968,20.887342549915974,1.334156502628,6.631692331861,nan,timeseries_mean_fallback,5.68417838806634,0.972972972973,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upper_leg,4,4,0,4,0,-1.0,14.766037642486157,63.67478032507602,4.317087005996,54.917598975164,nan,timeseries_mean_fallback,13.202222651813877,0.977777777778,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,lower_leg,4,4,0,4,0,1.0,15.204277916688207,6.495656325769599,0.427225571735,5.960185520427561,5.960185520427561,summary_mean,13.679474487080443,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,right_leg,4,4,0,4,0,-1.0,13.397405991623048,22.803634565433267,1.702093269376,19.669838310724405,19.669838310724405,summary_mean,12.212203049431917,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,left_lower_leg,4,4,0,4,0,1.0,16.51041976811409,13.194977415171492,0.794950166303,3.851632296685841,3.851632296685841,summary_mean,5.126989179523776,0.968750000000,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
salt,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,test_section_span,4,4,0,4,0,-1.0,18.8549088256849,9.624493637834618,0.510450287870,1.9555761265331695,1.9555761265331695,summary_mean,4.6245511501336996,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_cumulative_timeseries.csv
