lane,span,fit_safety,basis,medium_value,fine_value,delta_pct,gci_admission_decision,gci_verdict,gci_publication_ready,gate_decision,allowed_use
pressure_gradient_friction,left_lower_leg,fit_safe_pressure_gradient,positive_loss_both_meshes,1.79195553467,1.80956777469,0.982850281602,blocked_gci_not_trustworthy,oscillatory,no,fit_safe_but_gci_not_publication_ready,may_screen_or_calibrate_hydraulic_terms_with_mesh_caveat
pressure_gradient_friction,left_upper_leg,fit_safe_pressure_gradient,positive_loss_both_meshes,2.27363962473,2.35957204037,3.7795090614,blocked_missing_triplet_qoi,,no,fit_safe_but_gci_not_publication_ready,may_screen_or_calibrate_hydraulic_terms_with_mesh_caveat
pressure_gradient_friction,lower_leg,not_fit_safe_pressure_recovery_or_noise,pressure_recovery_or_noise_flagged,-0.756830591287,-0.719750288331,4.89941915447,diagnostic_not_publication_gci,oscillatory,no,not_fit_safe_for_training,diagnostic_only_pressure_recovery_or_noise
pressure_gradient_friction,right_leg,not_fit_safe_pressure_recovery_or_noise,pressure_recovery_or_noise_flagged,-1.70428527403,-1.70094313759,0.196101937125,diagnostic_not_publication_gci,oscillatory,no,not_fit_safe_for_training,diagnostic_only_pressure_recovery_or_noise
pressure_gradient_friction,test_section_span,not_fit_safe_pressure_recovery_or_noise,pressure_recovery_or_noise_flagged,-0.68696315994,-0.654071614869,4.78796345843,blocked_missing_triplet_qoi,,no,not_fit_safe_for_training,diagnostic_only_pressure_recovery_or_noise
pressure_gradient_friction,upper_leg,not_fit_safe_pressure_recovery_or_noise,pressure_recovery_or_noise_flagged,-11.0192919874,-11.206516151,-1.69905801376,diagnostic_not_publication_gci,oscillatory,no,not_fit_safe_for_training,diagnostic_only_pressure_recovery_or_noise
momentum_corrected_friction,left_lower_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; moderate_buoyancy_correction,1.35536317092,1.36437896511,0.665193977538,blocked_gci_not_trustworthy,oscillatory,no,fit_safe_momentum_corrected_diagnostic,may_inform_debuoyed_friction_or_profile_terms_not_raw_pressure_gradient_fit
momentum_corrected_friction,left_upper_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; moderate_buoyancy_correction,1.00486829829,1.01614705201,1.12241113917,blocked_gci_not_trustworthy,monotonic_divergence,no,fit_safe_momentum_corrected_diagnostic,may_inform_debuoyed_friction_or_profile_terms_not_raw_pressure_gradient_fit
momentum_corrected_friction,lower_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; strong_buoyancy_correction,2.31629298737,2.34666892699,1.31140316811,blocked_gci_not_trustworthy,oscillatory,no,fit_safe_momentum_corrected_diagnostic,may_inform_debuoyed_friction_or_profile_terms_not_raw_pressure_gradient_fit
momentum_corrected_friction,right_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; moderate_buoyancy_correction,2.19091313694,2.23011349428,1.7892246241,blocked_gci_not_trustworthy,oscillatory,no,fit_safe_momentum_corrected_diagnostic,may_inform_debuoyed_friction_or_profile_terms_not_raw_pressure_gradient_fit
momentum_corrected_friction,test_section_span,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; moderate_buoyancy_correction,1.32067321753,1.26014443368,-4.583176447,blocked_gci_not_trustworthy,monotonic_divergence,no,fit_safe_momentum_corrected_diagnostic,may_inform_debuoyed_friction_or_profile_terms_not_raw_pressure_gradient_fit
momentum_corrected_friction,upper_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; strong_buoyancy_correction,2.20007711588,2.24457976036,2.02277657292,blocked_gci_not_trustworthy,oscillatory,no,fit_safe_momentum_corrected_diagnostic,may_inform_debuoyed_friction_or_profile_terms_not_raw_pressure_gradient_fit
