evidence_id,evidence_family,case_or_branch,evidence_is_existing,basis_status,max_RAF,max_RMF,reverse_flow_status,endpoint_status,same_qoi_uq_status,terminal_status,can_replace_CAND001_now,component_K_or_F6_release_allowed,admissible_comparison_allowed_now,disqualification_reasons,next_action,claim_boundary,source_paths
inventory:named_pressure:002,preferred_inventory_slot,salt_2:right_leg,True,ordinary_f6_candidate,0.384647044082,0.499999423906,ordinary_flow_failed_or_unsampled,missing_or_failed,missing,inventory_only,False,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,do_not_fit; find lower-recirculation or forced/alternate branch anchor before endpoint/UQ scoring,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
inventory:named_pressure:004,preferred_inventory_slot,salt_2:test_section_span,True,ordinary_f6_candidate,0.635638538588,0.500002483655,ordinary_flow_failed_or_unsampled,missing_or_failed,missing,inventory_only,False,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,do_not_fit; find lower-recirculation or forced/alternate branch anchor before endpoint/UQ scoring,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
inventory:named_pressure:008,preferred_inventory_slot,salt_3:right_leg,True,ordinary_f6_candidate,,,ordinary_flow_failed_or_unsampled,missing_or_failed,missing,inventory_only,False,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,claim exact raw endpoint sampler row only after terminal source cases and paths are ready,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
inventory:named_pressure:010,preferred_inventory_slot,salt_3:test_section_span,True,ordinary_f6_candidate,,,ordinary_flow_failed_or_unsampled,missing_or_failed,missing,inventory_only,False,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,claim exact raw endpoint sampler row only after terminal source cases and paths are ready,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
inventory:named_pressure:014,preferred_inventory_slot,salt_4:right_leg,True,ordinary_f6_candidate,,,ordinary_flow_failed_or_unsampled,missing_or_failed,missing,inventory_only,False,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,claim exact raw endpoint sampler row only after terminal source cases and paths are ready,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
inventory:named_pressure:016,preferred_inventory_slot,salt_4:test_section_span,True,ordinary_f6_candidate,,,ordinary_flow_failed_or_unsampled,missing_or_failed,missing,inventory_only,False,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,claim exact raw endpoint sampler row only after terminal source cases and paths are ready,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
pm5:salt2_lo5q:left_lower_leg,pm5_recirculation_diagnostic,salt2_lo5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.6177451405,0.5000044571,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_lo5q:test_section_span,pm5_recirculation_diagnostic,salt2_lo5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.3692928784,0.5000060995,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_lo5q:left_upper_leg,pm5_recirculation_diagnostic,salt2_lo5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.7901396438,0.5000621677,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:left_lower_leg,pm5_recirculation_diagnostic,salt2_hi5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.6096763649,0.4999936722,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
