source_id,case_id,span,T_bulk_inlet_K,T_bulk_outlet_K,T_bulk_span_K,mdot_kg_s,cp_jkgk,enthalpy_change_W,enthalpy_change_status,segment_wallHeatFlux_sum_W,wallHeatFlux_vs_enthalpy_residual_W,residual_fraction,residual_assignment,quality_flags
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,447.875099,444.618679,446.246889,0.013198,1423.47,-61.178214,computed_but_cooler_cut_planes_only_partially_bracket_sink,-148.7186,-87.540386,-1.430908,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;no_qr_radiation_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,445.640889,450.264863,447.952876,0.013198,1423.47,86.870405,computed_from_span_endpoint_temperatures,-23.1173,-109.987705,-1.266112,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,,,,0.013198,1423.47,,not_bracketed_by_endpoint_temperature_segment,-39.1283,,,junction_loss_reported_as_wall_flux_not_segment_enthalpy,coarse_no_gci;junction_grouped_mixed_bc;no_qr_radiation_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,444.371847,459.720826,444.5526,0.013198,1423.47,288.360609,computed_from_span_endpoint_temperatures,236.851,-51.509609,-0.178629,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;no_qr_radiation_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,455.873771,453.349329,456.7385,0.013198,1423.47,136.677108,computed_diagnostic_only_high_recirculation,-25.7603,-162.437408,-1.188476,diagnostic_only_upcomer_recirculation_cell,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,460.989741,457.096888,459.043315,0.01499,1423.47,-83.064979,computed_but_cooler_cut_planes_only_partially_bracket_sink,-164.3403,-81.275321,-0.978455,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;no_qr_radiation_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,458.006555,463.172082,460.589318,0.01499,1423.47,110.22105,computed_from_span_endpoint_temperatures,-25.3479,-135.56895,-1.229973,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,,,,0.01499,1423.47,,not_bracketed_by_endpoint_temperature_segment,-43.2347,,,junction_loss_reported_as_wall_flux_not_segment_enthalpy,coarse_no_gci;junction_grouped_mixed_bc;no_qr_radiation_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,457.19808,472.987635,457.2819,0.01499,1423.47,336.914602,computed_from_span_endpoint_temperatures,265.8281,-71.086502,-0.210993,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;no_qr_radiation_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,468.836388,466.083432,469.5229,0.01499,1423.47,-77.182003,computed_diagnostic_only_high_recirculation,-32.6189,44.563103,0.577377,diagnostic_only_upcomer_recirculation_cell,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,476.552826,471.934159,474.243492,0.017116,1423.47,-112.529725,computed_but_cooler_cut_planes_only_partially_bracket_sink,-184.3139,-71.784175,-0.637913,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;no_qr_radiation_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,downcomer,473.042458,478.565524,475.803991,0.017116,1423.47,134.564602,computed_from_span_endpoint_temperatures,-28.1246,-162.689202,-1.209004,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,,,,0.017116,1423.47,,not_bracketed_by_endpoint_temperature_segment,-48.4852,,,junction_loss_reported_as_wall_flux_not_segment_enthalpy,coarse_no_gci;junction_grouped_mixed_bc;no_qr_radiation_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,472.549719,488.990675,472.5491,0.017116,1423.47,400.569318,computed_from_span_endpoint_temperatures,302.3316,-98.237718,-0.245245,segment_wall_flux_minus_segment_enthalpy_change,coarse_no_gci;no_qr_radiation_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,484.338635,481.321444,484.9286,0.017116,1423.47,-78.010628,computed_diagnostic_only_high_recirculation,-41.3286,36.682028,0.470218,diagnostic_only_upcomer_recirculation_cell,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output
