source_id,case_id,run_class,mesh_level,source_case_root,source_window_start_s,source_window_end_s,wallheatflux_source_path,patch_group,physical_role,span,patch_names,bc_type,wall_flux_sign_convention,wallHeatFlux_integral_W,heat_to_fluid_W,heater_imposed_duty_W,cooler_removed_duty_W,passive_wall_heat_leak_gain_W,junction_loss_W,imposed_Q_sum_W,imposed_Q_minus_wallHeatFlux_W,T_bulk_inlet_K,T_bulk_outlet_K,T_bulk_span_K,mdot_kg_s,cp_jkgk,enthalpy_change_W,enthalpy_change_status,segment_wallHeatFlux_sum_W,wallHeatFlux_vs_enthalpy_residual_W,residual_fraction,residual_assignment,patch_area_m2,wall_T_mean_K,boundary_ambient_T_K,boundary_h_W_m2K,wall_conduction_resistance_m2K_W,external_convection_resistance_m2K_W,external_radiation_resistance_m2K_W,total_boundary_resistance_m2K_W,network_terms_resolved,radiation_present,radiation_caveat,fit_eligible,validation_eligible,quality_flags,notes,replay_contract_role,thermal_contract_label
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,2428.0,2431.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat,ambient_wall,passive_ambient_loss_or_gain,cooling_branch,"pipeleg_upper_01_straight, pipeleg_upper_02_bend, pipeleg_upper_03_straight, pipeleg_upper_07_straight, pipeleg_upper_08_bend, pipeleg_upper_09_straight",rcExternalTemperature,positive_into_fluid_negative_out_of_fluid,-12.3679,-12.3679,,,-12.3679,,,,447.875099,444.618679,446.246889,0.013198,1423.47,-61.178214,computed_but_cooler_cut_planes_only_partially_bracket_sink,-148.7186,-87.540386,-1.430908,segment_wall_flux_minus_segment_enthalpy_change,0.032572,447.924056,299.19,4.045202,0.760569,0.251264,absent_no_qr_output,1.011833,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;no_qr_radiation_output,wallHeatFlux from t=7915s,prescribed_passive_ambient_exchange_candidate,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,2428.0,2431.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat,cooler,intended_cooler_removal,cooling_branch,"pipeleg_upper_04_reducer, pipeleg_upper_05_cooler, pipeleg_upper_06_reducer",externalTemperature,positive_into_fluid_negative_out_of_fluid,-136.3507,-136.3507,,136.3507,,,-136.35074,-0.00004,447.875099,444.618679,446.246889,0.013198,1423.47,-61.178214,computed_but_cooler_cut_planes_only_partially_bracket_sink,-148.7186,-87.540386,-1.430908,segment_wall_flux_minus_segment_enthalpy_change,0.029779,437.077222,,,,,absent_no_qr_output,,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;no_qr_radiation_output,wallHeatFlux from t=7915s,prescribed_cooler_sink_candidate,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,2428.0,2431.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat,ambient_wall,passive_ambient_loss_or_gain,downcomer,"pipeleg_right_01_lower, pipeleg_right_02_middle, pipeleg_right_03_upper",rcExternalTemperature,positive_into_fluid_negative_out_of_fluid,-23.1173,-23.1173,,,-23.1173,,,,445.640889,450.264863,447.952876,0.013198,1423.47,86.870405,computed_from_span_endpoint_temperatures,-23.1173,-109.987705,-1.266112,segment_wall_flux_minus_segment_enthalpy_change,0.063435,443.125114,299.19,3.423886,0.769171,0.292066,absent_no_qr_output,1.061238,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output,wallHeatFlux from t=7915s,prescribed_passive_ambient_exchange_candidate,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,2428.0,2431.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat,junction_other,junction_other_loss_or_gain,junction,"junction_lower_left, junction_lower_left_left_extension, junction_lower_left_left_step, junction_lower_left_left_stub, junction_lower_left_lower_extension, junction_lower_left_lower_stub, junction_lower_right, junction_lower_right_lower_extension, junction_lower_right_lower_stub, junction_lower_right_right_extension, junction_lower_right_right_step, junction_lower_right_right_stub, junction_upper_left, junction_upper_left_upper_extension, junction_upper_left_upper_stub, junction_upper_right, junction_upper_right_right_extension, junction_upper_right_right_step, junction_upper_right_right_stub, junction_upper_right_upper_extension, junction_upper_right_upper_stub, ncc_junction_lower_left_right_end, ncc_junction_lower_left_upper_start, ncc_junction_lower_right_left_start, ncc_junction_lower_right_upper_end, ncc_junction_upper_left_lower_end, ncc_junction_upper_left_right_start, ncc_junction_upper_right_left_end, ncc_junction_upper_right_lower_start","externalTemperature, rcExternalTemperature, zeroGradient",positive_into_fluid_negative_out_of_fluid,-39.1283,-39.1283,,,,-39.1283,,,,,,0.013198,1423.47,,not_bracketed_by_endpoint_temperature_segment,-39.1283,,,junction_loss_reported_as_wall_flux_not_segment_enthalpy,0.042479,428.096294,299.19,9.621918,0.792361,0.220811,absent_no_qr_output,1.013173,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;junction_grouped_mixed_bc;no_qr_radiation_output,"wallHeatFlux from t=7915s; junction patches include stubs, extensions, and corner volumes",grouped_diagnostic_loss_not_segment_bracketed,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,2428.0,2431.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat,ambient_wall,passive_ambient_loss_or_gain,lower_leg,"pipeleg_lower_01_fitting, pipeleg_lower_02_straight, pipeleg_lower_03_bend, pipeleg_lower_07_bend, pipeleg_lower_08_straight, pipeleg_lower_09_fitting",rcExternalTemperature,positive_into_fluid_negative_out_of_fluid,-6.6681,-6.6681,,,-6.6681,,,,444.371847,459.720826,444.5526,0.013198,1423.47,288.360609,computed_from_span_endpoint_temperatures,236.851,-51.509609,-0.178629,segment_wall_flux_minus_segment_enthalpy_change,0.016564,449.346308,299.19,3.945999,0.758157,0.261345,absent_no_qr_output,1.019502,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;no_qr_radiation_output,wallHeatFlux from t=7915s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN,prescribed_passive_ambient_exchange_candidate,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,2428.0,2431.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat,heater,intended_heater_input,lower_leg,"pipeleg_lower_04_straight, pipeleg_lower_05_straight, pipeleg_lower_06_straight",rcExternalTemperature,positive_into_fluid_negative_out_of_fluid,243.5191,243.5191,265.7,,,,265.7,22.1809,444.371847,459.720826,444.5526,0.013198,1423.47,288.360609,computed_from_span_endpoint_temperatures,236.851,-51.509609,-0.178629,segment_wall_flux_minus_segment_enthalpy_change,0.045786,463.331165,299.19,4.004091,0.733276,0.249844,absent_no_qr_output,0.98312,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;no_qr_radiation_output,wallHeatFlux from t=7915s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN,prescribed_source_profile_candidate_with_imposed_vs_wallflux_discrepancy,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,2428.0,2431.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat,ambient_wall,passive_ambient_loss_or_gain,upcomer,"pipeleg_left_01_upper, pipeleg_left_02_connector, pipeleg_left_03_fitting, pipeleg_left_05_fitting, pipeleg_left_06_connector, pipeleg_left_07_lower",rcExternalTemperature,positive_into_fluid_negative_out_of_fluid,-20.0805,-20.0805,,,-20.0805,,,,455.873771,453.349329,456.7385,0.013198,1423.47,136.677108,computed_diagnostic_only_high_recirculation,-25.7603,-162.437408,-1.188476,diagnostic_only_upcomer_recirculation_cell,0.050313,451.352922,299.19,3.703888,0.75456,0.280054,absent_no_qr_output,1.034614,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output,wallHeatFlux from t=7915s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN,prescribed_passive_ambient_exchange_candidate,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,2428.0,2431.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat,test_section,intended_test_section_input_actual_net_sink_possible,upcomer,pipeleg_left_04_test_section,rcExternalTemperature,positive_into_fluid_negative_out_of_fluid,-5.6798,-5.6798,,,,,37,42.6798,455.873771,453.349329,456.7385,0.013198,1423.47,136.677108,computed_diagnostic_only_high_recirculation,-25.7603,-162.437408,-1.188476,diagnostic_only_upcomer_recirculation_cell,0.012258,451.664413,299.19,7.482237,0.001571,0.13365,absent_no_qr_output,0.135221,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;intended_input_actual_net_sink;high_recirculation_endpoint_temperature;no_qr_radiation_output,wallHeatFlux from t=7915s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN,explicit_quartz_test_section_exchange_candidate,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,2511.0,2514.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat,ambient_wall,passive_ambient_loss_or_gain,cooling_branch,"pipeleg_upper_01_straight, pipeleg_upper_02_bend, pipeleg_upper_03_straight, pipeleg_upper_07_straight, pipeleg_upper_08_bend, pipeleg_upper_09_straight",rcExternalTemperature,positive_into_fluid_negative_out_of_fluid,-13.5707,-13.5707,,,-13.5707,,,,460.989741,457.096888,459.043315,0.01499,1423.47,-83.064979,computed_but_cooler_cut_planes_only_partially_bracket_sink,-164.3403,-81.275321,-0.978455,segment_wall_flux_minus_segment_enthalpy_change,0.032572,460.624924,299.79,4.117218,0.73799,0.246824,absent_no_qr_output,0.984813,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;no_qr_radiation_output,wallHeatFlux from t=7618s,prescribed_passive_ambient_exchange_candidate,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,mainline_jin_continuation,coarse,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,2511.0,2514.0,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat,cooler,intended_cooler_removal,cooling_branch,"pipeleg_upper_04_reducer, pipeleg_upper_05_cooler, pipeleg_upper_06_reducer",externalTemperature,positive_into_fluid_negative_out_of_fluid,-150.7696,-150.7696,,150.7696,,,-150.769639,-0.000039,460.989741,457.096888,459.043315,0.01499,1423.47,-83.064979,computed_but_cooler_cut_planes_only_partially_bracket_sink,-164.3403,-81.275321,-0.978455,segment_wall_flux_minus_segment_enthalpy_change,0.029779,449.016456,,,,,absent_no_qr_output,,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,no,yes,coarse_no_gci;no_qr_radiation_output,wallHeatFlux from t=7618s,prescribed_cooler_sink_candidate,cfd_salt_1p4in_layer_present_surface_emissivity_bc_metadata_present_no_qr_field
