source_id,case_label,family_group,case_family,scope_name,contradiction_type,affected_variable_families,observed_pattern,likely_cause,requires_code_fix,primary_source_path,priority_rank,recommended_next_action
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,left_lower_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=1.390, direct_grad=-0.004, direct_support_fraction=0.969",Shear-based and direct wall-registered reductions disagree on the pressure-drop direction.,yes,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,1,Investigate reduction method or sign-alignment assumptions before stronger cross-family claims.
val_water_test_2_coarse_mesh_laminar,Water 2,water,water2,left_lower_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=1.702, direct_grad=0.036, direct_support_fraction=0.969",Shear-based and direct wall-registered reductions disagree on the pressure-drop direction.,yes,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_summary.csv,1,Investigate reduction method or sign-alignment assumptions before stronger cross-family claims.
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,salt2,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.750, thermal_warning_fraction=0.250, min_abs_delta_t=0.320, mean_htc=234.347","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,salt2,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=2.723, mean_htc=31.126",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,salt2,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=13.595, direct_grad=59.256, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,salt2,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.947, thermal_warning_fraction=0.053, min_abs_delta_t=0.222, mean_htc=299.688","The thermal driving temperature difference approaches zero, so HTC-style ratios become unstable by design.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,salt,salt1,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.739, thermal_warning_fraction=0.261, min_abs_delta_t=0.124, mean_htc=195.179",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,salt,salt1,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=2.180, mean_htc=27.562",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,salt,salt1,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=14.766, direct_grad=63.675, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,salt,salt1,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.957, thermal_warning_fraction=0.043, min_abs_delta_t=0.400, mean_htc=277.450","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
