family_bucket,scope_type,scope_name,variable_family,paper_safe_count,internal_only_count,blocked_count,contradiction_count,case_count,source_ids,case_labels,interpretation_class,staging_lane
cross_family,branch,left_lower_leg,effective_htc,9,0,4,4,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,left_lower_leg,effective_ua,9,0,4,4,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,left_lower_leg,thermal_resistance,9,0,4,4,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,left_upper_leg,effective_htc,10,2,1,3,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,left_upper_leg,effective_ua,10,2,1,3,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,left_upper_leg,thermal_resistance,10,2,1,3,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,lower_leg,effective_htc,0,7,6,13,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,lower_leg,effective_ua,0,7,6,13,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,lower_leg,thermal_resistance,0,7,6,13,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
cross_family,branch,right_leg,effective_htc,0,0,13,13,13,"val_salt_test_2_coarse_mesh_laminar, viscosity_screening_salt_test_1_jin_coarse_mesh, viscosity_screening_salt_test_1_kirst_coarse_mesh, viscosity_screening_salt_test_2_jin_coarse_mesh, viscosity_screening_salt_test_2_kirst_coarse_mesh, viscosity_screening_salt_test_3_jin_coarse_mesh, viscosity_screening_salt_test_3_kirst_coarse_mesh, viscosity_screening_salt_test_4_jin_coarse_mesh, viscosity_screening_salt_test_4_kirst_coarse_mesh, val_water_test_1_coarse_mesh_laminar, val_water_test_2_coarse_mesh_laminar, val_water_test_3_coarse_mesh_laminar, val_water_test_4_coarse_mesh_laminar","Salt 1 Jin, Salt 1 Kirst, Salt 2 Jin, Salt 2 Kirst, Salt 2 val, Salt 3 Jin, Salt 3 Kirst, Salt 4 Jin, Salt 4 Kirst, Water 1, Water 2, Water 3, Water 4",contradictory,needs_method_followup
