case_id,mesh_level,mesh_mask_id,window_role,time_window_s,source_root,processors_dir,seeded_cv_cell_count,interface_face_count,trusted_wall_face_count,seeded_cv_volume_m3,seeded_cv_T_volume_avg_K,seeded_cv_rho_volume_avg_kg_m3,interface_seed_T_area_avg_K,interface_core_T_area_avg_K,trusted_wall_T_area_avg_K,wall_core_bulk_temperature_contrast_K,mdot_exchange_positive_outward_proxy_kg_s,volumetric_exchange_positive_outward_m3_s,tau_recirc_proxy_s,Q_wall_W,Q_wall_W_released,Q_wall_release_status,sample_status,split_output_dir
salt_2,medium,salt_2_medium,terminal_minus,516,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh/processors64,87696,87696,87696,8.73998126738e-06,441.66080383,1962.48689535,441.665248676,441.765703521,441.665297035,-0.1004064855,1.49622466889e-05,7.63010759606e-09,1145.45976677,22.8478687451,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_2_medium
salt_2,medium,salt_2_medium,terminal,517,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh/processors64,87696,87696,87696,8.73998126738e-06,441.66080383,1962.48689535,441.665248676,441.765703521,441.665297035,-0.1004064855,1.49622488251e-05,7.63010868655e-09,1145.45960306,22.8478687451,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_2_medium
salt_2,medium,salt_2_medium,terminal_plus,518,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh/processors64,87696,87696,87696,8.73998126738e-06,441.66080383,1962.48689535,441.665248676,441.765703521,441.665297035,-0.1004064855,1.49622453701e-05,7.630106923e-09,1145.45986781,22.8478687451,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_2_medium
salt_2,fine,salt_2_fine,terminal_minus,397,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh/processors128,190008,190008,190008,5.89357623965e-06,441.593111591,1962.53764424,441.597414995,441.663330932,441.597446723,-0.0658842092374,7.65335231967e-06,3.90264856214e-09,1510.14782546,22.8422194526,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_2_fine
salt_2,fine,salt_2_fine,terminal,398,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh/processors128,190008,190008,190008,5.89357623965e-06,441.593111591,1962.53764424,441.597414995,441.663330932,441.597446723,-0.0658842092374,7.65334993114e-06,3.90264734435e-09,1510.14829669,22.8422194526,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_2_fine
salt_2,fine,salt_2_fine,terminal_plus,399,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh/processors128,190008,190008,190008,5.89357623965e-06,441.593111591,1962.53764424,441.597414995,441.663330932,441.597446723,-0.0658842092374,7.65334830085e-06,3.90264651297e-09,1510.1486184,22.8422194526,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_2_fine
salt_3,medium,salt_3_medium,terminal_minus,1338,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_jin_medium_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_jin_medium_mesh/processors64,87696,87696,87696,8.73998126738e-06,453.975021413,1953.25492644,453.979707632,454.089034089,453.97975893,-0.109275158987,2.40574212281e-05,1.23341908888e-08,708.597859897,25.0788404008,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_3_medium
salt_3,medium,salt_3_medium,terminal,1339,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_jin_medium_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_jin_medium_mesh/processors64,87696,87696,87696,8.73998126738e-06,453.974804252,1953.25508924,453.979510806,454.088833014,453.979562338,-0.109270675385,2.39956846835e-05,1.23025819761e-08,710.418453975,25.0788018906,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_3_medium
salt_3,medium,salt_3_medium,terminal_plus,1340,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_jin_medium_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_jin_medium_mesh/processors64,87696,87696,87696,8.73998126738e-06,453.974595614,1953.25524566,453.979324624,454.088657192,453.97937641,-0.109280781952,2.39521238159e-05,1.22802611418e-08,711.709723958,25.0787654503,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_3_medium
salt_3,fine,salt_3_fine,terminal_minus,531,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_3_jin_fine_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_3_jin_fine_mesh/processors128,190008,190008,190008,5.89357623965e-06,453.269404171,1953.78392769,453.274800574,453.346343083,453.274840461,-0.0715026219403,1.29533295522e-05,6.63825074609e-09,887.820672204,24.9529614923,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_3_fine
salt_3,fine,salt_3_fine,terminal,532,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_3_jin_fine_mesh,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_3_jin_fine_mesh/processors128,190008,190008,190008,5.89357623965e-06,453.271213821,1953.782571,453.276637175,453.348212341,453.276677265,-0.0715350760441,1.29999674138e-05,6.66215237328e-09,884.63546155,24.9533073412,true,exact_target_window_Q_wall_W_released_with_tiny_ncc_patch_label_mismatch,terminal_exact_label_sampled_from_read_only_native_processors,outputs/salt_3_fine
