source_key,path,role_in_reference,notes
cfd_scenario_contract_readme,work_products/2026-07/2026-07-08/2026-07-08_cfd_scenario_contract/README.md,CFD setup audit summary,"Primary source for 1.4 in CFD layer label, boundary-condition counts, emissivity/no-qr label, and admission status."
cfd_scenario_contract_csv,work_products/2026-07/2026-07-08/2026-07-08_cfd_scenario_contract/scenario_contract.csv,Machine-readable CFD setup table,"Case-by-case boundary type counts, retained times, thickness values, radiation labels, and fit-use status."
thermal_boundary_contract_readme,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/README.md,Thermal contract summary,"Defines CFD thermal boundary label, heater/cooler/test-section roles, replay gates, and current 1D mismatch."
cfd_thermal_boundary_contract_csv,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/cfd_thermal_boundary_contract.csv,Patch-role thermal contract,"Patchwise roles, boundary metadata, wallHeatFlux, thermal resistance pieces, and replay contract roles."
case_thermal_targets_csv,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv,Case-level thermal targets,"CFD mdot/Tmean/loop-dT, prior 1D mismatch, heater/cooler/test-section wallHeatFlux quantities."
patchwise_heat_ledger_readme,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md,Patchwise heat ledger summary,"Defines sign convention, role grouping, aggregate wall-flux sums, radiation caveat, and residual caveats."
patchwise_heat_ledger_csv,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/patchwise_heat_ledger.csv,Patchwise heat ledger data,"Source for summed ambient, junction, heater, cooler, and test-section wallHeatFlux values."
thermal_interface_power_policy,operational_notes/07-26/08/2026-07-08_thermal_interface_power_policy.md,Comparison policy,"Required rule: compare using realized CFD heater/cooler wallHeatFlux at the fluid interface, not idealized resistor wattage or idealized 1D cooler capacity."
thermal_boundary_replay_plan,operational_notes/07-26/08/2026-07-08_thermal_boundary_contract_and_frozen_replay_plan.md,Replay and gate plan,"Required fixed-mdot/reconstructed-boundary sequence before model-form bakeoff."
thermal_mismatch_note,operational_notes/07-26/08/2026-07-08_thermal_mismatch_remedy_deep_dive.md,Remedy interpretation,"Explains why the current 1D state is hotter and why the cooler/HX path is the highest-priority remedy."
thermal_mismatch_readme,work_products/2026-07/2026-07-08/2026-07-08_thermal_mismatch_remedy_deep_dive/README.md,Remedy package summary,"Short package index for heater values, energy defect budget, fixed-mdot replay results, and solver plan."
heater_values_csv,work_products/2026-07/2026-07-08/2026-07-08_thermal_mismatch_remedy_deep_dive/heater_values.csv,Heater fluid-interface values,"Exact imposed heater duty versus heater wallHeatFlux into the fluid for Salt 2/3/4."
fixed_mdot_readme,work_products/2026-07/2026-07-08/2026-07-08_cfd_informed_fixed_mdot_1d_runs/README.md,Fixed-mdot replay method,"Defines fixed-mdot replay solver contract and scenario matrix P0-P6."
slide6_analysis,work_products/2026-07/2026-07-08/2026-07-08_tomorrow_presentation_package/slide6_thermal_replay_analysis.md,Presentation-focused fixed-mdot interpretation,"Readable definition of P0/current 1D plus P0/P1/P4 scientific interpretation."
one_d_setup_confidence,reports/2026-07/2026-07-01/2026-07-01_local_1d_closure_bakeoff_refresh/2026-07-01_one_d_setup_and_confidence.md,1D setup documentation,"Defended 1D scenario definition, insulation/radiation treatment, source/sink treatment, and explicit setup mismatch caveats."
one_d_bakeoff_readme,reports/2026-07/2026-07-01/2026-07-01_local_1d_closure_bakeoff_refresh/README.md,1D bakeoff summary,"Defended full-coverage scenario and interpretation boundary for local shadow bakeoff."
fluid_cases_yaml,../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml,External Fluid case inputs,"Predictive operating inputs: salt heater powers, 37 W test-section source, air inlet temperatures, and air flow."
fluid_scenarios_yaml,../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/scenarios.yaml,External Fluid scenario definitions,"Predictive-airside scenario groups, insulation_thickness_in choices, radiation_on choices, and model_mode."
fluid_solver,../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,External Fluid solver contract,"Defines active predictive solver policy, ScenarioConfig fields, and heating-input contract."
