topic,system_scope,what_ethan_runs_do,quantitative_evidence,interpretation_or_risk,primary_sources
admitted_evidence_set,CFD Salt mainline,"Current closure/thermal setup evidence should use Salt 2/3/4 Jin mainline continuation rows. Salt 1 remains held pending newer qualification, and corrected Salt perturbations remain status-only until admitted by a formal gate.","Salt 2/3/4 are fit-admissible current mainline in the scenario contract; Salt 1 rows are held; corrected Salt rows are held_until_formal_gate.","Do not mix admitted mainline evidence with Salt 1 or corrected-Q rows when documenting nominal setup behavior.","work_products/2026-07/2026-07-08/2026-07-08_cfd_scenario_contract/scenario_contract.csv; work_products/2026-07/2026-07-08/2026-07-08_cfd_scenario_contract/README.md"
physical_layer_and_insulation,CFD setup,"Readable Salt CFD case boundary dictionaries contain a 0.03556 m layer, labeled as the 1.4 in wall/insulation layer. The 0.25 in and 0.30 in values in older friction/temperature sweeps are 1D diagnostic settings, not the CFD case label.","unique_thickness_m includes 0.03556 for Salt 1/2/3/4 mainline and corrected rows; has_1p4in_insulation_layer=True for mainline rows.","The CFD setup should be described as 1.4 in layer present unless a deeper boundary-condition implementation audit redefines the physical meaning of that layer.","work_products/2026-07/2026-07-08/2026-07-08_cfd_scenario_contract/scenario_contract.csv; work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/README.md"
boundary_condition_families,CFD setup,"Mainline Salt case 0/T files contain externalTemperature, rcExternalTemperature, and zeroGradient boundary types. Heater, passive walls, and test section are carried mostly through rcExternalTemperature; cooler patches are externalTemperature; junctions are mixed.","Mainline rows report bc_type_counts_json = externalTemperature:10, rcExternalTemperature:36, zeroGradient:23.","Any setup summary should discuss patch role and boundary-condition family together. A single phrase such as 'fixed temperature' or 'radiation boundary' is too coarse.","work_products/2026-07/2026-07-08/2026-07-08_cfd_scenario_contract/scenario_contract.csv; work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/cfd_thermal_boundary_contract.csv"
emissivity_and_radiation,CFD setup and 1D comparison,"rcExternalTemperature patches carry emissivity metadata, but audited case roots have no constant/radiationProperties and no qr or G field. Patchwise heat ledgers therefore set radiation_present=False and preserve emissivity as metadata only.","rc_external_patch_count=36, emissivity_patch_count=36, has_radiation_properties=False, has_qr_or_G_field=False for mainline rows.","Do not add a separate CFD radiation correction on top of wallHeatFlux. 1D radiation_on is a forward-model capability, not evidence of a separate CFD qr ledger term.","work_products/2026-07/2026-07-08/2026-07-08_cfd_scenario_contract/README.md; work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md; operational_notes/07-26/08/2026-07-08_thermal_interface_power_policy.md"
heater_boundary,CFD setup and 1D comparison,"CFD heater patches are intended heater input, but the realized fluid-side heater wallHeatFlux is lower than imposed heater duty. CFD-informed comparisons should use heater wallHeatFlux into the fluid, not resistor/imposed electrical wattage.","Salt 2: imposed 265.700 W, wallHeatFlux 243.519 W, gap 22.181 W. Salt 3: 297.500, 273.155, gap 24.345 W. Salt 4: 337.600, 310.487, gap 27.113 W.","The gap is a boundary/solid/storage/staging caveat until a same-time solid-energy audit exists. It should not be hidden as a tunable closure coefficient.","work_products/2026-07/2026-07-08/2026-07-08_thermal_mismatch_remedy_deep_dive/heater_values.csv; operational_notes/07-26/08/2026-07-08_thermal_interface_power_policy.md"
test_section_boundary,CFD setup and 1D setup,"Current Fluid salt cases include a separate 37 W quartz/test-section source, but the CFD test-section wallHeatFlux is a net sink in the July 8 patchwise ledger.","CFD test-section wallHeatFlux W: Salt 2 -5.680, Salt 3 -10.545, Salt 4 -16.769. Fluid cases.yaml salt rows use test_section_power_W=37.0.","The current 1D source contract is not equivalent to the CFD wall-flux observation. Treat test-section power as a setup mismatch and preserve the sign convention.","work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md; ../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/cases.yaml"
cooler_hx_boundary,CFD setup and 1D setup,"CFD cooler specified duty and cooler wallHeatFlux align closely. The current 1D predictive air-side HX removes far less heat than the CFD cooler patch group.","CFD cooler removal W: Salt 2 136.351, Salt 3 150.770, Salt 4 169.227. Fixed-mdot current 1D qhx W: Salt 2 46.292, Salt 3 49.663, Salt 4 53.472.","The cooler/HX path is the largest current thermal-state lever; prescribing CFD cooler duty drops fixed-mdot mean-T error from about 63.75 K to 4.46 K mean across Salt 2/3/4.","work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv; work_products/2026-07/2026-07-08/2026-07-08_tomorrow_presentation_package/slide6_thermal_replay_analysis.md"
passive_ambient_wall_boundary,CFD setup,"Passive ambient walls are grouped as ambient_wall with rcExternalTemperature. The resolved thermal network uses wallHeatFlux, wall/bulk temperature support, thicknessLayers/kappaLayerCoeffs, boundary h, and ambient temperature where available.","CFD ambient_wall wallHeatFlux sums W: Salt 2 -62.234, Salt 3 -68.320, Salt 4 -75.927. Boundary ambient T K: 299.19, 299.79, 299.97. Boundary h range W/m2K across resolved rows: about 3.424-10.060.","Passive losses are validation diagnostics until per-segment reconstruction is complete. Do not treat a global 1D insulation scalar as a paper-grade reconstruction of the CFD wall stack.","work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md; work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/cfd_thermal_boundary_contract.csv"
junction_boundary,CFD setup,"Junction and stub/extension patches are grouped as junction_other diagnostic wall flux. They are not bracketed by endpoint-temperature spans.","CFD junction_other wallHeatFlux W: Salt 2 -39.128, Salt 3 -43.235, Salt 4 -48.485. Quality flag includes junction_grouped_mixed_bc.","Junction heat is real in the ledger but not yet a clean segment closure target. Keep it grouped and diagnostic until raw bracketing improves.","work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md; work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/cfd_thermal_boundary_contract.csv"
current_1d_predictive_setup,1D setup,"The defended July 1 local 1D setup is Fluid v2, predictive_airside_hx, baseline 1.0 in insulation, radiation_on=true, heater power plus 37 W salt test-section source, and predictive cooler duty from air-side boundary conditions.","Defended scenario: ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1. It is not a published global 1.4 in Salt scenario. Baseline mean energy error was 11.27% heater and mean mass-flow error 26.69% against the frozen surface.","Do not call the July 1 defended 1D scenario physically matched to the CFD 1.4 in boundary label. It is a bounded surrogate until a matching 1.4 in or reconstructed boundary scenario is run.","reports/2026-07/2026-07-01/2026-07-01_local_1d_closure_bakeoff_refresh/2026-07-01_one_d_setup_and_confidence.md; reports/2026-07/2026-07-01/2026-07-01_local_1d_closure_bakeoff_refresh/README.md"
