case_id,case_key,time_window_s,span,wall_patches,mesh_stations,classification,wall_core_release,reason
salt_2,salt2_jin_nominal_continuation,7915,lower_leg,pipeleg_lower_01_fitting;pipeleg_lower_02_straight;pipeleg_lower_03_bend;pipeleg_lower_04_straight;pipeleg_lower_05_straight;pipeleg_lower_06_straight;pipeleg_lower_07_bend;pipeleg_lower_08_straight;pipeleg_lower_09_fitting,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
salt_2,salt2_jin_nominal_continuation,7915,right_leg,pipeleg_right_01_lower;pipeleg_right_02_middle;pipeleg_right_03_upper,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,upcomer_related_wall_span_not_sufficient,blocked,right-leg/upcomer wall span is plausible support context but lacks recirculation-region band definition
salt_2,salt2_jin_nominal_continuation,7915,left_lower_leg,pipeleg_left_07_lower;pipeleg_left_06_connector,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
salt_2,salt2_jin_nominal_continuation,7915,test_section_span,pipeleg_left_05_fitting;pipeleg_left_04_test_section;pipeleg_left_03_fitting,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
salt_2,salt2_jin_nominal_continuation,7915,left_upper_leg,pipeleg_left_02_connector;pipeleg_left_01_upper,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
salt_2,salt2_jin_nominal_continuation,7915,upper_leg,pipeleg_upper_09_straight;pipeleg_upper_08_bend;pipeleg_upper_07_straight;pipeleg_upper_06_reducer;pipeleg_upper_05_cooler;pipeleg_upper_04_reducer;pipeleg_upper_03_straight;pipeleg_upper_02_bend;pipeleg_upper_01_straight,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
salt_3,salt3_jin_nominal_continuation,7618,lower_leg,pipeleg_lower_01_fitting;pipeleg_lower_02_straight;pipeleg_lower_03_bend;pipeleg_lower_04_straight;pipeleg_lower_05_straight;pipeleg_lower_06_straight;pipeleg_lower_07_bend;pipeleg_lower_08_straight;pipeleg_lower_09_fitting,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
salt_3,salt3_jin_nominal_continuation,7618,right_leg,pipeleg_right_01_lower;pipeleg_right_02_middle;pipeleg_right_03_upper,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,upcomer_related_wall_span_not_sufficient,blocked,right-leg/upcomer wall span is plausible support context but lacks recirculation-region band definition
salt_3,salt3_jin_nominal_continuation,7618,left_lower_leg,pipeleg_left_07_lower;pipeleg_left_06_connector,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
salt_3,salt3_jin_nominal_continuation,7618,test_section_span,pipeleg_left_05_fitting;pipeleg_left_04_test_section;pipeleg_left_03_fitting,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
salt_3,salt3_jin_nominal_continuation,7618,left_upper_leg,pipeleg_left_02_connector;pipeleg_left_01_upper,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region
