path,role,exists,native_solver_output,mutated
tools/extract/build_upcomer_exchange_geometry_release.py,task_output,true,false,true
tools/extract/test_build_upcomer_exchange_geometry_release.py,task_output,true,false,true
work_products/2026-07/2026-07-21/2026-07-21_heatloss_upcomer_source_field_audit,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_sampler_reusable_harvest_scaffold,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_geometry_release,task_output,true,false,false
jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,read_only_context,true,true,false
work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_2_cell_volumes_summary.json,read_only_context,true,false,false
jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,read_only_context,true,true,false
work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_3_cell_volumes_summary.json,read_only_context,true,false,false
jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,read_only_context,true,true,false
work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_4_cell_volumes_summary.json,read_only_context,true,false,false
