case_id,case_key,time_window_s,facezone,point,normal,source_path,classification,exchange_interface_release,reason
salt_2,salt2_jin_nominal_continuation,7915,mdot_pipeleg_right_02_middle,0.88751936 0.22933215 0.00000000,0.00000000 1.00000000 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
salt_2,salt2_jin_nominal_continuation,7915,mdot_pipeleg_lower_05_straight,0.44375968 -0.12271280 0.00000000,0.93041757 -0.36650123 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
salt_2,salt2_jin_nominal_continuation,7915,mdot_pipeleg_upper_05_cooler,0.44375968 0.82680270 0.00000000,-0.93041757 0.36650123 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
salt_2,salt2_jin_nominal_continuation,7915,mdot_pipeleg_left_04_test_section,-0.00000000 0.44913975 0.00000000,0.00000000 -1.00000000 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
salt_2,salt2_jin_nominal_continuation,7915,upcomer_outlet_proxy,,,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surface_extraction_contract.csv,representative_proxy_not_exchange_interface,rejected,explicit plan guard forbids substituting representative upcomer outlet proxy for exchange interface
salt_3,salt3_jin_nominal_continuation,7618,mdot_pipeleg_right_02_middle,0.88751936 0.22933215 0.00000000,0.00000000 1.00000000 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
salt_3,salt3_jin_nominal_continuation,7618,mdot_pipeleg_lower_05_straight,0.44375968 -0.12271280 0.00000000,0.93041757 -0.36650123 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
salt_3,salt3_jin_nominal_continuation,7618,mdot_pipeleg_upper_05_cooler,0.44375968 0.82680270 0.00000000,-0.93041757 0.36650123 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
salt_3,salt3_jin_nominal_continuation,7618,mdot_pipeleg_left_04_test_section,-0.00000000 0.44913975 0.00000000,0.00000000 -1.00000000 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
salt_3,salt3_jin_nominal_continuation,7618,upcomer_outlet_proxy,,,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surface_extraction_contract.csv,representative_proxy_not_exchange_interface,rejected,explicit plan guard forbids substituting representative upcomer outlet proxy for exchange interface
salt_4,salt4_jin_nominal_continuation,10000,mdot_pipeleg_right_02_middle,0.88751936 0.22933215 0.00000000,0.00000000 1.00000000 0.00000000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell
