case_id,path_id,mode_family,root_found,Tmean_error_K,abs_Tmean_error_K,loop_delta_T_error_K,qhx_total_W,qambient_total_W,source_total_W,prescribed_loss_total_W,mean_abs_Tmean_error_K_by_path,passes_thermal_gate,predictive_fit_role,description
salt_2,P0_fixed_mdot_current_1d_contract,baseline_current_1d_contract,True,62.226,62.226,-0.904,46.292,256.408,302.7,0,63.746,False,screen_only_no_parameter_fit,Current 1D thermal contract at CFD mdot.
salt_2,P1_cfd_cooler_duty_only,external_hx_cooler_duty_parity,True,6.219,6.219,0.138,136.351,166.35,302.7,0,4.456,False,screen_only_no_parameter_fit,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.
salt_2,P2_heater_wallflux_no_test_source,internal_source_contract_diagnostic,True,31.507,31.507,-1.493,39.262,204.256,243.519,0,34.097,False,screen_only_no_parameter_fit,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.
salt_2,P3_source_plus_test_section_sink,source_plus_test_section_sink_diagnostic,True,28.373,28.373,-1.437,38.544,199.294,237.839,0,28.459,False,screen_only_no_parameter_fit,Use heater wallHeatFlux and treat the test section as a negative local source so internal ambient losses remain active.
salt_2,P4_full_patch_ledger_prescribed,full_wall_flux_prescribed_diagnostic,False,-168.296,168.296,0.512,0,243.393,243.519,243.393,138.064,False,screen_only_no_parameter_fit,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.
salt_3,P0_fixed_mdot_current_1d_contract,baseline_current_1d_contract,True,63.986,63.986,-1.138,49.663,284.837,334.5,0,63.746,False,screen_only_no_parameter_fit,Current 1D thermal contract at CFD mdot.
salt_3,P1_cfd_cooler_duty_only,external_hx_cooler_duty_parity,True,4.453,4.453,-0.109,150.77,183.731,334.5,0,4.456,False,screen_only_no_parameter_fit,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.
salt_3,P2_heater_wallflux_no_test_source,internal_source_contract_diagnostic,True,33.847,33.847,-1.735,42.728,230.426,273.155,0,34.097,False,screen_only_no_parameter_fit,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.
salt_3,P3_source_plus_test_section_sink,source_plus_test_section_sink_diagnostic,True,28.326,28.326,-1.643,41.456,221.153,262.61,0,28.459,False,screen_only_no_parameter_fit,Use heater wallHeatFlux and treat the test section as a negative local source so internal ambient losses remain active.
salt_3,P4_full_patch_ledger_prescribed,full_wall_flux_prescribed_diagnostic,False,-194.853,194.853,0.263,0,272.869,273.155,272.869,138.064,False,screen_only_no_parameter_fit,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.
salt_4,P0_fixed_mdot_current_1d_contract,baseline_current_1d_contract,False,65.026,65.026,-1.184,53.472,317.811,374.6,0,63.746,False,screen_only_no_parameter_fit,Current 1D thermal contract at CFD mdot.
salt_4,P1_cfd_cooler_duty_only,external_hx_cooler_duty_parity,True,2.697,2.697,-0.174,169.227,205.374,374.6,0,4.456,False,screen_only_no_parameter_fit,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.
salt_4,P2_heater_wallflux_no_test_source,internal_source_contract_diagnostic,True,36.937,36.937,-1.824,46.963,263.522,310.487,0,34.097,False,screen_only_no_parameter_fit,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.
salt_4,P3_source_plus_test_section_sink,source_plus_test_section_sink_diagnostic,True,28.679,28.679,-1.694,45.048,248.668,293.718,0,28.459,False,screen_only_no_parameter_fit,Use heater wallHeatFlux and treat the test section as a negative local source so internal ambient losses remain active.
salt_4,P4_full_patch_ledger_prescribed,full_wall_flux_prescribed_diagnostic,False,51.042,51.042,0.196,0,310.408,310.487,310.408,138.064,False,screen_only_no_parameter_fit,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.
