allowed_resolution,blocks_repair_or_freeze,blocks_source_basis_release,candidate_id,forbidden_resolution,missing_field_or_basis,resolution_source_paths,setup_dictionary_basis_resolution_status,source_family,still_blocks_numeric_q_source_property_or_fit_release
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit",trace area/coverage to setup geometry or a documented family envelope,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,cooling_branch,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit",setup room/surroundings temperature source and role-vs-ledger reconciliation,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,cooling_branch,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit","characteristic_length, orientation details, insulation exposure, room airflow, ambient/surroundings basis",work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,cooling_branch,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit",source-backed q-loss basis independent of Phase E fixed-state diagnostic estimate,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,cooling_branch,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit",replace wallHeatFlux-derived passive h provenance with independent source basis,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,cooling_branch,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit",trace area/coverage to setup geometry or a documented family envelope,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,downcomer,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit",setup room/surroundings temperature source and role-vs-ledger reconciliation,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,downcomer,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit","characteristic_length, orientation details, insulation exposure, room airflow, ambient/surroundings basis",work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,downcomer,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit",source-backed q-loss basis independent of Phase E fixed-state diagnostic estimate,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,downcomer,True
source-backed document/table/package row only,True,True,PASSIVE-H2-CAND001,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit",replace wallHeatFlux-derived passive h provenance with independent source basis,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv | work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv | work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv | work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/radiation_guidance_decision.json,resolved_for_setup_dictionary_passive_external_boundary_basis,downcomer,True
