branch_id,gate,status,admission_effect
heater_lower_leg,pressure_definition,diagnostic,supports_diagnostic_review_only
heater_lower_leg,geometry_length_normalization,blocked,prevents_fit_admission
heater_lower_leg,straight_loss_subtraction,blocked,prevents_fit_admission
heater_lower_leg,component_isolation,blocked,prevents_fit_admission
heater_lower_leg,recirculation_mask,blocked,prevents_fit_admission
heater_lower_leg,mesh_gci,blocked,prevents_fit_admission
cooler_upper_leg,pressure_definition,diagnostic,supports_diagnostic_review_only
cooler_upper_leg,geometry_length_normalization,blocked,prevents_fit_admission
cooler_upper_leg,straight_loss_subtraction,blocked,prevents_fit_admission
cooler_upper_leg,component_isolation,blocked,prevents_fit_admission
cooler_upper_leg,recirculation_mask,blocked,prevents_fit_admission
cooler_upper_leg,mesh_gci,blocked,prevents_fit_admission
downcomer_right_leg,pressure_definition,diagnostic,supports_diagnostic_review_only
downcomer_right_leg,geometry_length_normalization,blocked,prevents_fit_admission
downcomer_right_leg,straight_loss_subtraction,blocked,prevents_fit_admission
downcomer_right_leg,component_isolation,blocked,prevents_fit_admission
downcomer_right_leg,recirculation_mask,blocked,prevents_fit_admission
downcomer_right_leg,mesh_gci,blocked,prevents_fit_admission
lower_upper_legs,pressure_definition,diagnostic,supports_diagnostic_review_only
lower_upper_legs,geometry_length_normalization,blocked,prevents_fit_admission
lower_upper_legs,straight_loss_subtraction,blocked,prevents_fit_admission
lower_upper_legs,component_isolation,blocked,prevents_fit_admission
lower_upper_legs,recirculation_mask,blocked,prevents_fit_admission
lower_upper_legs,mesh_gci,blocked,prevents_fit_admission
test_section_span,pressure_definition,diagnostic,supports_diagnostic_review_only
test_section_span,geometry_length_normalization,blocked,prevents_fit_admission
test_section_span,straight_loss_subtraction,blocked,prevents_fit_admission
test_section_span,component_isolation,blocked,prevents_fit_admission
test_section_span,recirculation_mask,blocked,prevents_fit_admission
test_section_span,mesh_gci,blocked,prevents_fit_admission
upcomer_left_vertical,pressure_definition,diagnostic,supports_diagnostic_review_only
upcomer_left_vertical,geometry_length_normalization,blocked,prevents_fit_admission
upcomer_left_vertical,straight_loss_subtraction,blocked,prevents_fit_admission
upcomer_left_vertical,component_isolation,blocked,prevents_fit_admission
upcomer_left_vertical,recirculation_mask,blocked,prevents_fit_admission
upcomer_left_vertical,mesh_gci,blocked,prevents_fit_admission
junction_stub_connector,pressure_definition,blocked,prevents_fit_admission
junction_stub_connector,geometry_length_normalization,diagnostic,supports_diagnostic_review_only
junction_stub_connector,straight_loss_subtraction,diagnostic,supports_diagnostic_review_only
junction_stub_connector,component_isolation,blocked,prevents_fit_admission
junction_stub_connector,recirculation_mask,diagnostic,supports_diagnostic_review_only
junction_stub_connector,mesh_gci,blocked,prevents_fit_admission
