case_id,validation_split_role,role,mode,n_rows,realized_external_loss_W,mode_external_loss_W,loss_residual_mode_minus_cfd_W,mean_abs_loss_residual_W,max_abs_loss_residual_W,interpretation
salt_2,train,ambient_wall,E0_bulk,4,62.233907129,380.206570673,317.972663544,79.493165886,119.404050327,diagnostic_only
salt_2,train,ambient_wall,E1_wall_shell,4,62.233907129,370.215756113,307.981848984,76.995462246,112.608750574,executable_but_does_not_close_passive_heat_loss_gap
salt_2,train,ambient_wall,E2_low_dimensional_blend,4,62.233907129,367.024094088,304.790186959,76.19754674,112.608750574,executable_but_does_not_close_passive_heat_loss_gap
salt_2,train,heater,E0_bulk,1,0,103.217101157,103.217101157,103.217101157,103.217101157,source_role_not_passive_external_fit
salt_2,train,heater,E1_wall_shell,1,0,122.925483552,122.925483552,122.925483552,122.925483552,source_role_not_passive_external_fit
salt_2,train,junction_other,E1_wall_shell,1,39.128349537,114.241097837,75.1127483,75.1127483,75.1127483,diagnostic_only
salt_2,train,test_section,E0_bulk,1,5.679836082,37.896181014,32.216344932,32.216344932,32.216344932,source_role_not_passive_external_fit
salt_2,train,test_section,E1_wall_shell,1,5.679836082,36.200557364,30.520721282,30.520721282,30.520721282,source_role_not_passive_external_fit
salt_3,validation,ambient_wall,E0_bulk,4,68.319699257,431.231964369,362.912265112,90.728066278,136.44008093,diagnostic_only
salt_3,validation,ambient_wall,E1_wall_shell,4,68.319699257,420.489148989,352.169449732,88.042362433,128.577996431,executable_but_does_not_close_passive_heat_loss_gap
salt_3,validation,ambient_wall,E2_low_dimensional_blend,4,68.319699257,417.01959784,348.699898583,87.174974646,128.577996431,executable_but_does_not_close_passive_heat_loss_gap
salt_3,validation,heater,E0_bulk,1,0,117.376990471,117.376990471,117.376990471,117.376990471,source_role_not_passive_external_fit
salt_3,validation,heater,E1_wall_shell,1,0,139.660173509,139.660173509,139.660173509,139.660173509,source_role_not_passive_external_fit
salt_3,validation,junction_other,E1_wall_shell,1,43.234690515,128.785969827,85.551279312,85.551279312,85.551279312,diagnostic_only
salt_3,validation,test_section,E0_bulk,1,10.54504039,42.530576571,31.985536181,31.985536181,31.985536181,source_role_not_passive_external_fit
salt_3,validation,test_section,E1_wall_shell,1,10.54504039,40.5025745,29.95753411,29.95753411,29.95753411,source_role_not_passive_external_fit
salt_4,holdout,ambient_wall,E0_bulk,4,75.927117039,498.993738071,423.066621032,105.766655258,159.335071065,diagnostic_only
salt_4,holdout,ambient_wall,E1_wall_shell,4,75.927117039,486.177826301,410.250709262,102.562677315,149.470612948,executable_but_does_not_close_passive_heat_loss_gap
salt_4,holdout,ambient_wall,E2_low_dimensional_blend,4,75.927117039,482.388749932,406.461632893,101.615408223,149.470612948,executable_but_does_not_close_passive_heat_loss_gap
salt_4,holdout,heater,E0_bulk,1,0,136.149150113,136.149150113,136.149150113,136.149150113,source_role_not_passive_external_fit
salt_4,holdout,heater,E1_wall_shell,1,0,162.01536734,162.01536734,162.01536734,162.01536734,source_role_not_passive_external_fit
salt_4,holdout,junction_other,E1_wall_shell,1,48.485215891,147.099674217,98.614458326,98.614458326,98.614458326,diagnostic_only
salt_4,holdout,test_section,E0_bulk,1,16.76868551,48.635882355,31.867196845,31.867196845,31.867196845,source_role_not_passive_external_fit
salt_4,holdout,test_section,E1_wall_shell,1,16.76868551,46.038896228,29.270210718,29.270210718,29.270210718,source_role_not_passive_external_fit
