guardrail,occurred
"component K admission",false
"F6 admission",false
"clipped K or hidden multiplier",false
"protected scoring",false
"fitting or model selection",false
"source/property release",false
"candidate freeze",false
"final score claim",false
"scheduler action",false
"solver/sampler/harvest/UQ launch",false
"native CFD/OpenFOAM output mutation",false
"registry/admission mutation",false
"Fluid or external repo edit",false
"thesis body edit",false
"residual absorbed into internal Nu",false
