bc_or_heat_path,1d_model_lane,equivalent_runtime_inputs,diagnostic_inputs_allowed,forbidden_runtime_inputs,current_status
"uniform_heat_flux_UHF","declared source/sink lane or wall boundary source","setup heat rate/area if independently known; geometry; solved wall/fluid state","CFD wallHeatFlux for audit only","realized wallHeatFlux; validation temperatures; residual fill into Nu","not_released_unless_source_property_gate_passes"
"uniform_wall_temperature_UWT","Dirichlet wall/environment constraint lane","setup-known wall/environment temperature only if physically prescribed before run","CFD wall temperature for scoring/audit","validation/holdout/external wall temperatures as runtime inputs","runtime_temperature_release_false"
"conjugate_wall","wall conduction/contact/material lane","wall thickness; material k; contact/layer resistance; solved states","CFD wall temperatures and wallHeatFlux comparison","back-solved contact resistance from protected targets","partial_setup_fields_missing"
"nonuniform_patchwise_BC","patchwise source/sink distribution lane","declared patch groups; setup-known source distribution; geometry","patchwise heat ledger for diagnosis","post-solve patch heat as runtime input","diagnostic_only"
"jacket_or_cooler","HX/cooler sink lane","setup geometry; UA/effectiveness if admitted; coolant/ambient state; solved states","imposed/realized cooler duty for audit","imposed CFD cooler duty; realized cooler wallHeatFlux","setup_model_lane_exists_no_release"
"passive_external_convection","external convection lane","h_ext; area; ambient; coverage; solved surface temperature","passive wallHeatFlux diagnostics","fitted global hA multiplier; validation wall temperature","source_bounded_candidate_not_released"
"radiation","radiation lane separate from external convection","emissivity; sigma; area; Tsur; view-factor assumption; solved surface temperature","radiation on/off sensitivity; total wallHeatFlux audit","double counting radiation already included in CFD wallHeatFlux","contract_ready_not_released"
"storage","storage/residual-owner lane","none in current steady runtime","time drift and solid-energy audit","storage fitted as steady closure","future_transient_lane_only"
"internal_Nu","salt-side convection lane only","geometry; solved mdot; released properties; admitted correlation/source envelope","postprocessed h/Nu diagnostics","passive loss, heater/cooler error, radiation, storage, recirculation residual","not_residual_owner"
"final_residual","reported residual-owner output","none","residual-owner matrices and ablations","hidden global multiplier or internal-Nu residual fill","output_only"
