case_id,source_id,path_id,description,fixed_mdot_kg_s,cfd_Tmean_K,cfd_loop_delta_T_K,thermal_input_policy,hydraulic_policy,score_partition,modeling_status
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P0_fixed_mdot_current_1d_contract,Current 1D thermal contract at CFD mdot.,0.01318,450.3,12.1,current Fluid salt contract: heater imposed duty plus 37 W test-section input; predictive air-side HX and internal ambient model,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_baseline_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P1_cfd_cooler_duty_only,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.,0.01318,450.3,12.1,current Fluid sources; replace predictive air-side HX with CFD cooler wallHeatFlux magnitude,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_cfd_cooler_duty_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P2_heater_wallflux_no_test_source,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.,0.01318,450.3,12.1,use CFD heater interface wallHeatFlux as the only prescribed source; remove the legacy 37 W test-section input,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_contract_probe_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P3_source_plus_test_section_sink,Use heater wallHeatFlux and treat the test section as a negative local source.,0.01318,450.3,12.1,compatibility probe: use CFD heater interface wallHeatFlux and encode net test-section wallHeatFlux as a negative source so current Fluid internal passive-loss models remain active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_and_quartz_sink_probe_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P4_cfd_cooler_plus_heater_wallflux,Combine CFD cooler wallHeatFlux with CFD heater interface wallHeatFlux.,0.01318,450.3,12.1,impose CFD cooler duty and CFD heater interface wallHeatFlux; omit the 37 W test-section source,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_combined_cooler_source_probe_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P5_cfd_cooler_source_plus_test_sink,"Combine CFD cooler duty, heater wallHeatFlux, and net test-section passive loss.",0.01318,450.3,12.1,"preferred sign-convention probe: impose CFD cooler duty, heater wallHeatFlux as a source, and net test-section wallHeatFlux as a positive passive loss; current Fluid prescribed-loss semantics make other passive losses zero unless explicitly prescribed",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_split_source_loss_contract_probe_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P6_full_patch_ledger_prescribed,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.,0.01318,450.3,12.1,prescribe heater wallHeatFlux and all CFD cooler/passive/test/junction patch losses mapped to Fluid parent segments,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,fixed_Q_full_ledger_replay_mean_T_underanchored_without_temperature_dependent_boundary_network
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P0_fixed_mdot_current_1d_contract,Current 1D thermal contract at CFD mdot.,0.01497,463.7,12.2,current Fluid salt contract: heater imposed duty plus 37 W test-section input; predictive air-side HX and internal ambient model,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_baseline_not_predictive_hydraulic_score
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P1_cfd_cooler_duty_only,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.,0.01497,463.7,12.2,current Fluid sources; replace predictive air-side HX with CFD cooler wallHeatFlux magnitude,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_cfd_cooler_duty_not_predictive_hydraulic_score
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P2_heater_wallflux_no_test_source,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.,0.01497,463.7,12.2,use CFD heater interface wallHeatFlux as the only prescribed source; remove the legacy 37 W test-section input,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_contract_probe_not_predictive_hydraulic_score
