case_id,source_id,path_id,description,fixed_mdot_kg_s,cfd_mdot_kg_s,mdot_relative_error,thermal_root_found,temperature_root_bracketed,temperature_root_reason,temperature_periodicity_error_K,model_Tmean_K,cfd_Tmean_K,Tmean_error_K,model_loop_delta_T_K,cfd_loop_delta_T_K,loop_delta_T_error_K,qhx_total_W,qambient_total_W,source_total_W,prescribed_loss_total_W,deltaP_buoyancy_Pa,deltaP_losses_Pa,pressure_residual_Pa,pressure_residual_tolerance_Pa,pressure_residual_margin_Pa,pressure_root_policy,reynolds_main,velocity_main_m_s,friction_factor_main,predicted_air_outlet_temperature_K,start_temperature_K,end_temperature_K,thermal_input_policy,hydraulic_policy,score_partition,modeling_status
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P0_fixed_mdot_current_1d_contract,Current 1D thermal contract at CFD mdot.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,0.0,512.525923,450.3,62.225923,11.19629,12.1,-0.90371,46.291521,256.40799,302.7,0.0,53.880932,22.001931,-31.879001,2.694047,29.184954,not_rooted_fixed_mdot_pressure_residual_diagnostic,172.623192,0.01803813,0.37074972,366.787658,518.343635,518.343635,current Fluid salt contract: heater imposed duty plus 37 W test-section input; predictive air-side HX and internal ambient model,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_baseline_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P1_cfd_cooler_duty_only,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,-0.0,456.51919,450.3,6.21919,12.237744,12.1,0.137744,136.3507,166.350214,302.7,0.0,70.006856,37.439046,-32.56781,3.500343,29.067467,not_rooted_fixed_mdot_pressure_residual_diagnostic,99.24386,0.01765155,0.64487617,485.40212,462.621964,462.621964,current Fluid sources; replace predictive air-side HX with CFD cooler wallHeatFlux magnitude,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_cfd_cooler_duty_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P2_heater_wallflux_no_test_source,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,0.0,481.806727,450.3,31.506727,10.606873,12.1,-1.493127,39.26221,204.255585,243.5191,0.0,50.784748,28.605942,-22.178806,2.539237,19.639569,not_rooted_fixed_mdot_pressure_residual_diagnostic,130.663101,0.01782331,0.48980928,355.993444,487.675824,487.675824,use CFD heater interface wallHeatFlux as the only prescribed source; remove the legacy 37 W test-section input,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_contract_probe_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P3_source_plus_test_section_sink,Use heater wallHeatFlux and treat the test section as a negative local source.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,-0.0,478.673324,450.3,28.373324,10.66279,12.1,-1.43721,38.543992,199.293866,237.8393,0.0,50.988996,29.48979,-21.499206,2.54945,18.949756,not_rooted_fixed_mdot_pressure_residual_diagnostic,126.686381,0.01780226,0.50518453,354.900637,484.632361,484.632361,compatibility probe: use CFD heater interface wallHeatFlux and encode net test-section wallHeatFlux as a negative source so current Fluid internal passive-loss models remain active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_and_quartz_sink_probe_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P4_cfd_cooler_plus_heater_wallflux,Combine CFD cooler wallHeatFlux with CFD heater interface wallHeatFlux.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,-0.0,411.677493,450.3,-38.622507,11.727298,12.1,-0.372702,136.3507,107.168586,243.5191,0.0,68.164984,70.55426,2.389276,3.527713,-1.138437,not_rooted_fixed_mdot_pressure_residual_diagnostic,52.563853,0.01735267,1.21756676,485.40212,417.849815,417.849815,impose CFD cooler duty and CFD heater interface wallHeatFlux; omit the 37 W test-section source,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_combined_cooler_source_probe_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P5_cfd_cooler_source_plus_test_sink,"Combine CFD cooler duty, heater wallHeatFlux, and net test-section passive loss.",0.01318,0.01318,0.0,False,False,no_bracketed_temperature_periodicity_root,5.404173,271.026673,450.3,-179.273327,12.967163,12.1,0.867163,136.3507,5.6798,243.5191,5.6798,56.387793,10075.62059,10019.232797,503.781029,9515.451767,not_rooted_fixed_mdot_pressure_residual_diagnostic,0.393768,0.01645814,162.53238415,485.40212,274.19,279.594173,"preferred sign-convention probe: impose CFD cooler duty, heater wallHeatFlux as a source, and net test-section wallHeatFlux as a positive passive loss; current Fluid prescribed-loss semantics make other passive losses zero unless explicitly prescribed",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_split_source_loss_contract_probe_not_predictive_hydraulic_score
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,P6_full_patch_ledger_prescribed,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.,0.01318,0.01318,0.0,False,False,no_bracketed_temperature_periodicity_root,0.006736,282.004321,450.3,-168.295679,12.612093,12.1,0.512093,0.0,243.3926,243.5191,243.3926,76.541976,5101.702433,5025.160457,255.085122,4770.075335,not_rooted_fixed_mdot_pressure_residual_diagnostic,0.902126,0.01654004,70.9434926,299.19,287.9805,287.987236,prescribe heater wallHeatFlux and all CFD cooler/passive/test/junction patch losses mapped to Fluid parent segments,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,fixed_Q_full_ledger_replay_mean_T_underanchored_without_temperature_dependent_boundary_network
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P0_fixed_mdot_current_1d_contract,Current 1D thermal contract at CFD mdot.,0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,-0.0,527.685914,463.7,63.985914,11.062041,12.2,-1.137959,49.662815,284.836515,334.5,0.0,53.000384,22.625238,-30.375146,2.650019,27.725127,not_rooted_fixed_mdot_pressure_residual_diagnostic,220.694342,0.02061072,0.28999384,372.767366,533.479383,533.479383,current Fluid salt contract: heater imposed duty plus 37 W test-section input; predictive air-side HX and internal ambient model,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_baseline_not_predictive_hydraulic_score
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P1_cfd_cooler_duty_only,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.,0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,0.0,468.152671,463.7,4.452671,12.090919,12.2,-0.109081,150.7696,183.731221,334.5,0.0,68.934511,37.540475,-31.394035,3.446726,27.94731,not_rooted_fixed_mdot_pressure_residual_diagnostic,128.834255,0.02013887,0.49676229,506.103026,474.226915,474.226915,current Fluid sources; replace predictive air-side HX with CFD cooler wallHeatFlux magnitude,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_cfd_cooler_duty_not_predictive_hydraulic_score
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P2_heater_wallflux_no_test_source,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.,0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,-0.0,497.546619,463.7,33.846619,10.465023,12.2,-1.734977,42.727514,230.426487,273.1554,0.0,49.95269,28.394688,-21.558002,2.497635,19.060368,not_rooted_fixed_mdot_pressure_residual_diagnostic,172.348218,0.020368,0.37134123,362.012105,503.341077,503.341077,use CFD heater interface wallHeatFlux as the only prescribed source; remove the legacy 37 W test-section input,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_contract_probe_not_predictive_hydraulic_score
