case_id,family,series_label,unit,source_files,status,window_start_s,window_end_s,n_window,mean,drift_over_window,relative_drift,peak_to_peak,rmse_about_trend,rel_sem_corrected,drift_ratio,verdict
salt1_nominal,total_Q,net total heat residual,W,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/total_Q.dat,analyzed,7284,7884,601,-8.88689,0,0,0,2.84217094304e-14,1.3045572855e-16,0,steady
salt1_nominal,mdot,pipeleg_left_04_test_section,kg/s,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_left_04_test_section/4026.15625/surfaceFieldValue.dat,analyzed,7284,7884,601,-0.0112295061397,-2.54127947846e-12,2.26303761433e-10,7.40000000513e-10,1.7276566455e-10,6.27571872397e-10,0.014709401229,steady
salt1_nominal,mdot,pipeleg_lower_05_straight,kg/s,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_lower_05_straight/4026.15625/surfaceFieldValue.dat,analyzed,7284,7884,601,-0.0112295061121,-1.09999391851e-11,9.79556810006e-10,1.62999999956e-09,4.32617956506e-10,1.57151448105e-09,0.0254264507973,steady
salt1_nominal,mdot,pipeleg_right_02_middle,kg/s,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_right_02_middle/4026.15625/surfaceFieldValue.dat,analyzed,7284,7884,601,-0.0112295062,-1.31515027633e-11,1.17115592878e-09,2.15000000095e-09,4.15573313387e-10,1.50962103373e-09,0.0316466489539,steady
salt1_nominal,mdot,pipeleg_upper_05_cooler,kg/s,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_upper_05_cooler/4026.15625/surfaceFieldValue.dat,analyzed,7284,7884,601,-0.0112295061527,8.07856228883e-12,7.19404947906e-10,8.89999999046e-10,1.91824979806e-10,6.96850260732e-10,0.0421142350542,steady
salt1_nominal,temperature_probes,max_abs_probe_drift,K,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/temperature_probes/4026.15625/T,analyzed,7284,7884,,,0,,,,2.73913734064e-16,,steady
salt1_nominal,wall_temperature_probes,max_abs_probe_drift,K,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/wall_temperature_probes/4026.15625/T,analyzed,7284,7884,,,0,,,,4.37712040753e-17,,steady
salt1_lo10q,total_Q,net total heat residual,W,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/total_Q.dat,analyzed,7416,8016,601,-8.7979,0,0,0,7.63833440942e-14,3.5414605693e-16,0,steady
salt1_lo10q,mdot,pipeleg_left_04_test_section,kg/s,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_left_04_test_section/3756.33125/surfaceFieldValue.dat;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_left_04_test_section/6377/surfaceFieldValue.dat,analyzed,7416,8016,601,-0.0104108144057,3.25097705378e-10,3.12269235346e-08,1.13700000005e-08,2.38180599829e-09,2.0881275183e-08,0.136492101209,steady
salt1_lo10q,mdot,pipeleg_lower_05_straight,kg/s,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_lower_05_straight/3756.33125/surfaceFieldValue.dat;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_lower_05_straight/6377/surfaceFieldValue.dat,analyzed,7416,8016,601,-0.0104108144535,3.89162359585e-10,3.73805874001e-08,1.42100000013e-08,2.86942073591e-09,1.91864964831e-08,0.135624014532,steady
salt1_lo10q,mdot,pipeleg_right_02_middle,kg/s,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_right_02_middle/3756.33125/surfaceFieldValue.dat;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_right_02_middle/6377/surfaceFieldValue.dat,analyzed,7416,8016,601,-0.0104108144678,3.33257527619e-10,3.20107066215e-08,1.24900000013e-08,2.35215507507e-09,1.94435506612e-08,0.141681784144,steady
salt1_lo10q,mdot,pipeleg_upper_05_cooler,kg/s,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_upper_05_cooler/3756.33125/surfaceFieldValue.dat;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/mdot_pipeleg_upper_05_cooler/6377/surfaceFieldValue.dat,analyzed,7416,8016,601,-0.0104108144385,3.76685479942e-10,3.61821337003e-08,1.128e-08,2.35767836542e-09,2.05094225882e-08,0.159769663864,steady
salt1_lo10q,temperature_probes,max_abs_probe_drift,K,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/temperature_probes/3756.33125/T;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/temperature_probes/6377/T,analyzed,7416,8016,,,0,,,,4.48667392867e-16,,steady
salt1_lo10q,wall_temperature_probes,max_abs_probe_drift,K,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/wall_temperature_probes/3756.33125/T;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/wall_temperature_probes/6377/T,analyzed,7416,8016,,,0,,,,6.68078376019e-16,,steady
