case_key,display_label,admission_status,source_role,steady_state_verdict,run_state,latest_time_s,basis,next_action
salt1_nominal,salt1_jin_nominal_continuation_corrected,admitted,Salt1 primary/training,steady,stopped,,Salt1 terminal monitors are stationary; convergence monitor is diagnostic-only; 2026-07-14 Salt1 policy admits as training/correlation-support evidence.,Use as primary Salt1 closure evidence with perturbed-Q labels preserved; do not hide cancellation provenance.
salt1_lo10q,salt1_jin_lo10q_corrected,admitted,Salt1 primary/training,steady,stopped,8016.7467532467581,Salt1 terminal monitors are stationary; convergence monitor is diagnostic-only; 2026-07-14 Salt1 policy admits as training/correlation-support evidence.,Use as primary Salt1 closure evidence with perturbed-Q labels preserved; do not hide cancellation provenance.
salt1_hi10q,salt1_jin_hi10q_corrected,admitted,Salt1 primary/training,steady,failed,5587.9879518072294,Salt1 terminal monitors are stationary; convergence monitor is diagnostic-only; 2026-07-14 Salt1 policy admits as training/correlation-support evidence.,Use as primary Salt1 closure evidence with perturbed-Q labels preserved; do not hide cancellation provenance.
salt2_jin_nominal,viscosity_screening_salt_test_2_jin_coarse_mesh,admitted,canonical forward train,steady,,,Current canonical Salt2 nominal row has steady representative groups and is the main train row.,Use as primary closure/scorecard evidence within existing gate limits.
salt3_jin_nominal,viscosity_screening_salt_test_3_jin_coarse_mesh,admitted,primary nominal closure evidence,steady,completed,7618.231182796,Salt3 nominal is steady and is part of the Salt2/3/4 nominal closure evidence set.,Use as primary nominal closure evidence with split/provenance labels preserved.
salt4_nominal,viscosity_screening_salt_test_4_jin_coarse_mesh,admitted,primary nominal closure evidence,steady,,,Salt4 nominal is steady and is part of the Salt2/3/4 nominal closure evidence set.,Use as primary nominal closure evidence with split/provenance labels preserved.
salt2_native_val,val_salt_test_2_coarse_mesh,validation-only,external validation,steady,,,"External validation row is steady and unlocked for validation, not fitting.",Use for blind/external scoring only.
salt2_lo5q,salt2_jin_lo5q_corrected,validation-only,perturbed-Q thermal split row,steady,stopped,10275.910714286,holdout_thermal_candidate_closure_diagnostic_only,Use only as declared holdout/testing thermal rows; do not fit or tune on these rows; keep F6/internal-Nu diagnostic because recirculation/sign gates fail.
salt2_hi5q,salt2_jin_hi5q_corrected,validation-only,perturbed-Q thermal split row,steady,stopped,9780.590909091,holdout_thermal_candidate_closure_diagnostic_only,Use only as declared holdout/testing thermal rows; do not fit or tune on these rows; keep F6/internal-Nu diagnostic because recirculation/sign gates fail.
salt4_lo5q,salt4_jin_lo5q_corrected,diagnostic-only,perturbed-Q thermal split row,steady,stopped,11695.222222222,training_thermal_candidate_closure_diagnostic_only,Use only under explicit user-policy perturbed-Q training; keep labels perturbed and do not claim independent nominal baselines; F6/internal-Nu diagnostic only.
salt4_hi5q,salt4_jin_hi5q_corrected,diagnostic-only,perturbed-Q thermal split row,steady,stopped,11399.1875,training_thermal_candidate_closure_diagnostic_only,Use only under explicit user-policy perturbed-Q training; keep labels perturbed and do not claim independent nominal baselines; F6/internal-Nu diagnostic only.
salt2_lo10q,salt2_jin_lo10q_corrected,blocked,pending or failed perturbed-Q,,running,10661.674847,pending_terminal_harvest,"Wait for 3293924 terminal state, let 3295438 run, then run terminal steady/admission, BC role reduction, heat-loss ledger, and PM5/F6/internal-Nu review."
salt2_hi10q,salt2_jin_hi10q_corrected,blocked,pending or failed perturbed-Q,,running,10030.441989,pending_terminal_harvest,"Wait for 3293924 terminal state, let 3295438 run, then run terminal steady/admission, BC role reduction, heat-loss ledger, and PM5/F6/internal-Nu review."
salt4_lo10q,salt4_jin_lo10q_corrected,blocked,pending or failed perturbed-Q,,running,11966.208333,pending_terminal_harvest,"Wait for 3293924 terminal state, let 3295438 run, then run terminal steady/admission, BC role reduction, heat-loss ledger, and PM5/F6/internal-Nu review."
salt4_hi10q,salt4_jin_hi10q_corrected,blocked,pending or failed perturbed-Q,,running,12896.986047,pending_terminal_harvest,"Wait for 3293924 terminal state, let 3295438 run, then run terminal steady/admission, BC role reduction, heat-loss ledger, and PM5/F6/internal-Nu review."
salt3_lo5q,salt3_jin_lo5q_corrected,blocked,pending or failed perturbed-Q,,stopped,9389.171270718,sensitivity_only_needs_continuation_or_regate,"Do not use for thesis training/testing now; if needed later, continue or re-gate after sufficient perturbed operating-point window."
salt3_lo10q,salt3_jin_lo10q_corrected,blocked,pending or failed perturbed-Q,,stopped,9428.159090909,sensitivity_only_needs_continuation_or_regate,"Do not use for thesis training/testing now; if needed later, continue or re-gate after sufficient perturbed operating-point window."
salt3_hi5q,salt3_jin_hi5q_corrected,blocked,pending or failed perturbed-Q,,failed,7639.476190476,not_admissible_failed,Investigate failure/log cause before any future rebuild; no continuation submission in this pass.
salt3_hi10q,salt3_jin_hi10q_corrected,blocked,pending or failed perturbed-Q,,failed,7637.875696673,not_admissible_failed,Investigate failure/log cause before any future rebuild; no continuation submission in this pass.
