case_key,corrected_scorecard_role,final_fit_allowed,final_model_selection_allowed,blind_score_allowed_now,use_now,legal_disposition,terminal_update
salt1_nominal,final_training,yes,yes,no,fit_training_and_internal_training_score,may_train_final_freeze,
salt2_jin_nominal,final_training,yes,yes,no,fit_training_and_internal_training_score,may_train_final_freeze,
salt3_jin_nominal,final_training,yes,yes,no,fit_training_and_internal_training_score,may_train_final_freeze,
salt4_nominal,final_training,yes,yes,no,fit_training_and_internal_training_score,may_train_final_freeze,
salt1_lo10q,support_diagnostic_not_final_training,no,no,no,diagnostic_support_only,do_not_expand_training_set_without_new_policy,
salt1_hi10q,support_diagnostic_not_final_training,no,no,no,diagnostic_support_only,do_not_expand_training_set_without_new_policy,
salt4_lo5q,support_diagnostic_not_final_training,no,no,no,diagnostic_support_only,do_not_expand_training_set_without_new_policy,
salt4_hi5q,support_diagnostic_not_final_training,no,no,no,diagnostic_support_only,do_not_expand_training_set_without_new_policy,
salt2_lo5q,blind_holdout_salt2_pm5q,no,no,yes_after_final_freeze,blind_holdout_score_only_after_freeze,fit_and_model_selection_forbidden,
salt2_hi5q,blind_holdout_salt2_pm5q,no,no,yes_after_final_freeze,blind_holdout_score_only_after_freeze,fit_and_model_selection_forbidden,
val_salt2,blind_external_val_salt2,no,no,yes_after_final_freeze,external_score_only_after_freeze,fit_and_model_selection_forbidden,
salt2_lo10q,future_blind_holdout_blocked_terminal_admission,no,no,no,diagnostic_terminal_evidence_and_future_holdout_planning,do_not_fit_or_model_select; do_not_use_as_runtime_input; score only after an independently frozen candidate exists,terminal_evidence_now_available
salt2_hi10q,future_blind_holdout_blocked_terminal_admission,no,no,no,diagnostic_terminal_evidence_and_future_holdout_planning,do_not_fit_or_model_select; do_not_use_as_runtime_input; score only after an independently frozen candidate exists,terminal_evidence_now_available
salt4_lo10q,future_blind_holdout_blocked_terminal_admission,no,no,no,diagnostic_terminal_evidence_and_future_holdout_planning,do_not_fit_or_model_select; do_not_use_as_runtime_input; score only after an independently frozen candidate exists,terminal_evidence_now_available
salt4_hi10q,future_blind_holdout_blocked_terminal_admission,no,no,no,diagnostic_terminal_evidence_and_future_holdout_planning,do_not_fit_or_model_select; do_not_use_as_runtime_input; score only after an independently frozen candidate exists,terminal_evidence_now_available
salt3_q_insulation_matrix,future_new_cfd_blocked_run_and_admission,no,no,no_until_run_and_admission,future_only_not_current_scorecard,do_not_score_or_tune_until_run_admission,
