sensor,kind,runtime_temperature_allowed,fit_allowed,score_allowed,score_use,source_segment,fluid_projection_status,native_cfd_representation,observed_rows,mean_abs_error_K,max_abs_error_K,policy,blocker_or_caveat,next_action
TP1,TP,false,false,true_provisional,scoreable_provisional_diagnostic_target,top_horizontal_exit,exact_on_current_fluid_path,single nominal point,12,93.9119,225.827,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TP2,TP,false,false,false,exclude_from_score_aggregate_report_as_blocked,,off_current_fluid_path,single nominal point,12,,,exclude_until_coordinate_or_output_blocker_clears,Current Fluid provisional TP2 x coordinate is off the current 1D path; native CFD TP2 and notes bound it to the right-downcomer/bottom-horizontal junction.,use for validation/scorecard only; do not use TP/TW as model inputs
TP3,TP,false,false,true_provisional,scoreable_provisional_diagnostic_target,left_lower_vertical,exact_on_current_fluid_path,single nominal point,12,82.1219,201.982,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TP4,TP,false,false,true_provisional,scoreable_provisional_diagnostic_target,left_lower_vertical,exact_on_current_fluid_path,single nominal point,12,83.8843,203.5,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TP5,TP,false,false,true_provisional,scoreable_provisional_diagnostic_target,test_section,exact_on_current_fluid_path,single nominal point,12,84.9397,203.974,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TP6,TP,false,false,true_provisional,scoreable_provisional_diagnostic_target,left_upper_vertical,exact_on_current_fluid_path,single nominal point,12,86.8774,206.787,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW1,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,right_vertical,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,109.265,244.914,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW2,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,right_vertical,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,105.761,241.003,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW3,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,right_vertical,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,86.8782,217.949,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW4,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,heated_incline,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,84.5857,210.39,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW5,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,heated_incline,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,82.3004,202.917,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW6,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,heated_incline,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,80.0987,197.11,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW7,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,left_lower_vertical,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,85.9911,205.841,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW8,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,left_upper_vertical,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,86.0692,204.831,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW9,TW,false,false,true_provisional,scoreable_provisional_diagnostic_target,cooled_incline_pre_hx,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,74.3144,189.401,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,use for validation/scorecard only; do not use TP/TW as model inputs
TW10,TW,false,false,false,exclude_from_score_aggregate_report_as_blocked,,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,12,,,exclude_until_coordinate_or_output_blocker_clears,TW10 is a cooling-jacket shell surrogate; imposed-cooler forward-v0 does not emit finite active-HX shell temperature for this sensor.,use for validation/scorecard only; do not use TP/TW as model inputs
