lane,source_status,source_author_title,equation_or_form,valid_range_or_source_limit,tamu_overlap,allowed_use,excluded_use,primary_evidence
property,admitted_property_lane,"Reis, Seo, and Hassan, Molten Salt Flow Visualization to Characterize Boundary Layer Behavior and Heat Transfer in a Natural Circulation Loop","P0 replication_reis_jadyn property mode; carry rho, mu, cp, k as named inputs","TAMU/Reis replication convention; not a new property correlation","Current Salt2/3/4 rows have direct replication-mode rows","Use for replication and for separating property-choice effects before any fitting","Do not mix with updated viscosity/cp/k sources inside one fitted residual","work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv"
property,reference_only,"Sohal et al., Engineering Database of Liquid Salt Thermophysical and Thermochemical Properties; Janz et al., Molten Salts data compilations","P1 sohal_janz_full property mode","General molten-salt engineering database; source package does not make it the TAMU replication mode","Current rows report Re ratio 1.0 and Pr/Gz ratios about 1.08-1.09 versus replication","Use as an updated-property reference/sensitivity lane after declaring mode","Do not use to fit friction or thermal residuals without a separate rerun and declared lane","work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv"
property,sensitivity_only,"Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power; Parida and Basu, On the Specific Heat Capacity of HITEC-Salt Nanocomposites for Concentrated Solar Power Applications; Santini et al., Measurement of Thermal Conductivity of Molten Salts in the Range 100-500 C","P2 jin_viscosity_parida_cp_santini_k property mode","Updated candidate properties; first-order reduction only, no full 1D rerun in package","Current rows move mean Re to about 1.25-1.30x replication and Pr/Gz to about 0.46-0.61x","Use to bound property sensitivity and decide whether updated-property rerun is required","Do not fit K, f_D, Nu, UA, or HX residuals while treating property movement as fixed truth","work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv"
friction_thermal_reference,reference_only,"Shah and London, Laminar Flow Forced Convection Heat Transfer and Flow Friction in Straight and Curved Ducts; Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts","Fully developed laminar pipe reference f_D = 64/Re; entrance/reset length gate","Fully developed or entry-length reference; requires section development evidence","TAMU rows are low-Re but many sections have resets, fittings, recirculation, or section-effective flags","Report as reference side columns and reset/development diagnostics","Do not use as one global loop friction multiplier or as default for disturbed spans","reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md"
friction_thermal_candidate,sensitivity_only,"Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach","Developing pressure loss as fRe(L+) from reset distance and characteristic length","Laminar developing-flow model; implementation constants and characteristic length require audit","Reset map has x_from_reset and L/D rows, but thermal reset status remains unknown for wall/material changes","Use for no-reset/conservative-reset/aggressive-reset sensitivity studies","Do not collapse component, cluster, branch-apparent, and redevelopment losses into one fitted f_D","work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv"
minor_loss,admitted_method_gate,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Lin et al., State-of-the-Art Review on Measurement of Pressure Losses of Fluid Flow Through Pipe Fittings; Salehi et al., Experimental Determination and Computational Fluid Dynamics Predictions of Pressure Loss in Close-Coupled Elbows (RP-1682); Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Pressure Loss Coefficients","Named losses: straight_section, component_K, cluster_K, branch_apparent with explicit pressure_basis and velocity_basis","Method source; current package includes upper-bound or section-effective CFD reductions, not transferable constants","Current rows classify 33 named losses; many universal names rejected and several K rows remain coarse/no-GCI or recirculation-adjacent","Use named loss ledger and H1-type bounded screens with fit/validation separation","Do not export universal K without geometry, pressure basis, velocity basis, and validity admission","work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv"
internal_htc,reference_only,"Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts","Forced combined-entry Nu as a function of laminar entry nondimensional groups","Source overlap package marks Re/Pr class inside, but characteristic-length conversion and constants are unaudited","TAMU low-Re rows overlap model class; several spans remain recirculation-invalid or coarse/no-GCI","Use as a reference or candidate after conversion audit and thermal admission","Do not tune internal Nu to absorb jacket, passive loss, radiation metadata, heater efficiency, wall storage, or residual heat","work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv"
internal_htc,rejected_current_closure,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube","Low-Re molten-salt mixed-convection Nu using Gz, GrPrD/L, viscosity ratio, and concentric-tube assumptions","Package range: Re 300-2300; Pr 11-27; Gr 8.56e4-3.95e6; Gz 150-310; 35<L/D<95; concentric-tube molten salt","Current TAMU rows are outside or unknown: Re about 50-69 and L/D often about 4.7-16.8 in audited rows","Use only as future sensitivity if a branch is inside every audited group and BC/geometry match is documented","Do not promote for current Salt2/3/4 low-Re TAMU closure rows","work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv"
internal_htc,reference_only,"Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes","Entrance-length and mixed-convection diagnostic gate","Source envelope not fully established in current package","TAMU groups are computed, but geometry/fluid/range match remains unknown","Use as a gate for development-state questions","Do not use as active Nu correlation until source envelope audit is complete","work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv"
internal_htc,rejected_current_closure,"Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux","Turbulent cooled molten-salt mixed-convection reference","Turbulent source; exact audited numeric range not promoted for low-Re TAMU laminar branches","Current TAMU branch Re is laminar in the source-envelope ledger","Use only for qualitative cooling/regime context","Do not use as a TAMU laminar low-Re Nu closure","work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv"
