source_author_title,status,status_meaning,downstream_decision
"Reis, Seo, and Hassan, Molten Salt Flow Visualization to Characterize Boundary Layer Behavior and Heat Transfer in a Natural Circulation Loop",admitted_property_lane,"Admitted as the replication property lane and provenance baseline",Use before closure fitting to keep replication separate from updated-property modes.
"Sohal et al., Engineering Database of Liquid Salt Thermophysical and Thermochemical Properties; Janz et al., Molten Salts data compilations",reference_only,"Source-supported updated-property reference, not current replication",Use for declared updated-property reruns or sensitivity, not silent fitting.
"Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power; Parida and Basu, On the Specific Heat Capacity of HITEC-Salt Nanocomposites for Concentrated Solar Power Applications; Santini et al., Measurement of Thermal Conductivity of Molten Salts in the Range 100-500 C",sensitivity_only,"Updated candidate property mode moves Re/Pr/Gz materially",Run or declare property mode before fitting pressure or heat residuals.
"Shah and London, Laminar Flow Forced Convection Heat Transfer and Flow Friction in Straight and Curved Ducts; Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts",reference_only,"Fully developed and entrance-length references",Keep as diagnostics, not active global closure.
"Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",sensitivity_only,"Reset/developing pressure candidate pending audit",Use reset sensitivity only; keep losses named.
"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Lin et al., State-of-the-Art Review on Measurement of Pressure Losses of Fluid Flow Through Pipe Fittings; Salehi et al., Experimental Determination and Computational Fluid Dynamics Predictions of Pressure Loss in Close-Coupled Elbows (RP-1682); Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Pressure Loss Coefficients",admitted_method_gate,"Admitted as named-loss methodology, not universal K constants",Use component/cluster/branch-apparent naming with explicit bases.
"Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts",reference_only,"Forced developing Nu source overlaps class but needs conversion audit",Use as reference/candidate after source and thermal admission gates.
"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube",rejected_current_closure,"Current TAMU rows are outside/unknown for active promotion",Do not promote for current Salt2/3/4; future inside-envelope rows may reopen.
"Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes",reference_only,"Diagnostic gate with unknown full envelope match",Use to ask development-state questions only.
"Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",rejected_current_closure,"Turbulent source for laminar TAMU rows",Use as qualitative reference only.
"VDI Heat Atlas",admitted_architecture,"Admitted as heat-loss resistance-network architecture",Separate internal convection, wall, contact, external convection, radiation, jacket, and residual.
"Reis, Seo, and Hassan, Consequences of Molten Salt Solidification in a Natural Circulation Flow Visualization Loop Due to Heater Failure",admitted_architecture,"Admitted as active cooling/heater/passive/storage separation evidence",Do not use imposed cooler duty as predictive input.
"VDI Heat Atlas; TAMU CFD rcExternalTemperature evidence from AGENT-277/AGENT-287",admitted_diagnostic_boundary_fact,"CFD wallHeatFlux includes rcExternalTemperature radiation metadata and no separate qr term",Prevent separate radiation double counting in replay modes.
"Shen et al., Convective Heat Transfer of Molten Salt in Receiver Tube with Axially and Circumferentially Non-Uniform Heat Flux; Chen et al., Flow and Mixed Convection Heat Transfer of Hitec Salt in Multi-Sided Heating Pipes",sensitivity_only,"Nonuniform heating/wall-layer diagnostic sources",Use for wall-pattern diagnostics, not global Nu fitting.
"Yang et al., Performance Evaluation of Flow and Mixed Convective Heat Transfer of Hitec Salt in Inclined Tube with Single Surface Heating",reference_only,"Inclination metadata and buoyancy-component diagnostic",Use orientation bookkeeping only.
"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",admitted_method_gate,"Admitted as CFD validity and invalid-single-stream diagnostics",Use section-effective names and reject universal coefficient claims where recirculation exists.
