sensitivity_id,sensor,sensor_kind,prediction_source_segment,baseline_residual_K,candidate_residual_K,delta_residual_K,baseline_abs_residual_K,candidate_abs_residual_K,delta_abs_residual_K,response_class,claim_boundary
lower_leg_hA_scale_0.5,TP1,TP,top_horizontal_exit,-87.92395687812393,-83.27787400855846,4.6460828695654754,87.92395687812393,83.27787400855846,-4.6460828695654754,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TP2,TP,,,,,,,,not_evaluable,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TP3,TP,left_lower_vertical,-71.99877491658049,-67.41709077969642,4.581684136884064,71.99877491658049,67.41709077969642,-4.581684136884064,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TP4,TP,left_lower_vertical,-78.15520696979331,-73.46096599623695,4.6942409735563615,78.15520696979331,73.46096599623695,-4.6942409735563615,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TP5,TP,test_section,-77.51240681850976,-73.17350714560075,4.338899672909008,77.51240681850976,73.17350714560075,-4.338899672909008,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TP6,TP,left_upper_vertical,-85.65660972897336,-81.19817153076855,4.458438198204817,85.65660972897336,81.19817153076855,-4.458438198204817,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW1,TW,right_vertical,-82.5654417051071,-77.85253083989818,4.712910865208926,82.5654417051071,77.85253083989818,-4.712910865208926,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW10,TW,cooled_incline_hx_active,-24.0768651941367,-19.603505100267682,4.473360093869019,24.0768651941367,19.603505100267682,-4.473360093869019,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW11,TW,cooled_incline_post_hx,-81.91245394255543,-77.34282324225597,4.569630700299456,81.91245394255543,77.34282324225597,-4.569630700299456,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW2,TW,right_vertical,-87.85910936335051,-83.06322827476401,4.795881088586498,87.85910936335051,83.06322827476401,-4.795881088586498,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW3,TW,right_vertical,-90.04458167578917,-85.18683899394091,4.857742681848265,90.04458167578917,85.18683899394091,-4.857742681848265,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW4,TW,heated_incline,-88.97995704040545,-84.31813308118586,4.661823959219589,88.97995704040545,84.31813308118586,-4.661823959219589,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW5,TW,heated_incline,-109.09380824932663,-104.50070134125099,4.59310690807564,109.09380824932663,104.50070134125099,-4.59310690807564,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW6,TW,heated_incline,-98.32612150303572,-93.72759649314486,4.598525009890864,98.32612150303572,93.72759649314486,-4.598525009890864,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW7,TW,left_lower_vertical,-80.81461106728568,-76.20316466625616,4.611446401029525,80.81461106728568,76.20316466625616,-4.611446401029525,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW8,TW,left_upper_vertical,-78.43118567652232,-74.0565071419528,4.374678534569512,78.43118567652232,74.0565071419528,-4.374678534569512,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_0.5,TW9,TW,cooled_incline_pre_hx,-81.95315020396828,-77.45346595912338,4.4996842448449,81.95315020396828,77.45346595912338,-4.4996842448449,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TP1,TP,top_horizontal_exit,-87.92395687812393,-95.5729341715728,-7.648977293448866,87.92395687812393,95.5729341715728,7.648977293448866,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TP2,TP,,,,,,,,not_evaluable,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TP3,TP,left_lower_vertical,-71.99877491658049,-79.60929312805786,-7.61051821147737,71.99877491658049,79.60929312805786,7.61051821147737,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TP4,TP,left_lower_vertical,-78.15520696979331,-85.96898092364978,-7.813773953856469,78.15520696979331,85.96898092364978,7.813773953856469,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TP5,TP,test_section,-77.51240681850976,-84.59597759229462,-7.0835707737848566,77.51240681850976,84.59597759229462,7.0835707737848566,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TP6,TP,left_upper_vertical,-85.65660972897336,-92.96485669322425,-7.308246964250884,85.65660972897336,92.96485669322425,7.308246964250884,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW1,TW,right_vertical,-82.5654417051071,-90.33046437699261,-7.765022671885504,82.5654417051071,90.33046437699261,7.765022671885504,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW10,TW,cooled_incline_hx_active,-24.0768651941367,-31.42232549387711,-7.3454602997404095,24.0768651941367,31.42232549387711,7.3454602997404095,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW11,TW,cooled_incline_post_hx,-81.91245394255543,-89.42753939873029,-7.515085456174859,81.91245394255543,89.42753939873029,7.515085456174859,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW2,TW,right_vertical,-87.85910936335051,-95.75756914528034,-7.89845978192983,87.85910936335051,95.75756914528034,7.89845978192983,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW3,TW,right_vertical,-90.04458167578917,-98.03123550526527,-7.986653829476097,90.04458167578917,98.03123550526527,7.986653829476097,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW4,TW,heated_incline,-88.97995704040545,-96.54588517033841,-7.565928129932956,88.97995704040545,96.54588517033841,7.565928129932956,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW5,TW,heated_incline,-109.09380824932663,-116.57238461051946,-7.478576361192836,109.09380824932663,116.57238461051946,7.478576361192836,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW6,TW,heated_incline,-98.32612150303572,-105.89826596123999,-7.572144458204264,98.32612150303572,105.89826596123999,7.572144458204264,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW7,TW,left_lower_vertical,-80.81461106728568,-88.48220507875465,-7.667594011468964,80.81461106728568,88.48220507875465,7.667594011468964,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW8,TW,left_upper_vertical,-78.43118567652232,-85.58829733240566,-7.157111655883341,78.43118567652232,85.58829733240566,7.157111655883341,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
lower_leg_hA_scale_2.0,TW9,TW,cooled_incline_pre_hx,-81.95315020396828,-89.34163721365456,-7.388487009686287,81.95315020396828,89.34163721365456,7.388487009686287,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TP1,TP,top_horizontal_exit,-87.92395687812393,-37.105084324929635,50.818872553194296,87.92395687812393,37.105084324929635,-50.818872553194296,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TP2,TP,,,,,,,,not_evaluable,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TP3,TP,left_lower_vertical,-71.99877491658049,-24.481844364500944,47.51693055207954,71.99877491658049,24.481844364500944,-47.51693055207954,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TP4,TP,left_lower_vertical,-78.15520696979331,-29.025919433458228,49.129287536335084,78.15520696979331,29.025919433458228,-49.129287536335084,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TP5,TP,test_section,-77.51240681850976,-30.341979325436114,47.170427493073646,77.51240681850976,30.341979325436114,-47.170427493073646,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TP6,TP,left_upper_vertical,-85.65660972897336,-36.885386545374445,48.77122318359892,85.65660972897336,36.885386545374445,-48.77122318359892,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW1,TW,right_vertical,-82.5654417051071,-30.446379037060126,52.11906266804698,82.5654417051071,30.446379037060126,-52.11906266804698,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW10,TW,cooled_incline_hx_active,-24.0768651941367,24.610389341680843,48.687254535817544,24.0768651941367,24.610389341680843,0.5335241475441421,insensitive,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW11,TW,cooled_incline_post_hx,-81.91245394255543,-32.26204570376194,49.65040823879349,81.91245394255543,32.26204570376194,-49.65040823879349,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW2,TW,right_vertical,-87.85910936335051,-33.95726629853675,53.90184306481376,87.85910936335051,33.95726629853675,-53.90184306481376,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW3,TW,right_vertical,-90.04458167578917,-34.477332689079105,55.56724898671007,90.04458167578917,34.477332689079105,-55.56724898671007,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW4,TW,heated_incline,-88.97995704040545,-34.74252080686023,54.237436233545225,88.97995704040545,34.74252080686023,-54.237436233545225,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW5,TW,heated_incline,-109.09380824932663,-57.46011442285385,51.63369382647278,109.09380824932663,57.46011442285385,-51.63369382647278,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW6,TW,heated_incline,-98.32612150303572,-49.099421414387336,49.226700088648386,98.32612150303572,49.099421414387336,-49.226700088648386,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW7,TW,left_lower_vertical,-80.81461106728568,-32.855616733241675,47.95899433404401,80.81461106728568,32.855616733241675,-47.95899433404401,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW8,TW,left_upper_vertical,-78.43118567652232,-30.820672365106816,47.6105133114155,78.43118567652232,30.820672365106816,-47.6105133114155,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_0.5,TW9,TW,cooled_incline_pre_hx,-81.95315020396828,-32.59481614022053,49.35833406374775,81.95315020396828,32.59481614022053,-49.35833406374775,improves,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_2.0,TP1,TP,top_horizontal_exit,-87.92395687812393,-118.13798597735195,-30.214029099228014,87.92395687812393,118.13798597735195,30.214029099228014,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_2.0,TP2,TP,,,,,,,,not_evaluable,train-only sensitivity residual delta; not validation/holdout/external scoring
global_passive_hA_scale_2.0,TP3,TP,left_lower_vertical,-71.99877491658049,-95.40617849198611,-23.407403575405624,71.99877491658049,95.40617849198611,23.407403575405624,worsens,train-only sensitivity residual delta; not validation/holdout/external scoring
