role_row_index,source_family,parent_segment,h_W_m2K,area_m2,hA_W_K,wall_heat_flux_provenance_present,independent_basis_now,admissibility_concern,release_effect
1,cooling_branch,top_horizontal_inlet,4.045201782,0.00814292,0.03293975449468344,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
2,cooling_branch,cooled_incline_pre_hx,4.045201782,0.00814292,0.03293975449468344,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
3,cooling_branch,cooled_incline_post_hx,4.045201782,0.00814292,0.03293975449468344,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
4,cooling_branch,top_horizontal_exit,4.045201782,0.00814292,0.03293975449468344,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
5,downcomer,right_vertical,3.42388628,0.063435,0.2171942261718,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
6,junction,top_horizontal_inlet,9.621920204,0.010619699,0.1021818963684986,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
7,junction,top_horizontal_exit,9.621920204,0.010619699,0.1021818963684986,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
8,junction,bottom_horizontal_inlet,9.621920204,0.010619699,0.1021818963684986,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
9,junction,bottom_horizontal_exit,9.621920204,0.010619699,0.1021818963684986,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
10,lower_leg,heated_incline,3.945999179,0.016563776,0.06536064649713991,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
11,upcomer,left_lower_vertical,3.703887805,0.025156559,0.09317707209586298,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
12,upcomer,left_upper_vertical,3.703887805,0.025156559,0.09317707209586298,True,false,"magnitude plausible, but independent physical basis needed before repair/admission",blocks_source_property_release
