source_id,path,exists,required_columns,missing_columns,header_status,row_count,case_counts,read_policy
seeded_release_decision,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/seeded_release_decision.csv,True,case_id;released_interface_face_count;released_trusted_wall_face_count;s11_s12_s15_s6_trigger;same_qoi_uq_ready;sampler_ready;seed_cell_count;source_bounded_cv_release_status;surface_preflight_ready;unclassified_escape_face_count,,pass,3,salt_2:1;salt_3:1;salt_4:1,streamed_header_and_counts_only
seeded_recirc_cv_cells,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/seeded_recirc_cv_cells.csv,True,case_id;cell_id;cv_role;release_status,,pass,116640,salt_2:38880;salt_3:38880;salt_4:38880,streamed_header_and_counts_only
seeded_exchange_interface_faces,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/seeded_exchange_interface_faces.csv,True,adjacent_core_cell;area_m2;case_id;face_id;normal_convention;release_status;seed_owner_cell,,pass,116640,salt_2:38880;salt_3:38880;salt_4:38880,streamed_header_and_counts_only
seeded_trusted_wall_faces,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/seeded_trusted_wall_faces.csv,True,area_m2;case_id;face_id;normal_convention;owner;patch_name;release_status,,pass,116640,salt_2:38880;salt_3:38880;salt_4:38880,streamed_header_and_counts_only
seeded_wall_core_band,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/seeded_wall_core_band.csv,True,band_id;case_id;core_basis;released;thermal_reduction_allowed;wall_basis,,pass,3,salt_2:1;salt_3:1;salt_4:1,streamed_header_and_counts_only
seeded_normal_convention,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/seeded_normal_convention.csv,True,case_id;normal_convention;positive_flux_convention;released;surface_lane,,pass,3,salt_2:1;salt_3:1;salt_4:1,streamed_header_and_counts_only
seeded_source_sink_boundary_ledger,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/seeded_source_sink_boundary_ledger.csv,True,Q_wall_W_released;blocking_reason;boundary_lane;case_id;released;source_sink_terms_released,,pass,291,salt_2:97;salt_3:97;salt_4:97,streamed_header_and_counts_only
surface_contract,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/surface_contract.csv,True,area_m2;case_id;consumer;face_count;normal_convention;release_status;surface_lane,,pass,9,salt_2:3;salt_3:3;salt_4:3,streamed_header_and_counts_only
seeded_summary,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_source_bounded_cv_rerun_from_geometry_seed/summary.json,True,,,not_csv_checked,,,existence_only
cell_vtk_manifest,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_three_case_cell_vtk_manifest/case_vtk_input_manifest.cells_populated.csv,True,,,not_csv_checked,,,existence_only
cell_volume_validation,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volume_export_validation.csv,True,,,not_csv_checked,,,existence_only
static_source_sink_summary,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,True,,,not_csv_checked,,,existence_only
sampler_manifest_template,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_sampler_reusable_harvest_scaffold/case_vtk_input_manifest.template.csv,True,,,not_csv_checked,,,existence_only
