case_id,input_name,path,exists,blocks_surface_extraction,blocks_sampler_or_harvest,blocking_reason
salt_2,cell_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt2_smoke/vtk/salt_2_cell_fields.vtk,true,false,true,
salt_2,volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_2_cell_volumes.csv,true,false,true,
salt_2,recirc_cell_mask,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_2_seeded_recirc_cell_mask.csv,true,false,true,
salt_2,exchange_interface_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_2_seeded_exchange_interface_faces.csv,true,false,true,
salt_2,trusted_wall_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_2_seeded_trusted_wall_faces.csv,true,false,true,
salt_2,wall_core_band_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/bands/salt_2_seeded_wall_core_band.csv,true,false,true,
salt_2,classified_cap_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_2_classified_seed_cap_faces.csv,true,false,true,
salt_2,source_sink_summary_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,true,false,true,
salt_3,cell_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_3_cell_fields.vtk,true,false,true,
salt_3,volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_3_cell_volumes.csv,true,false,true,
salt_3,recirc_cell_mask,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_3_seeded_recirc_cell_mask.csv,true,false,true,
salt_3,exchange_interface_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_3_seeded_exchange_interface_faces.csv,true,false,true,
salt_3,trusted_wall_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_3_seeded_trusted_wall_faces.csv,true,false,true,
salt_3,wall_core_band_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/bands/salt_3_seeded_wall_core_band.csv,true,false,true,
salt_3,classified_cap_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_3_classified_seed_cap_faces.csv,true,false,true,
salt_3,source_sink_summary_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,true,false,true,
salt_4,cell_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_4_cell_fields.vtk,true,false,true,
salt_4,volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_4_cell_volumes.csv,true,false,true,
salt_4,recirc_cell_mask,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_4_seeded_recirc_cell_mask.csv,true,false,true,
salt_4,exchange_interface_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_4_seeded_exchange_interface_faces.csv,true,false,true,
salt_4,trusted_wall_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_4_seeded_trusted_wall_faces.csv,true,false,true,
salt_4,wall_core_band_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/bands/salt_4_seeded_wall_core_band.csv,true,false,true,
salt_4,classified_cap_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_4_classified_seed_cap_faces.csv,true,false,true,
salt_4,source_sink_summary_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,true,false,true,
