requirement_id,field_or_group,needed_for,phase4_status,next_extraction_task,source_paths
topology_signed_paths,branch topology and signed path mdot,distinguish MF-03 from MF-04,not_cleared_for_admission,If absent do not open signed-flow implementation; route local reverse flow to diagnostic/MF-04 review.,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/model_form_candidates.csv
local_reverse_flow,RAF/RMF/SVF,distinguish one-stream from exchange-cell,not_cleared_for_admission,If absent ordinary admission is blocked; row may remain diagnostic-only.,work_products/2026-07/2026-07-16/2026-07-16_recirc_feature_admission_and_hybrid_contract/recirculation_feature_admission_table.csv
pressure_basis,static p and p_rgh basis,pressure_residual,partial_or_missing_same_window_pressure_basis_for_exchange,If absent pressure residual cannot be scored or fit.,reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md
kinetic_basis,velocity and density basis,pressure_residual,not_cleared_for_admission,If near-zero or cancellation-dominated return no-fit diagnostic status.,work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/paper_methods_pressure_basis.md
straight_development_subtraction,Delta_p_straight and Delta_p_dev,pressure_residual,not_cleared_for_admission,If missing residual is partial only and cannot be admitted.,work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/README.md
recirculation_volume,V_recirc,exchange-cell state,missing_V_recirc,If absent MF-04 remains a conceptual interface with no exchange state.,reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md
exchange_rate,mdot_exchange and tau_recirc,exchange-cell state,missing_mdot_exchange_and_tau_recirc,If absent residence time and exchange energy terms are missing; no coefficient fitting.,work_products/2026-07/2026-07-20/2026-07-20_direct_recirc_model_forms_and_dry_scorers/README.md
thermal_state,T_main and T_recirc,energy_residual,missing_T_recirc_or_same_window_enthalpy_state,If absent energy residual cannot be closed and internal Nu fitting remains blocked.,operational_notes/maps/thermal-closures-and-internal-nu.md
wall_source_terms,Q_wall Q_source Q_sink,energy_residual,not_cleared_for_admission,If absent do not absorb thermal residual into internal Nu or exchange coefficient.,operational_notes/maps/thermal-closures-and-internal-nu.md
split_safe_score,training/held-out role and runtime audit,admission,not_cleared_for_admission,If absent dry interface may be documented but not admitted.,work_products/2026-07/2026-07-17/2026-07-17_upcomer_pipe_cell_hybrid_model/runtime_hybrid_input_audit.csv
same_qoi_uq,mesh/time uncertainty,admission,blocked_missing_same_qoi_UQ,If absent keep diagnostic-only and list blocker.,work_products/2026-07/2026-07-20/2026-07-20_pm10_recirc_hybrid_residual_scorecard/README.md
