candidate_id,case_id,span,property_mode,Re,Pr,Ri,Gz,source_envelope_gate,sign_heat_balance_gate,recirculation_gate,pressure_residual_gate,same_qoi_uq_gate,single_stream_developing_allowed,ordinary_internal_Nu_fit_allowed,coefficient_admission_status,blocking_reasons,source_paths
GSSB-001,salt_2,left_lower_leg,jin_viscosity_cp_1560_k_060,68.783683,23.271447,0.39393219,286.41005,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-002,salt_2,left_lower_leg,jin_viscosity_parida_cp_santini_k,68.783683,23.529302,0.39393219,289.58357,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-003,salt_2,left_lower_leg,replication_reis_jadyn,53.091204,51.342315,0.39393219,487.72774,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-004,salt_2,left_lower_leg,shen_celsius_comparison,68.783683,22.140687,0.39393219,272.49338,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-005,salt_2,left_lower_leg,sohal_janz_full,53.091204,55.603727,0.39393219,528.20914,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-006,salt_2,left_upper_leg,jin_viscosity_cp_1560_k_060,64.770238,23.271447,0.44426422,229.79614,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-007,salt_2,left_upper_leg,jin_viscosity_parida_cp_santini_k,64.770238,23.529302,0.44426422,232.34235,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-008,salt_2,left_upper_leg,replication_reis_jadyn,49.993396,51.342315,0.44426422,391.31989,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-009,salt_2,left_upper_leg,shen_celsius_comparison,64.770238,22.140687,0.44426422,218.63034,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-010,salt_2,left_upper_leg,sohal_janz_full,49.993396,55.603727,0.44426422,423.79945,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
