case_key,family,lane,representative_index,time_s
salt1_jin,salt,continuation,1,0.0
salt1_jin,salt,continuation,2,3229.0
salt1_jin,salt,continuation,3,3398.45
salt1_jin,salt,continuation,4,3470.0
salt1_jin,salt,continuation,5,3471.0
salt1_jin,salt,continuation,6,3472.0
salt1_jin,salt,continuation,7,3473.0
salt1_jin,salt,continuation,8,3474.0
salt1_jin,salt,continuation,9,3614.0
salt1_jin,salt,continuation,10,3615.0
salt1_jin,salt,continuation,11,3616.0
salt1_jin,salt,continuation,12,3617.0
salt1_jin,salt,continuation,13,3617.6625
salt1_jin,salt,continuation,14,3753.0
salt1_jin,salt,continuation,15,3754.0
salt1_jin,salt,continuation,16,3755.0
salt1_jin,salt,continuation,17,3756.0
salt1_jin,salt,continuation,18,3756.33125
salt2_cont,salt,continuation,1,5378.0
salt2_cont,salt,continuation,2,5379.0
salt2_cont,salt,continuation,3,5380.0
salt2_cont,salt,continuation,4,5381.0
salt2_cont,salt,continuation,5,5382.0
salt2_cont,salt,continuation,6,5383.0
salt2_cont,salt,continuation,7,5384.0
salt2_cont,salt,continuation,8,5385.0
salt2_cont,salt,continuation,9,5386.0
salt2_cont,salt,continuation,10,5387.0
salt2_cont,salt,continuation,11,5388.0
salt2_cont,salt,continuation,12,5389.0
salt2_cont,salt,continuation,13,5390.0
salt2_cont,salt,continuation,14,5391.0
salt2_cont,salt,continuation,15,5392.0
salt2_cont,salt,continuation,16,5393.0
salt2_cont,salt,continuation,17,5394.0
salt2_cont,salt,continuation,18,5395.0
salt2_cont,salt,continuation,19,5396.0
salt2_cont,salt,continuation,20,5397.0
salt3_cont,salt,continuation,1,5267.0
salt3_cont,salt,continuation,2,5268.0
salt3_cont,salt,continuation,3,5269.0
salt3_cont,salt,continuation,4,5270.0
salt3_cont,salt,continuation,5,5271.0
salt3_cont,salt,continuation,6,5272.0
salt3_cont,salt,continuation,7,5273.0
salt3_cont,salt,continuation,8,5274.0
salt3_cont,salt,continuation,9,5275.0
salt3_cont,salt,continuation,10,5276.0
salt3_cont,salt,continuation,11,5277.0
salt3_cont,salt,continuation,12,5278.0
salt3_cont,salt,continuation,13,5279.0
salt3_cont,salt,continuation,14,5280.0
salt3_cont,salt,continuation,15,5281.0
salt3_cont,salt,continuation,16,5282.0
salt3_cont,salt,continuation,17,5283.0
salt3_cont,salt,continuation,18,5284.0
salt3_cont,salt,continuation,19,5285.0
salt3_cont,salt,continuation,20,5286.0
salt4_cont,salt,continuation,1,8104.0
salt4_cont,salt,continuation,2,8105.0
salt4_cont,salt,continuation,3,8106.0
salt4_cont,salt,continuation,4,8107.0
salt4_cont,salt,continuation,5,8108.0
salt4_cont,salt,continuation,6,8109.0
salt4_cont,salt,continuation,7,8110.0
