case_id,split_role,physical_role,residual_owner,setup_value_W,diagnostic_heat_to_fluid_W,diagnostic_minus_setup_W,runtime_allowed_now,release_status,quality_flags,claim_boundary
salt_1,train,cooler,cooler_hx_removal,-103.16215407994024,0.0,103.16215407994024,False,diagnostic_accounting_only,,source/sink residual decomposition only; no runtime source release or fit
salt_1,train,heater,heater_source_storage_gap,232.30000000000004,0.0,-232.30000000000004,False,diagnostic_accounting_only,,source/sink residual decomposition only; no runtime source release or fit
salt_1,train,test_section,test_section_source_loss,37.0,0.0,-37.0,False,diagnostic_accounting_only,,source/sink residual decomposition only; no runtime source release or fit
salt_2,train,cooler,cooler_hx_removal,-104.07353581998868,-136.3507,-32.27716418001131,False,diagnostic_accounting_only,coarse_no_gci;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
salt_2,train,heater,heater_source_storage_gap,265.7,243.5191,-22.18089999999998,False,diagnostic_accounting_only,coarse_no_gci;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
salt_2,train,test_section,test_section_source_loss,37.0,-5.6798,-42.6798,False,diagnostic_accounting_only,coarse_no_gci;high_recirculation_endpoint_temperature;intended_input_actual_net_sink;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
salt_3,validation,cooler,cooler_hx_removal,-114.57817713779176,-150.7696,-36.19142286220824,False,diagnostic_accounting_only,coarse_no_gci;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
salt_3,validation,heater,heater_source_storage_gap,297.5,273.1554,-24.344600000000014,False,diagnostic_accounting_only,coarse_no_gci;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
salt_3,validation,test_section,test_section_source_loss,37.0,-10.545,-47.545,False,diagnostic_accounting_only,coarse_no_gci;high_recirculation_endpoint_temperature;intended_input_actual_net_sink;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
salt_4,holdout,cooler,cooler_hx_removal,-128.1485764924187,-169.2268,-41.0782235075813,False,diagnostic_accounting_only,coarse_no_gci;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
salt_4,holdout,heater,heater_source_storage_gap,337.59999999999997,310.4871,-27.112899999999968,False,diagnostic_accounting_only,coarse_no_gci;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
salt_4,holdout,test_section,test_section_source_loss,37.0,-16.7687,-53.768699999999995,False,diagnostic_accounting_only,coarse_no_gci;high_recirculation_endpoint_temperature;intended_input_actual_net_sink;no_qr_radiation_output,source/sink residual decomposition only; no runtime source release or fit
