priority,gap_id,affected_lanes,current_status,source_evidence_needed,why_it_unblocks,forbidden_inference,release_allowed_now,source_paths
1,qr_separate_radiation_output,radiation;external_convection;test_section;junction_stub_heat,absent_no_qr_output,record qr absence in Phase 3 scoring; implement predictive radiation separately in TODO-1D-RADIATION-CAPABILITY,turns residual ownership into source-backed model basis before any candidate scoring,do not infer qr from emissivity metadata or thermal residual,False,operational_notes/maps/thermal-boundary-and-radiation.md
2,solid_storage_or_wall_energy_time_derivative,heater_source_to_fluid;storage;residual,absent_no_solid_storage_field,keep storage residual owner explicit until a transient/source audit exists,turns residual ownership into source-backed model basis before any candidate scoring,do not tune steady storage from heater imposed-minus-realized diagnostic gap,False,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/patchwise_heat_ledger.csv
3,junction_family_direct_wallHeatFlux,junction_stub_heat,estimated_from_grouped_junction_row_not_new_sampling,future extraction may sample named junction/stub groups directly,turns residual ownership into source-backed model basis before any candidate scoring,do not treat patch-name fractional split as admitted junction-family target,False,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/patchwise_heat_ledger.csv
4,junction_enthalpy_bracketing,junction_stub_heat;residual,not_bracketed_by_available_secmean_surfaces,retain junction/stub heat as diagnostic residual owner,turns residual ownership into source-backed model basis before any candidate scoring,do not assign grouped junction heat to a clean segment enthalpy closure,False,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv
5,contact_layer_isolation,contact_layer_resistance;wall_conduction;insulation_quartz,available_as_metadata_not_independently_isolated,Phase 3 candidates may consume setup metadata only with source/property labels,turns residual ownership into source-backed model basis before any candidate scoring,do not back-calculate contact resistance from held-out residual,False,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_segment_role_audit.csv
6,mf13_runtime_legal_source_available,source_property;runtime_formula;passive_wall;test_section,fail_closed,runtime_allowed_now_true,source/property release is prerequisite for runtime-legal heat-path inputs,do not convert diagnostic signs or magnitudes into released source/property inputs,False,work_products/2026-07/2026-07-22/2026-07-22_mf13_signed_source_property_heat_path_release_preflight/source_property_release_gate.csv
7,mf13_source_property_labels_released,source_property;runtime_formula;passive_wall;test_section,fail_closed,source_property_released_now_true,source/property release is prerequisite for runtime-legal heat-path inputs,do not convert diagnostic signs or magnitudes into released source/property inputs,False,work_products/2026-07/2026-07-22/2026-07-22_mf13_signed_source_property_heat_path_release_preflight/source_property_release_gate.csv
8,mf13_cp_basis_released,source_property;runtime_formula;passive_wall;test_section,fail_closed,runtime cp/property lane,source/property release is prerequisite for runtime-legal heat-path inputs,do not convert diagnostic signs or magnitudes into released source/property inputs,False,work_products/2026-07/2026-07-22/2026-07-22_mf13_signed_source_property_heat_path_release_preflight/source_property_release_gate.csv
9,mf13_segment_mapping_released,source_property;runtime_formula;passive_wall;test_section,fail_closed,formula-local source placement and reset kernel,source/property release is prerequisite for runtime-legal heat-path inputs,do not convert diagnostic signs or magnitudes into released source/property inputs,False,work_products/2026-07/2026-07-22/2026-07-22_mf13_signed_source_property_heat_path_release_preflight/source_property_release_gate.csv
10,mf13_passive_basis_released,source_property;runtime_formula;passive_wall;test_section,fail_closed,passive hA/area/material/ambient/insulation basis,source/property release is prerequisite for runtime-legal heat-path inputs,do not convert diagnostic signs or magnitudes into released source/property inputs,False,work_products/2026-07/2026-07-22/2026-07-22_mf13_signed_source_property_heat_path_release_preflight/source_property_release_gate.csv
11,mf13_same_qoi_projection_uq,source_property;runtime_formula;passive_wall;test_section,fail_closed,same-QOI TP projection uncertainty and runtime-legality status,source/property release is prerequisite for runtime-legal heat-path inputs,do not convert diagnostic signs or magnitudes into released source/property inputs,False,work_products/2026-07/2026-07-22/2026-07-22_mf13_signed_source_property_heat_path_release_preflight/source_property_release_gate.csv
12,mf13_admission_release_allowed,source_property;runtime_formula;passive_wall;test_section,fail_closed,separate admission/release row after all upstream gates pass,source/property release is prerequisite for runtime-legal heat-path inputs,do not convert diagnostic signs or magnitudes into released source/property inputs,False,work_products/2026-07/2026-07-22/2026-07-22_mf13_signed_source_property_heat_path_release_preflight/source_property_release_gate.csv
13,mf15_candidate_reviewable_now,wall_profile;bulk_to_TP;passive_boundary,fail_closed,"same-QOI UQ, source/property conservation, runtime basis",runtime wall/profile operators need source-bounded basis before correction release,do not release D3/MF15 diagnostic wall-profile correction as runtime input,False,work_products/2026-07/2026-07-22/2026-07-22_mf15_runtime_wall_profile_basis_gate/wall_profile_release_gate.csv
14,mf15_same_qoi_uq_executed,wall_profile;bulk_to_TP;passive_boundary,fail_closed,execute separate same-QOI UQ/production gate,runtime wall/profile operators need source-bounded basis before correction release,do not release D3/MF15 diagnostic wall-profile correction as runtime input,False,work_products/2026-07/2026-07-22/2026-07-22_mf15_runtime_wall_profile_basis_gate/wall_profile_release_gate.csv
15,mf15_runtime_temperature_release,wall_profile;bulk_to_TP;passive_boundary,fail_closed,runtime wall and bulk state use boundary,runtime wall/profile operators need source-bounded basis before correction release,do not release D3/MF15 diagnostic wall-profile correction as runtime input,False,work_products/2026-07/2026-07-22/2026-07-22_mf15_runtime_wall_profile_basis_gate/wall_profile_release_gate.csv
