path,type,date,task,status,tags,provenance,related,role,has_frontmatter
.agent/journal/README.md,journal,,,,,,,,False
.agent/status/README.md,status,,,,,,,,False
operational_notes/05-26/29/2026-05-29_case_run_state_checkpoint.md,operational_note,2026-05-29,,,,,,,False
operational_notes/05-26/29/2026-05-29_workspace_status.md,operational_note,2026-05-29,,,,,,,False
operational_notes/06-26/01/2026-06-01_modern_runs_first_batch_extraction_summary.md,operational_note,2026-06-01,,all,,,,,False
operational_notes/06-26/01/2026-06-01_modern_runs_second_audit_and_stage_plan.md,operational_note,2026-06-01,,,,,,,False
operational_notes/06-26/01/2026-06-01_modern_runs_source_inventory.md,operational_note,2026-06-01,,,,,,,False
operational_notes/06-26/01/2026-06-01_publish_handoff_gate.md,operational_note,2026-06-01,,,,,,,False
operational_notes/06-26/01/2026-06-01_salt2_continuation_runtime_followup.md,operational_note,2026-06-01,,,,,,,False
operational_notes/06-26/01/2026-06-01_salt_test_2_run_assessment.md,operational_note,2026-06-01,,,,,,,False
operational_notes/06-26/01/2026-06-01_salt_test_2_setup_dossier.md,operational_note,2026-06-01,,,,,,,False
operational_notes/06-26/01/2026-06-01_todo.md,operational_note,2026-06-01,,,,,,,False
reports/2026-06/2026-06-01/2026-06-01_weekly_status/README.md,report,2026-06-01,,,,,,,False
operational_notes/06-26/02/2026-06-02_todo.md,operational_note,2026-06-02,,,,,,,False
reports/2026-06/2026-06-02/2026-06-02_ethan_1d_model_discrepancy_report/README.md,report,2026-06-02,,,,,,,False
reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/README.md,report,2026-06-02,,,,,,,False
reports/2026-06/2026-06-02/2026-06-02_ethan_closure_and_visualization_scaffold/README.md,report,2026-06-02,,,,,,,False
reports/2026-06/2026-06-02/2026-06-02_kirst_visualization_campaign/README.md,report,2026-06-02,,,,,,,False
reports/2026-06/2026-06-02/2026-06-02_water_laminar_claim_audit/README.md,report,2026-06-02,,,,,,,False
operational_notes/06-26/04/2026-06-04_todo.md,operational_note,2026-06-04,,,,,,,False
reports/2026-06/2026-06-04/2026-06-04_all_salt_behavior_package/README.md,report,2026-06-04,,,,,,,False
reports/2026-06/2026-06-04/2026-06-04_ethan_case_metadata_index/README.md,report,2026-06-04,,,,,,,False
reports/2026-06/2026-06-04/2026-06-04_ethan_direct_validation/README.md,report,2026-06-04,,,,,,,False
reports/2026-06/2026-06-04/2026-06-04_ethan_essential_steadiness_audit/README.md,report,2026-06-04,,,,,,,False
reports/2026-06/2026-06-04/2026-06-04_ethan_runtime_and_hypothesis_matrix/README.md,report,2026-06-04,,,,,,,False
reports/2026-06/2026-06-04/2026-06-04_ethan_section_transport_package/README.md,report,2026-06-04,,,,,,,False
reports/2026-06/2026-06-04/2026-06-04_ethan_transient_axial_package/README.md,report,2026-06-04,,,,,,,False
reports/2026-06/2026-06-04/2026-06-04_salt2_behavior_package/README.md,report,2026-06-04,,,,,,,False
operational_notes/06-26/05/2026-06-05_todo.md,operational_note,2026-06-05,,,,,,,False
reports/2026-06/2026-06-05/2026-06-05_ethan_continuation_diagnosis/README.md,report,2026-06-05,,,,,,,False
reports/2026-06/2026-06-05/2026-06-05_ethan_convergence_and_salt1_campaign/README.md,report,2026-06-05,,,,,,,False
reports/2026-06/2026-06-05/2026-06-05_ethan_wall_loss_resistance_coupling/README.md,report,2026-06-05,,,,,,,False
reports/2026-06/2026-06-05/2026-06-05_water_laminar_claim_audit/README.md,report,2026-06-05,,,,,,,False
operational_notes/06-26/07/2026-06-07_runtime_operator_reference.md,operational_note,2026-06-07,,,,,,,False
operational_notes/06-26/07/2026-06-07_todo.md,operational_note,2026-06-07,,,,,,,False
operational_notes/06-26/08/2026-06-08_presentation_package_todo.md,operational_note,2026-06-08,,,,,,,False
operational_notes/06-26/08/2026-06-08_render_only_figure_refresh_todo.md,operational_note,2026-06-08,AGENT-073,,,,,,False
operational_notes/06-26/08/2026-06-08_rendering_and_runner_todo.md,operational_note,2026-06-08,AGENT-073,,,,,,False
operational_notes/06-26/08/2026-06-08_salt34_field_slice_refresh_todo.md,operational_note,2026-06-08,,,,,,,False
operational_notes/06-26/08/2026-06-08_todo.md,operational_note,2026-06-08,AGENT-073,,,,,,False
reports/2026-06/2026-06-08/2026-06-08_ethan_presentation_figure_package/README.md,report,2026-06-08,,,,,,,False
reports/2026-06/2026-06-08/2026-06-08_sponsor_salt_status_deck/README.md,report,2026-06-08,,,,,,,False
