candidate_case_names,case_key,claimed_latest_time_s,claimed_representative_count,classification,family,lane,on_disk_max_time_s,on_disk_time_count,representative_times_present_on_disk,representative_times_total,resolved_staged_case,resolved_tree
"['viscosity_screening_salt_test_1_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_1_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_1_jin_coarse_mesh', 'viscosity_screening_salt_test_1_kirst_coarse_mesh']",salt1_jin,3756.33125,18,verifiable_on_disk,salt,continuation,4026.15625,60,18,18,viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
"['viscosity_screening_salt_test_2_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_2_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_2_jin_coarse_mesh', 'viscosity_screening_salt_test_2_kirst_coarse_mesh']",salt2_cont,5397.0,20,verifiable_on_disk,salt,continuation,7915.0,67,20,20,viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
"['viscosity_screening_salt_test_3_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_3_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_3_jin_coarse_mesh', 'viscosity_screening_salt_test_3_kirst_coarse_mesh']",salt3_cont,5286.0,20,verifiable_on_disk,salt,continuation,7618.0,66,20,20,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
"['viscosity_screening_salt_test_4_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_4_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_4_jin_coarse_mesh', 'viscosity_screening_salt_test_4_kirst_coarse_mesh']",salt4_cont,8123.0,20,verifiable_on_disk,salt,continuation,10000.0,74,20,20,viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
"['val_water_test_1_coarse_mesh_laminar_continuation', 'val_water_test_1_coarse_mesh_laminar']",water1,8322.0,20,verifiable_on_disk,water,continuation,9615.0,78,20,20,val_water_test_1_coarse_mesh_laminar_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water1/case_stage/val_water_test_1_coarse_mesh_laminar_continuation
"['val_water_test_2_coarse_mesh_laminar_continuation', 'val_water_test_2_coarse_mesh_laminar']",water2,6455.0,20,verifiable_on_disk,water,continuation,7704.0,93,20,20,val_water_test_2_coarse_mesh_laminar_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water2/case_stage/val_water_test_2_coarse_mesh_laminar_continuation
"['val_water_test_3_coarse_mesh_laminar_continuation', 'val_water_test_3_coarse_mesh_laminar']",water3,5901.0,20,verifiable_on_disk,water,continuation,6819.0,78,20,20,val_water_test_3_coarse_mesh_laminar_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water3/case_stage/val_water_test_3_coarse_mesh_laminar_continuation
"['val_water_test_4_coarse_mesh_laminar_continuation', 'val_water_test_4_coarse_mesh_laminar']",water4,4302.0,20,verifiable_on_disk,water,continuation,5039.0,78,20,20,val_water_test_4_coarse_mesh_laminar_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water4/case_stage/val_water_test_4_coarse_mesh_laminar_continuation
"['viscosity_screening_salt_test_2_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_2_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_2_jin_coarse_mesh', 'viscosity_screening_salt_test_2_kirst_coarse_mesh']",salt2_hiq,4914.0,20,unverifiable_here,salt,hiqbal3,7915.0,67,0,20,viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
"['viscosity_screening_salt_test_3_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_3_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_3_jin_coarse_mesh', 'viscosity_screening_salt_test_3_kirst_coarse_mesh']",salt3_hiq,2966.0,20,unverifiable_here,salt,hiqbal3,7618.0,66,0,20,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
"['viscosity_screening_salt_test_4_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_4_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_4_jin_coarse_mesh', 'viscosity_screening_salt_test_4_kirst_coarse_mesh']",salt4_hiq,6191.0,20,unverifiable_here,salt,hiqbal3,10000.0,74,0,20,viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
"['viscosity_screening_salt_test_2_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_2_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_2_jin_coarse_mesh', 'viscosity_screening_salt_test_2_kirst_coarse_mesh']",salt2_loq,4886.0,20,partially_verifiable,salt,loqbal3,7915.0,67,16,20,viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
"['viscosity_screening_salt_test_3_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_3_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_3_jin_coarse_mesh', 'viscosity_screening_salt_test_3_kirst_coarse_mesh']",salt3_loq,2972.0,20,unverifiable_here,salt,loqbal3,7618.0,66,0,20,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
"['viscosity_screening_salt_test_4_jin_coarse_mesh_continuation', 'viscosity_screening_salt_test_4_kirst_coarse_mesh_continuation', 'viscosity_screening_salt_test_4_jin_coarse_mesh', 'viscosity_screening_salt_test_4_kirst_coarse_mesh']",salt4_loq,6197.0,20,unverifiable_here,salt,loqbal3,10000.0,74,0,20,viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
