case_id,face_component_id,cell_count,fraction_of_reverse_candidates,selected_cv_component
salt_2,1,71775,0.527214632,true
salt_2,2,18685,0.137248421,false
salt_2,3,15499,0.113846041,false
salt_2,4,12536,0.0920816806,false
salt_2,5,8600,0.0631702659,false
salt_2,6,2258,0.0165858675,false
salt_2,7,2068,0.0151902453,false
salt_2,8,1999,0.0146834141,false
salt_2,9,1331,0.00977670046,false
salt_2,10,1331,0.00977670046,false
salt_2,11,36,0.000264433671,false
salt_2,12,10,7.34537976e-05,false
salt_2,13,4,2.9381519e-05,false
salt_2,14,2,1.46907595e-05,false
salt_2,15,2,1.46907595e-05,false
salt_2,16,2,1.46907595e-05,false
salt_2,17,2,1.46907595e-05,false
salt_3,1,73349,0.53004726,true
salt_3,2,22029,0.159189779,false
salt_3,3,10833,0.0782833027,false
salt_3,4,10076,0.0728129381,false
salt_3,5,8173,0.0590611496,false
salt_3,6,6823,0.0493055455,false
salt_3,7,2024,0.0146261797,false
salt_3,8,1875,0.0135494501,false
salt_3,9,1515,0.0109479557,false
salt_3,10,1514,0.0109407293,false
salt_3,11,139,0.0010044659,false
salt_3,12,10,7.22637337e-05,false
salt_3,13,6,4.33582402e-05,false
salt_3,14,5,3.61318669e-05,false
salt_3,15,4,2.89054935e-05,false
salt_3,16,2,1.44527467e-05,false
salt_3,17,2,1.44527467e-05,false
salt_3,18,1,7.22637337e-06,false
salt_3,19,1,7.22637337e-06,false
salt_3,20,1,7.22637337e-06,false
salt_4,1,74256,0.530422732,true
salt_4,2,23086,0.164907067,false
salt_4,3,22327,0.159485407,false
salt_4,4,11602,0.0828749804,false
salt_4,5,2552,0.0182293527,false
salt_4,6,1959,0.0139934569,false
salt_4,7,1681,0.0120076575,false
salt_4,8,1665,0.0118933669,false
salt_4,9,417,0.00297869909,false
salt_4,10,203,0.00145006215,false
salt_4,11,114,0.000814320614,false
salt_4,12,84,0.000600025715,false
salt_4,13,29,0.000207151735,false
salt_4,14,4,2.85726531e-05,false
salt_4,15,4,2.85726531e-05,false
salt_4,16,4,2.85726531e-05,false
salt_4,17,3,2.14294898e-05,false
salt_4,18,3,2.14294898e-05,false
salt_4,19,1,7.14316328e-06,false
