bin_index,s_start_m,s_end_m,s_mid_m,bin_width_m,darcy_f_mean,darcy_f_min,darcy_f_max,darcy_f_std,yplus_area_avg_mean,warning_fraction,time_sample_count
0,0.0,0.024989429470290904,0.012494714735145452,0.024989429470290904,nan,nan,nan,nan,nan,0.0,0
1,0.024989429470290904,0.04997885894058181,0.03748414420543636,0.024989429470290904,nan,nan,nan,nan,nan,0.0,0
2,0.04997885894058181,0.07496828841087272,0.06247357367572726,0.02498942947029091,nan,nan,nan,nan,nan,0.0,0
3,0.07496828841087272,0.09995771788116362,0.08746300314601817,0.024989429470290897,nan,nan,nan,nan,nan,0.0,0
4,0.09995771788116362,0.12494714735145451,0.11245243261630906,0.024989429470290897,nan,nan,nan,nan,nan,0.0,0
5,0.12494714735145451,0.14993657682174544,0.13744186208659998,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
6,0.14993657682174544,0.17492600629203633,0.1624312915568909,0.024989429470290897,nan,nan,nan,nan,nan,0.0,0
7,0.17492600629203633,0.19991543576232723,0.18742072102718177,0.024989429470290897,nan,nan,nan,nan,nan,0.0,0
8,0.19991543576232723,0.22490486523261813,0.2124101504974727,0.024989429470290897,nan,nan,nan,nan,nan,0.0,0
9,0.22490486523261813,0.24989429470290903,0.23739957996776356,0.024989429470290897,nan,nan,nan,nan,nan,0.0,0
10,0.24989429470290903,0.27488372417319995,0.2623890094380545,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
11,0.27488372417319995,0.2998731536434909,0.2873784389083454,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
12,0.2998731536434909,0.32486258311378174,0.3123678683786363,0.02498942947029087,nan,nan,nan,nan,nan,0.0,0
13,0.32486258311378174,0.34985201258407267,0.3373572978489272,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
14,0.34985201258407267,0.37484144205436354,0.36234672731921813,0.02498942947029087,nan,nan,nan,nan,nan,0.0,0
15,0.37484144205436354,0.39983087152465446,0.387336156789509,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
16,0.39983087152465446,0.4248203009949454,0.4123255862597999,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
17,0.4248203009949454,0.44980973046523626,0.4373150157300908,0.02498942947029087,nan,nan,nan,nan,nan,0.0,0
18,0.44980973046523626,0.4747991599355272,0.4623044452003817,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
19,0.4747991599355272,0.49978858940581805,0.48729387467067264,0.02498942947029087,nan,nan,nan,nan,nan,0.0,0
20,0.49978858940581805,0.524778018876109,0.5122833041409636,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
21,0.524778018876109,0.5497674483463999,0.5372727336112544,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
22,0.5497674483463999,0.5747568778166908,0.5622621630815454,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
23,0.5747568778166908,0.5997463072869818,0.5872515925518362,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
24,0.5997463072869818,0.6247357367572726,0.6122410220221272,0.024989429470290814,nan,nan,nan,nan,nan,0.0,0
25,0.6247357367572726,0.6497251662275635,0.6372304514924181,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
26,0.6497251662275635,0.6747145956978544,0.6622198809627089,0.024989429470290925,nan,nan,nan,nan,nan,0.0,0
27,0.6747145956978544,0.6997040251681453,0.6872093104329999,0.024989429470290925,0.06712675660180042,0.06711998489597469,0.06712965597452711,3.7185103643590246e-06,0.16453216211730676,1.0,5
28,0.6997040251681453,0.7246934546384363,0.7121987399032907,0.024989429470290925,0.26991253996260434,0.26990564208655954,0.269919936550709,5.593640111891124e-06,0.1430822513076671,1.0,5
29,0.7246934546384363,0.7496828841087271,0.7371881693735817,0.024989429470290814,0.568438201036321,0.5684062850655385,0.5684665280789544,2.1273768292415945e-05,0.17706876154883772,1.0,5
30,0.7496828841087271,0.774672313579018,0.7621775988438726,0.024989429470290925,0.5793279282579531,0.5792556605104543,0.5793757990307008,4.457077613575154e-05,0.17651794636638102,1.0,5
31,0.774672313579018,0.7996617430493089,0.7871670283141634,0.024989429470290925,0.593109624940601,0.5930366261815738,0.5932040187528085,5.619805259779965e-05,0.17615770492159158,1.0,5
32,0.7996617430493089,0.8246511725195999,0.8121564577844544,0.024989429470290925,0.6029700454363578,0.6027355227319879,0.6032622084357464,0.00021202913492964637,0.17557084894360542,1.0,5
33,0.8246511725195999,0.8496406019898908,0.8371458872547453,0.024989429470290925,0.6061175028702388,0.605616311372034,0.6064591693856084,0.0003367980465735055,0.17338962640260647,1.0,5
34,0.8496406019898908,0.8746300314601816,0.8621353167250362,0.024989429470290814,0.6020221246430493,0.6017511300202077,0.6022372638811663,0.00019386859665528137,0.1699863078481413,1.0,5
35,0.8746300314601816,0.8996194609304725,0.8871247461953271,0.024989429470290925,0.5956459891017615,0.5956086127160053,0.5956849697639329,3.1593690942219116e-05,0.16530098902890655,1.0,5
36,0.8996194609304725,0.9246088904007634,0.9121141756656179,0.024989429470290925,0.5854950634408491,0.585350070044835,0.5855904222330962,8.310078502730277e-05,0.15882149680694263,1.0,5
37,0.9246088904007634,0.9495983198710544,0.937103605135909,0.024989429470290925,0.22991955486811722,0.22923356023642077,0.23046988417110673,0.0004747043100763197,0.12187471034522801,1.0,5
