time_s,TP1,TP2,TP3,TP4,TP5,TP6
0.0,451.5,451.5,451.5,451.5,451.5,451.5
1.0,451.54215,451.533404,451.535577,451.538563,451.540811,451.544258
2.0,451.542132,451.533384,451.535558,451.538547,451.540788,451.544243
3.0,451.542121,451.533371,451.535546,451.538538,451.540778,451.544236
4.0,451.542115,451.533364,451.535538,451.538532,451.540773,451.544232
5.0,451.542112,451.533361,451.535532,451.538526,451.540767,451.544228
6.0,451.542111,451.533359,451.535528,451.538518,451.540759,451.544225
7.0,451.542111,451.533358,451.535524,451.538507,451.540748,451.54422
8.0,451.542112,451.533358,451.535521,451.538493,451.540732,451.544214
9.0,451.542114,451.533358,451.535517,451.538474,451.540707,451.544202
10.0,451.542118,451.533358,451.535513,451.538449,451.540671,451.544176
11.0,451.542123,451.533358,451.535501,451.538415,451.540617,451.544116
12.0,451.542128,451.533359,451.535428,451.538369,451.540537,451.543971
13.0,451.54212,451.533358,451.535049,451.53831,451.540421,451.543671
14.0,451.542095,451.53335,451.533511,451.538231,451.540257,451.543157
15.0,451.542045,451.533305,451.529549,451.538127,451.540028,451.542399
16.0,451.541956,451.533111,451.521336,451.537992,451.539724,451.541415
17.0,451.541774,451.532482,451.506355,451.537817,451.53934,451.540219
18.0,451.541429,451.531562,451.482942,451.537593,451.538854,451.538804
19.0,451.540795,451.530684,451.450474,451.537312,451.538241,451.537074
20.0,451.539704,451.530018,451.409831,451.536959,451.537479,451.534952
21.0,451.537863,451.529544,451.364886,451.536523,451.536551,451.532545
22.0,451.534925,451.528764,451.320914,451.53599,451.535435,451.529952
23.0,451.530385,451.527279,451.282348,451.535348,451.53411,451.527107
24.0,451.523733,451.525218,451.254632,451.534583,451.532556,451.523919
25.0,451.51482,451.522741,451.257149,451.533685,451.530755,451.520869
26.0,451.503513,451.519985,451.258617,451.532635,451.528687,451.517455
27.0,451.489691,451.51691,451.195713,451.531416,451.526363,451.513322
28.0,451.474765,451.51348,451.09811,451.530024,451.523701,451.509014
29.0,451.460569,451.509656,450.997162,451.528441,451.520742,451.505032
30.0,451.447083,451.505565,450.952848,451.526669,451.517427,451.500706
31.0,451.432738,451.501096,450.926595,451.524679,451.513885,451.496265
32.0,451.412257,451.496157,450.90366,451.522451,451.510792,451.491728
33.0,451.220469,451.490685,450.880354,451.519993,451.508441,451.487032
34.0,450.958872,451.484733,450.874265,451.517291,451.506312,451.481377
35.0,451.051723,451.478169,450.86568,451.514012,451.504053,451.475148
36.0,451.001939,451.471043,450.816991,451.509902,451.501499,451.468143
37.0,450.897923,451.463399,450.751804,451.506688,451.498595,451.462833
