case_id,section,source_overlap_summary,source_bounded_promotion_status,property_mode_requirement,property_modes_seen,reset_type,hydraulic_reset_status,L_over_D_from_reset,pressure_loss_basis_status,heat_loss_separation_status,internal_Nu_status,single_stream_validity,coefficient_naming_limit,fit_use_status,carryforward_decision,required_next_fields,source_paths
salt_2,lower_leg,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,bend/junction_corner,feature_reset_assumed_for_downstream_development_sensitivity,0,reject_universal_name,envelope_labeled_sensitivity_only,blocked_from_absorbing_external_heat_loss,invalid_single_stream,section_effective_only,fit_target,diagnostic_or_section_effective_only,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_2,right_leg,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,bend/junction_corner,feature_reset_assumed_for_downstream_development_sensitivity,0,candidate_pending_other_gates,missing_heat_loss_row,missing_heat_loss_row,single_stream_plausible,transferable_candidate_pending_mesh_source_envelope,fit_target,single_stream_candidate_but_thermal_fit_blocked,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_2,left_lower_leg,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,connector_expansion_contraction,feature_reset_assumed_for_downstream_development_sensitivity,0,reject_universal_name,missing_heat_loss_row,missing_heat_loss_row,invalid_single_stream,section_effective_only,not_fit_recirculation,diagnostic_or_section_effective_only,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_2,test_section_span,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,no_local_reset_flag_in_pressure_ledger,not_flagged_in_pressure_ledger,4.7396206,candidate_pending_other_gates,missing_heat_loss_row,missing_heat_loss_row,single_stream_plausible,transferable_candidate_pending_mesh_source_envelope,fit_target,single_stream_candidate_but_thermal_fit_blocked,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_2,left_upper_leg,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,bend/junction_corner,feature_reset_assumed_for_downstream_development_sensitivity,0,reject_universal_name,missing_heat_loss_row,missing_heat_loss_row,invalid_single_stream,section_effective_only,not_fit_recirculation,diagnostic_or_section_effective_only,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_2,upper_leg,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,bend/junction_corner,feature_reset_assumed_for_downstream_development_sensitivity,0,reject_universal_name,missing_heat_loss_row,missing_heat_loss_row,invalid_single_stream,section_effective_only,fit_target,diagnostic_or_section_effective_only,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_3,lower_leg,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,bend/junction_corner,feature_reset_assumed_for_downstream_development_sensitivity,0,reject_universal_name,envelope_labeled_sensitivity_only,blocked_from_absorbing_external_heat_loss,invalid_single_stream,section_effective_only,fit_target,diagnostic_or_section_effective_only,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_3,right_leg,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,bend/junction_corner,feature_reset_assumed_for_downstream_development_sensitivity,0,candidate_pending_other_gates,missing_heat_loss_row,missing_heat_loss_row,single_stream_plausible,transferable_candidate_pending_mesh_source_envelope,fit_target,single_stream_candidate_but_thermal_fit_blocked,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_3,left_lower_leg,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,connector_expansion_contraction,feature_reset_assumed_for_downstream_development_sensitivity,0,reject_universal_name,missing_heat_loss_row,missing_heat_loss_row,invalid_single_stream,section_effective_only,not_fit_recirculation,diagnostic_or_section_effective_only,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
salt_3,test_section_span,inside=5;outside=10;unknown=5,gate_or_candidate_rows=10,property_mode_label_required_before_any_fit,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,no_local_reset_flag_in_pressure_ledger,not_flagged_in_pressure_ledger,4.7396206,candidate_pending_other_gates,missing_heat_loss_row,missing_heat_loss_row,single_stream_plausible,transferable_candidate_pending_mesh_source_envelope,fit_target,single_stream_candidate_but_thermal_fit_blocked,property_mode;source_overlap_status;reset_distance;pressure_basis;velocity_basis;heat_path_separation;RAF;RMF;SVF;steady_window;mesh_time_UQ,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_mode_matrix.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
