family,branch,variable,decision,support_status,primary_limitation,explanation
salt_all,lower_leg,effective_htc,internal_only,mixed_with_blocked_cases,thermal_qc_marginal,"salt_all / lower_leg / Effective HTC: support=mixed_with_blocked_cases, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.761, min_abs_delta_t_range=0.051-1.699 K."
salt_all,lower_leg,effective_ua,internal_only,mixed_with_blocked_cases,thermal_qc_marginal,"salt_all / lower_leg / Effective UA': support=mixed_with_blocked_cases, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.761, min_abs_delta_t_range=0.051-1.699 K."
salt_all,lower_leg,thermal_resistance,internal_only,mixed_with_blocked_cases,thermal_qc_marginal,"salt_all / lower_leg / Effective R'_th: support=mixed_with_blocked_cases, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.761, min_abs_delta_t_range=0.051-1.699 K."
salt_all,right_leg,effective_htc,internal_only,all_cases_blocked,thermal_low_usable_fraction,"salt_all / right_leg / Effective HTC: support=all_cases_blocked, sign=stable_net_cooling, usable_fraction_range=0.731-0.731, min_abs_delta_t_range=2.170-3.872 K."
salt_all,right_leg,effective_ua,internal_only,all_cases_blocked,thermal_low_usable_fraction,"salt_all / right_leg / Effective UA': support=all_cases_blocked, sign=stable_net_cooling, usable_fraction_range=0.731-0.731, min_abs_delta_t_range=2.170-3.872 K."
salt_all,right_leg,thermal_resistance,internal_only,all_cases_blocked,thermal_low_usable_fraction,"salt_all / right_leg / Effective R'_th: support=all_cases_blocked, sign=stable_net_cooling, usable_fraction_range=0.731-0.731, min_abs_delta_t_range=2.170-3.872 K."
salt_all,left_lower_leg,effective_htc,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / left_lower_leg / Effective HTC: support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.941-0.941, min_abs_delta_t_range=2.032-4.397 K."
salt_all,left_lower_leg,effective_ua,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / left_lower_leg / Effective UA': support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.941-0.941, min_abs_delta_t_range=2.032-4.397 K."
salt_all,left_lower_leg,thermal_resistance,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / left_lower_leg / Effective R'_th: support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.941-0.941, min_abs_delta_t_range=2.032-4.397 K."
salt_all,test_section_span,effective_htc,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / test_section_span / Effective HTC: support=all_cases_paper_safe, sign=mixed_driver_or_heat_role, usable_fraction_range=1.000-1.000, min_abs_delta_t_range=2.166-3.728 K."
salt_all,test_section_span,effective_ua,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / test_section_span / Effective UA': support=all_cases_paper_safe, sign=mixed_driver_or_heat_role, usable_fraction_range=1.000-1.000, min_abs_delta_t_range=2.166-3.728 K."
salt_all,test_section_span,thermal_resistance,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / test_section_span / Effective R'_th: support=all_cases_paper_safe, sign=mixed_driver_or_heat_role, usable_fraction_range=1.000-1.000, min_abs_delta_t_range=2.166-3.728 K."
salt_all,left_upper_leg,effective_htc,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / left_upper_leg / Effective HTC: support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.949-0.949, min_abs_delta_t_range=2.032-3.716 K."
salt_all,left_upper_leg,effective_ua,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / left_upper_leg / Effective UA': support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.949-0.949, min_abs_delta_t_range=2.032-3.716 K."
salt_all,left_upper_leg,thermal_resistance,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / left_upper_leg / Effective R'_th: support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.949-0.949, min_abs_delta_t_range=2.032-3.716 K."
salt_all,upper_leg,effective_htc,internal_only,mixed_with_blocked_cases,thermal_qc_marginal,"salt_all / upper_leg / Effective HTC: support=mixed_with_blocked_cases, sign=stable_net_cooling, usable_fraction_range=0.947-0.957, min_abs_delta_t_range=0.152-0.431 K."
salt_all,upper_leg,effective_ua,internal_only,mixed_with_blocked_cases,thermal_qc_marginal,"salt_all / upper_leg / Effective UA': support=mixed_with_blocked_cases, sign=stable_net_cooling, usable_fraction_range=0.947-0.957, min_abs_delta_t_range=0.152-0.431 K."
salt_all,upper_leg,thermal_resistance,internal_only,mixed_with_blocked_cases,thermal_qc_marginal,"salt_all / upper_leg / Effective R'_th: support=mixed_with_blocked_cases, sign=stable_net_cooling, usable_fraction_range=0.947-0.957, min_abs_delta_t_range=0.152-0.431 K."
salt_all,upcomer,effective_htc,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / upcomer / Effective HTC: support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.960-0.960, min_abs_delta_t_range=2.032-3.182 K."
salt_all,upcomer,effective_ua,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / upcomer / Effective UA': support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.960-0.960, min_abs_delta_t_range=2.032-3.182 K."
salt_all,upcomer,thermal_resistance,headline_evidence,all_cases_paper_safe,safe_salt_subset,"salt_all / upcomer / Effective R'_th: support=all_cases_paper_safe, sign=stable_net_cooling, usable_fraction_range=0.960-0.960, min_abs_delta_t_range=2.032-3.182 K."
salt1,lower_leg,effective_htc,internal_only,all_cases_blocked,thermal_low_usable_fraction,"salt1 / lower_leg / Effective HTC: support=all_cases_blocked, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.739, min_abs_delta_t_range=0.051-0.124 K."
salt1,lower_leg,effective_ua,internal_only,all_cases_blocked,thermal_low_usable_fraction,"salt1 / lower_leg / Effective UA': support=all_cases_blocked, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.739, min_abs_delta_t_range=0.051-0.124 K."
salt1,lower_leg,thermal_resistance,internal_only,all_cases_blocked,thermal_low_usable_fraction,"salt1 / lower_leg / Effective R'_th: support=all_cases_blocked, sign=mixed_driver_or_heat_role, usable_fraction_range=0.739-0.739, min_abs_delta_t_range=0.051-0.124 K."
