conclusion_id,conclusion_category,family,branch,variable_family,strength_of_evidence,claim_text,supporting_files,supporting_row_subset,caveat,recommended_use,safe_for_model_dependency_construction
C01,stable_salt_only,salt_all,left_lower_leg,"effective_htc,effective_ua,thermal_resistance",strong,"Across all nine Salt cases, left_lower_leg effective thermal metrics remain scrutiny-cleared and can support Salt-only branch dependency work on the left-side return path.",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,salt_all / left_lower_leg / effective_htc (headline_eligible); salt_all / left_lower_leg / effective_ua (headline_eligible); salt_all / left_lower_leg / thermal_resistance (headline_eligible),"These remain effective, support-gated quantities rather than intrinsic closure coefficients.",headline_evidence,yes_salt_only
C02,stable_salt_only,salt_all,test_section_span,"effective_htc,effective_ua,thermal_resistance",strong,"Across all nine Salt cases, test_section_span is the cleanest thermal anchor: all branch rows remain usable and stay comfortably above the current small-delta-T floor.",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,salt_all / test_section_span / effective_htc (headline_eligible); salt_all / test_section_span / effective_ua (headline_eligible); salt_all / test_section_span / thermal_resistance (headline_eligible),"Interpret these as effective transport indicators, not unrestricted local HTC truth.",headline_evidence,yes_salt_only
C03,stable_salt_only,salt_all,left_upper_leg,"effective_htc,effective_ua,thermal_resistance",strong,"Across all nine Salt cases, left_upper_leg remains Salt-only headline-eligible because usable fractions stay high and the minimum driving temperature stays well above the masking floor.",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,salt_all / left_upper_leg / effective_htc (headline_eligible); salt_all / left_upper_leg / effective_ua (headline_eligible); salt_all / left_upper_leg / thermal_resistance (headline_eligible),Still support-gated and branch-specific; do not reinterpret as wall-law closure evidence.,headline_evidence,yes_salt_only
C04,stable_salt_only,salt_all,upcomer,"effective_htc,effective_ua,thermal_resistance",strong,The derived upcomer remains a defensible Salt-only branch surface because all three component spans stay scrutiny-cleared in the Salt family and the derived branch inherits high usable fractions.,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,salt_all / upcomer / effective_htc (headline_eligible); salt_all / upcomer / effective_ua (headline_eligible); salt_all / upcomer / thermal_resistance (headline_eligible),Corners and junctions remain omitted from the upcomer coordinate and must stay omitted in any model mapping.,headline_evidence,yes_salt_only
C05,stable_salt_only,salt_all,right_leg,"effective_htc,effective_ua,thermal_resistance",strong,"Salt right_leg thermal rows remain blocked from headline use even though the mean driving temperature is not small, because usable fraction stays near 0.73 and the failure mode is persistent area-ratio masking.",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,salt_all / right_leg / effective_htc (internal_only); salt_all / right_leg / effective_ua (internal_only); salt_all / right_leg / thermal_resistance (internal_only),Do not promote right_leg thermal behavior without a revised branch support path.,internal_only,no
C06,stable_water_only,water_all,left_lower_leg,"effective_htc,effective_ua,thermal_resistance",strong,"Across all four Water cases, left_lower_leg effective thermal metrics are blocked by small |T_bulk - T_wall| and low usable fraction; this branch should not be used for Water-family HTC, UA', or R'_th fitting.",tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_3_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_4_coarse_mesh_laminar/branch_thermal_summary.csv,water_all / left_lower_leg / effective_htc (excluded); water_all / left_lower_leg / effective_ua (excluded); water_all / left_lower_leg / thermal_resistance (excluded),"The large numerical mean HTC values are denominator-sensitive artifacts, not evidence of stronger local heat transfer.",excluded,no
C07,stable_water_only,water_all,test_section_span,"effective_htc,effective_ua,thermal_resistance",moderate,"Water test_section_span is the cleanest Water thermal branch, but it remains supporting-only rather than headline-safe because the minimum resolved driving temperature stays below the current 0.50 K scrutiny threshold.",tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_3_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_4_coarse_mesh_laminar/branch_thermal_summary.csv,water_all / test_section_span / effective_htc (contextual_only); water_all / test_section_span / effective_ua (contextual_only); water_all / test_section_span / thermal_resistance (contextual_only),"Useful for internal comparison, not yet for Water-family fitting claims.",supporting_only,no
C08,cross_family,cross_family,all_branches,"effective_htc,effective_ua,thermal_resistance",strong,"Across both Salt and Water, effective thermal metrics are not uniformly interpretable branch-by-branch; branch promotion gates are required because support quality and resolved driving temperature vary systematically by branch and family.",tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_3_coarse_mesh_laminar/branch_thermal_summary.csv | tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_4_coarse_mesh_laminar/branch_thermal_summary.csv,cross_family / left_lower_leg / effective_htc (excluded); cross_family / test_section_span / effective_htc (supporting_only); cross_family / upcomer / effective_htc (excluded),"This is a methodological conclusion about interpretability, not a fitted cross-family thermal dependency.",headline_caveated_method,yes_for_method_only
C09,cross_family,cross_family,boundary_layer_landmarks,boundary_layer_context,strong,Boundary-layer landmarks remain contextual evidence only; they can help explain branch behavior but should not be used as headline model evidence or closure targets.,,,The current scrutiny package keeps all boundary-layer rows internal-only by design.,contextual_only,no
C10,cross_family,cross_family,momentum_resistance,momentum_resistance,strong,Momentum resistance should remain a proxy diagnostic rather than a direct model target because it inherits the same branchwise disagreement and support limits as the underlying direct-versus-shear pressure reductions.,,,Use only as a derived consistency check until the direct hydraulic contradictions are resolved more fully.,internal_only,no
