policy_variable,rule_band,threshold_formula,physical_interpretation,fit_use,validation_use,diagnostic_use,invalid_single_stream_coefficients,required_companion_gates,current_evidence_overlap
reverse_area_fraction,0 <= RAF < 0.01,RAF = A(U_axial < 0) / A_total,no material reverse-flow area,fit_candidate_if_all_source_mesh_sign_boundary_gates_pass,validation_candidate,not_required_by_recirculation_policy,none_by_recirculation_policy,mesh_GCI; pressure_definition; sign_convention; heat_balance; setup_only_boundary_inputs,no AGENT-406 PM5 row; no AGENT-409 raw tap proxy
reverse_area_fraction,0.01 <= RAF < 0.05,RAF = A(U_axial < 0) / A_total,weak localized reverse pocket,validation_only_by_default; fit only after explicit uncertainty override,bounded_validation_candidate,onset_diagnostic,do_not_fit_true_Nu_f_D_K_without_override,repeatability; tap_orientation; no pressure recovery; mesh_GCI,no AGENT-406 PM5 row; no AGENT-409 raw tap proxy
reverse_area_fraction,0.05 <= RAF < 0.20,RAF = A(U_axial < 0) / A_total,transition/onset recirculation,no_true_single_stream_fit,section_effective_validation_only,recirculation_onset_and_section_effective_pressure_heat_transfer,Nu; f_D; K for fit labels,label_as_section_effective; do_not_mix_with_low_RAF_fit_rows,no AGENT-406 PM5 row; no AGENT-409 raw tap proxy
reverse_area_fraction,RAF >= 0.20,RAF = A(U_axial < 0) / A_total,material recirculation; no unique single upstream stream,not_fit_admissible_for_true_Nu_f_D_or_component_K,diagnostic_validation_only_for_section_effective_quantities,Nu_section_effective_upcomer_diagnostic; apparent_pressure_gradient; K_section_effective_recirculating_diagnostic,Nu; f_D; K,preserve_diagnostic_label; no promotion without new low-recirculation evidence,all AGENT-406 PM5 rows and all AGENT-409 raw tap proxies
reverse_mass_fraction,0 <= RMF < 0.01,RMF = abs(sum(rho U_axial dA for U_axial < 0)) / sum(abs(rho U_axial) dA),mass transport is effectively single direction,fit_candidate_if_other_gates_pass,validation_candidate,not_required_by_recirculation_policy,none_by_recirculation_policy,same windows/source_paths as thermal and hydraulic extraction,no AGENT-406 PM5 row
reverse_mass_fraction,0.01 <= RMF < 0.05,RMF = abs(reverse_mass_flux) / total_absolute_mass_flux,weak reverse mass transport,validation_only_by_default; fit only after explicit uncertainty override,bounded_validation_candidate,onset_diagnostic,do_not_fit_true_Nu_f_D_K_without_override,repeatability; time-window stability; mesh_GCI,no AGENT-406 PM5 row
reverse_mass_fraction,0.05 <= RMF < 0.20,RMF = abs(reverse_mass_flux) / total_absolute_mass_flux,transition recirculation with material mass exchange,no_true_single_stream_fit,section_effective_validation_only,recirculation_onset_and_mixing_diagnostic,Nu; f_D; K for fit labels,label_as_section_effective,no AGENT-406 PM5 row
reverse_mass_fraction,RMF >= 0.20,RMF = abs(reverse_mass_flux) / total_absolute_mass_flux,material recirculating mass stream,not_fit_admissible_for_true_Nu_f_D_or_component_K,diagnostic_validation_only_for_section_effective_quantities,branch_mixing; upcomer_onset; section_effective_heat_pressure,Nu; f_D; K,no hidden absorption into internal_Nu_or_global_K,all AGENT-406 PM5 rows are near RMF=0.5
secondary_velocity_fraction,SVF < 0.05,SVF = ||U_secondary||_area_mean / ||U||_area_mean,quasi-1D secondary motion if reverse flow is also small,fit_candidate_only_when_RAF_RMF_low,validation_candidate,secondary_flow_monitor,none_if_RAF_RMF_and_other_gates_pass,RAF/RMF low; mesh_GCI; stable pressure/thermal signs,"AGENT-406 mid-plane SVF is low, but RAF/RMF remain material"
secondary_velocity_fraction,0.05 <= SVF < 0.20,SVF = ||U_secondary||_area_mean / ||U||_area_mean,secondary motion can bias 1D coefficient interpretation,validation_only_or_diagnostic_if_recirculating,bounded_validation_candidate,onset_mixing_diagnostic,true_fit_labels_invalid_when_combined_with_material_RAF_or_RMF,tap_orientation; plane_location_review,AGENT-406 inlet rows
