case_id,lane,candidate_source,candidate_id,classification,release_status,blocking_reason,downstream_effect
salt_2,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_right_02_middle,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_2,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_lower_05_straight,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_2,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_upper_05_cooler,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_2,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_left_04_test_section,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_2,exchange_interface,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surface_extraction_contract.csv,upcomer_outlet_proxy,representative_proxy_not_exchange_interface,rejected,explicit plan guard forbids substituting representative upcomer outlet proxy for exchange interface,mdot_exchange_surface_blocked
salt_3,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_right_02_middle,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_3,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_lower_05_straight,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_3,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_upper_05_cooler,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_3,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_left_04_test_section,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_3,exchange_interface,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surface_extraction_contract.csv,upcomer_outlet_proxy,representative_proxy_not_exchange_interface,rejected,explicit plan guard forbids substituting representative upcomer outlet proxy for exchange interface,mdot_exchange_surface_blocked
salt_4,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_right_02_middle,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_4,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_lower_05_straight,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_4,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_upper_05_cooler,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_4,exchange_interface,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,mdot_pipeleg_left_04_test_section,loop_mass_flow_plane_not_exchange_interface,rejected,faceZone measures section mass flow and does not separate main throughflow from recirculation cell,mdot_exchange_surface_blocked
salt_4,exchange_interface,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surface_extraction_contract.csv,upcomer_outlet_proxy,representative_proxy_not_exchange_interface,rejected,explicit plan guard forbids substituting representative upcomer outlet proxy for exchange interface,mdot_exchange_surface_blocked
salt_2,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,lower_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_2,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,right_leg,upcomer_related_wall_span_not_sufficient,blocked,right-leg/upcomer wall span is plausible support context but lacks recirculation-region band definition,wall_vtk_and_Q_wall_W_blocked
salt_2,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,left_lower_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_2,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,test_section_span,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_2,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,left_upper_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_2,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,upper_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_3,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,lower_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_3,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,right_leg,upcomer_related_wall_span_not_sufficient,blocked,right-leg/upcomer wall span is plausible support context but lacks recirculation-region band definition,wall_vtk_and_Q_wall_W_blocked
salt_3,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,left_lower_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_3,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,test_section_span,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_3,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,left_upper_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_3,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,upper_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_4,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,lower_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_4,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,right_leg,upcomer_related_wall_span_not_sufficient,blocked,right-leg/upcomer wall span is plausible support context but lacks recirculation-region band definition,wall_vtk_and_Q_wall_W_blocked
salt_4,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,left_lower_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_4,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,test_section_span,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_4,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,left_upper_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
salt_4,wall_core_band,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,upper_leg,known_wall_span_not_recirc_band,blocked,wall patches are known but not connected to an approved recirculation cell region,wall_vtk_and_Q_wall_W_blocked
