residual_family,lane,scorecard_columns,definition,admission_use,guardrail
pressure,buoyancy_drive,"dp_buoyancy_pred_Pa; dp_buoyancy_target_or_diag_Pa; dp_buoyancy_residual_Pa","loop integral of rho(T,p,property lane) g dz over the solved 1D field","predictive term if computed from setup and solved temperatures","do not reduce to a global mdot-only drive term"
pressure,straight_developing_loss,"dp_straight_dev_pred_Pa; fD_reference; development_status","distributed and developing straight-section loss with reset distance and source status","fit only on admitted single-stream rows with same-QOI uncertainty","do not fit F6 from recirculating upcomer/corner rows"
pressure,section_cluster_loss,"dp_section_cluster_pred_Pa; K_section; K_cluster; coefficient_type","additional local loss after hydrostatic, kinetic, and straight/developing corrections","diagnostic unless component isolation, recovery, velocity basis, and source envelope pass","do not call section/cluster rows universal component K"
pressure,recirculation_effective_residual,"dp_recirc_effective_Pa; reverse_area_fraction; reverse_mass_fraction; invalid_single_stream_flag","section-effective residual where local exchange invalidates one bulk stream","model-form diagnostic or hybrid candidate only after guard lane","do not clip negative K or hide in global multiplier"
thermal,heater_transfer,"Q_heater_to_fluid_pred_W; eta_heater; heater_residual_W","electrical/setup heater power transferred to fluid or wall according to admitted source contract","heater efficiency currently admitted as boundary evidence, not broad final freeze","do not use realized scored-row heater heat at runtime"
thermal,cooler_hx_removal,"Q_cooler_pred_W; UA_or_NTU; cooler_residual_W","setup-facing cooler/HX removal model","cooler/HX UA currently admitted as boundary evidence","do not use imposed CFD cooler duty at runtime"
thermal,passive_wall_external,"Q_passive_wall_pred_W; drive_temperature_selector; external_bc_id; passive_residual_W","wall/layer/external convection/radiation resistance network outside active source/sink regions","blocked until wall/test-section/passive-boundary thermal-shape gate passes","do not absorb passive-wall residual into internal Nu"
thermal,test_section_source_loss,"Q_test_section_deposition_W; Q_quartz_external_loss_W; Q_test_section_net_W; test_section_residual_W","bare-quartz source/loss balance retained as physical middle upcomer span","blocked until setup-only coupled candidate passes held-out gates","do not delete test section or use realized net test-section heat"
thermal,junction_stub_heat,"Q_junction_stub_pred_W; junction_stub_residual_W","local junction/stub/connector heat ownership lane","diagnostic or future setup-facing model depending on geometry/material ownership","do not smear junction/stub heat into ordinary pipe UA"
thermal,internal_nu_htc,"Nu_internal_candidate; h_internal_candidate; Nu_admission_status","internal convection candidate or diagnostic reference","fit only after sign, heat-balance, recirculation, source-envelope, and same-QOI UQ gates","do not let Nu absorb heater, cooler, passive, radiation, or storage error"
thermal,unresolved_thermal_residual,"Q_unresolved_W; residual_owner_label; blocker_id","remaining imbalance after declared heat lanes are evaluated","diagnostic until a physical lane is admitted","residual is not a closure"

