case_key,model_form_id,model_form_label,allowed_label,forbidden_labels,target_status,residual_metric,residual_value,diagnostic_score,residual_weighted_score,score_use,fit_allowed_now,model_selection_allowed_now,runtime_input_allowed_now,blockers,source_paths
salt2_lo10q,PM10-RD1,recirculation severity diagnostic,regime_diagnostic,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-21.62557275,1,21.62557275,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt2_lo10q,PM10-MP1,wall-bulk mixing penalty proxy,mixing_penalty,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-21.62557275,5.411261636,117.0216322,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt2_lo10q,PM10-SL1,outlet section-effective loss proxy,section_effective_loss,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-21.62557275,0.3724312966,8.054040099,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt2_lo10q,PM10-PG1,plane severity gradient proxy,regime_diagnostic,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-21.62557275,0,0,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt2_hi10q,PM10-RD1,recirculation severity diagnostic,regime_diagnostic,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-18.91721582,1,18.91721582,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt2_hi10q,PM10-MP1,wall-bulk mixing penalty proxy,mixing_penalty,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-18.91721582,5.039914124,95.3411432,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt2_hi10q,PM10-SL1,outlet section-effective loss proxy,section_effective_loss,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-18.91721582,0.3803305697,7.19479547,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt2_hi10q,PM10-PG1,plane severity gradient proxy,regime_diagnostic,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-18.91721582,0,0,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt4_lo10q,PM10-RD1,recirculation severity diagnostic,regime_diagnostic,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-16.30045143,1,16.30045143,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
salt4_lo10q,PM10-MP1,wall-bulk mixing penalty proxy,mixing_penalty,single_stream_Nu;single_stream_f_D;component_K,residual_target_available,pm10_pressure_partial_residual_pa,-16.30045143,4.257801388,69.40408472,residual_weighted_candidate_ranking_only,no,no,no,split_policy_update_and_mesh_time_uq_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_window_residual_targets/pm10_same_window_residual_targets.csv
