case_key,latest,smoke_T,counts,ok
salt1_jin_lo10q_corrected,3756.33125,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt1_jin_lo10q_corrected/3756.33125/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt1_jin_hi10q_corrected,3756.33125,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt1_jin_hi10q_corrected/3756.33125/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt2_jin_lo10q_corrected,7915,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt2_jin_lo10q_corrected/7915/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt2_jin_lo5q_corrected,7915,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt2_jin_lo5q_corrected/7915/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt2_jin_hi5q_corrected,7915,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt2_jin_hi5q_corrected/7915/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt2_jin_hi10q_corrected,7915,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt2_jin_hi10q_corrected/7915/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt3_jin_lo10q_corrected,7618,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt3_jin_lo10q_corrected/7618/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt3_jin_lo5q_corrected,7618,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt3_jin_lo5q_corrected/7618/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt3_jin_hi5q_corrected,7618,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt3_jin_hi5q_corrected/7618/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt3_jin_hi10q_corrected,7618,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt3_jin_hi10q_corrected/7618/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt4_jin_lo10q_corrected,10000,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt4_jin_lo10q_corrected/10000/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt4_jin_lo5q_corrected,10000,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt4_jin_lo5q_corrected/10000/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt4_jin_hi5q_corrected,10000,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt4_jin_hi5q_corrected/10000/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
salt4_jin_hi10q_corrected,10000,work_products/2026-07-04_salt_perturbation_bc_audit/restart_field_smoke/salt4_jin_hi10q_corrected/10000/T,"{'pipeleg_lower_04_straight': '64', 'pipeleg_lower_05_straight': '64', 'pipeleg_lower_06_straight': '64', 'pipeleg_upper_04_reducer': '64', 'pipeleg_upper_05_cooler': '64', 'pipeleg_upper_06_reducer': '64'}",True
