equation_id,lane,equation_or_definition,variables,allowed_use,blocked_use,admission_dependency,primary_source
loop_pressure_root,hydraulics,"Find mdot such that dp_buoyancy(mdot,T) - dp_losses(mdot,T) - dp_residual = 0.","mdot, density, branch temperatures, elevation, distributed losses, minor losses, reset/development terms",Predictive mdot solve after closure terms are declared from setup or trained rows.,Do not supply CFD mdot as a runtime input in predictive modes.,Hydraulic gate and train/validation/holdout split.,work_products/2026-07/2026-07-14/2026-07-14_predictive_h1_hydraulic_scorecard/README.md
distributed_pressure_loss,hydraulics,dp_dist = f_D * (L/D_h) * (rho * v_bulk^2 / 2).,"f_D, L, D_h, rho, v_bulk",Straight-section or branchwise pressure-loss attribution when tap/plane placement is fit-safe.,"Do not hide component, cluster, reset, or recirculation loss in one global f_D.",Pressure ledger fit-safety and coefficient-naming gate.,operational_notes/maps/pressure-and-momentum-budget.md
minor_or_component_loss,hydraulics,dp_K = K_local * (rho * v_bulk^2 / 2).,"K_local, rho, v_bulk",Named fitting/component/cluster diagnostics or localized trained terms with declared provenance.,Do not promote branch-apparent or aggregate K as universal localized H1 closure.,Named-loss/reset gate and localized Fluid support.,work_products/2026-07/2026-07-14/2026-07-14_predictive_h1_hydraulic_scorecard/README.md
bulk_velocity,geometry_properties,v_bulk = mdot / (rho * A_flow).,"mdot, rho, A_flow",Convert solved or observed mass flow to section dynamic pressure and nondimensional groups.,Do not use CFD mdot-derived v_bulk as a predictive runtime anchor.,Predictive input contract.,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/README.md
reynolds_number,properties,Re = rho * v_bulk * D_h / mu.,"rho, v_bulk, D_h, mu","Property-lane reporting, friction/heat-transfer source-envelope checks.",Do not mix property modes inside one fitted model score.,Property mode declared before fitting or scoring.,work_products/2026-07/2026-07-14/2026-07-14_boundary_hx_wall_radiation_model_form_decision/README.md
prandtl_number,properties,Pr = cp * mu / k.,"cp, mu, k",Heat-transfer source-envelope and sensitivity reporting.,"Do not interpret Nu residuals without declaring cp, mu, and k lane.",Property mode gate.,work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
richardson_number,mixed_convection,Ri = Gr / Re^2.,"Gr, Re",Regime and recirculation diagnostics.,Do not use failed F5 Ri multiplier as production closure.,Upcomer onset and F6/Friction correction gates.,operational_notes/maps/friction-closures.md
segment_heat_balance,thermal,mdot * cp * (T_out - T_in) = Q_heater - Q_cooler - Q_passive - Q_storage - Q_residual.,"mdot, cp, T_in, T_out, Q_heater, Q_cooler, Q_passive, Q_storage, Q_residual",Thermal residual attribution and admission review.,"Do not fit internal Nu to absorb cooler, passive wall, heater efficiency, or storage residuals.","Sign, enthalpy, heat-balance, and thermal mesh gates.",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/README.md
internal_convection,thermal,q_internal = h_i * A_i * (T_wall_i - T_bulk).,"h_i, A_i, T_wall_i, T_bulk",Internal HTC/Nu diagnostic or fit-admissible row only after thermal admission.,Do not use repaired smoke rows as fit targets before admission.,Thermal admission/internal-Nu gate.,work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv
nusselt_number,thermal,Nu = h_i * D_h / k.,"h_i, D_h, k",Dimensionless reporting only for admitted or diagnostic rows with explicit property lane.,Do not call section-effective or recirculating rows universal Nu.,Coefficient-naming and recirculation gates.,work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/coefficient_naming_limits.csv
