source_id,case_label,package_dir,profile_name
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar,salt2_val_case_v1
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh,salt2_jin_case_v1
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh,salt2_kirst_case_v1
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh,salt1_jin_case_v1
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh,salt1_kirst_case_v1
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh,salt3_jin_case_v1
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh,salt3_kirst_case_v1
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh,salt4_jin_case_v1
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh,salt4_kirst_case_v1
val_water_test_1_coarse_mesh_laminar,Water 1,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar,water1_val_case_v1
val_water_test_2_coarse_mesh_laminar,Water 2,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar,water2_val_case_v1
val_water_test_3_coarse_mesh_laminar,Water 3,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_3_coarse_mesh_laminar,water3_val_case_v1
val_water_test_4_coarse_mesh_laminar,Water 4,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_4_coarse_mesh_laminar,water4_val_case_v1
