priority,case_key,label,resubmit_class,why,next_gate_requirement
1,salt2_jin_lo10q_corrected,Salt2 -10Q,extend_continuation,"Clean partial row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
1,salt2_jin_lo5q_corrected,Salt2 -5Q,extend_continuation,"Clean partial row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
1,salt2_jin_hi5q_corrected,Salt2 +5Q,extend_continuation,"Clean partial row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
1,salt2_jin_hi10q_corrected,Salt2 +10Q,extend_continuation,"Clean partial row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
2,salt3_jin_lo10q_corrected,Salt3 -10Q,extend_continuation,"Clean partial low-Q row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
2,salt3_jin_lo5q_corrected,Salt3 -5Q,extend_continuation,"Clean partial low-Q row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
2,salt4_jin_lo10q_corrected,Salt4 -10Q,extend_continuation,"Clean partial row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
2,salt4_jin_lo5q_corrected,Salt4 -5Q,extend_continuation,"Clean partial row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
2,salt4_jin_hi5q_corrected,Salt4 +5Q,extend_continuation,"Clean partial row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
2,salt4_jin_hi10q_corrected,Salt4 +10Q,extend_continuation,"Clean partial row with full 300 s late monitor window and correct mdot direction, but formal gate is too_short.",Run an extended continuation long enough to satisfy the operating-point advance gate and rerun `3280969`-style inventory; do not use until `operating_point_verdict=requalified`.
3,salt1_jin_lo10q_corrected,Salt1 -10Q,extend_continuation_after_salt1_review,"Partial row has full 300 s late monitor window and correct direction, but Salt1 nominal reference remains weak and the formal gate is too_short.",Coordinator must first approve Salt1 reference policy; then run extended continuation and re-gate. Do not use until `operating_point_verdict=requalified`.
4,salt3_jin_hi5q_corrected,Salt3 +5Q,rerun_or_rebuild,"Only ~21 s post-restart evidence from cancelled/superseded high-Q attempt; no usable late window.",Rerun or rebuild from corrected restart before formal re-gate.
4,salt3_jin_hi10q_corrected,Salt3 +10Q,rerun_or_rebuild,"Only ~20 s post-restart evidence from cancelled/superseded high-Q attempt; no usable late window.",Rerun or rebuild from corrected restart before formal re-gate.
5,salt1_jin_hi10q_corrected,Salt1 +10Q,rebuild_before_resubmit,"Early solver End/convergence-monitor stop after ~254 s and Salt1 reference remains weak; not a continuation-quality partial row.",Fix Salt1 high-Q stop/reference policy before rerun or continuation; then re-gate. Do not use until `operating_point_verdict=requalified`.
