case_key,label,q_ratio,pre_gate_state,pre_gate_advance_s,gate_latest_time_s,gate_advance_s,late_window_samples,late_window_drift_pct,late_window_amp_pct,gate_operating_point_verdict,closure_fit_admissible,row_verdict,action
salt1_jin_hi10q_corrected,Salt1 +10Q,1.10,RUNNING,254.259,4010.590,254.259,256,3.920,8.039,too_short,no,excluded_rebuild,"Do not admit. Early solver End/convergence-monitor stop with <300 sample late window; rebuild or rerun with stop condition corrected before any continuation evidence is meaningful."
salt1_jin_lo10q_corrected,Salt1 -10Q,0.90,RUNNING,1683.792,6377.610,2621.279,301,-0.102,0.102,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt2_jin_hi10q_corrected,Salt2 +10Q,1.10,RUNNING,1124.811,9674.572,1759.572,301,0.369,0.381,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt2_jin_hi5q_corrected,Salt2 +5Q,1.05,RUNNING,1195.312,9780.591,1865.591,301,0.196,0.204,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt2_jin_lo10q_corrected,Salt2 -10Q,0.90,RUNNING,1515.902,10291.669,2376.669,301,-0.343,0.354,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt2_jin_lo5q_corrected,Salt2 -5Q,0.95,RUNNING,1517.940,10275.911,2360.911,301,-0.160,0.186,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt3_jin_hi10q_corrected,Salt3 +10Q,1.10,CANCELLED by 890970,19.876,7637.876,19.876,20,2.753,2.759,too_short,no,excluded_rerun,"Do not admit. Superseded/cancelled high-Q attempt has only ~20 s post-restart evidence and no usable late window; rerun or rebuild from corrected restart before re-gate."
salt3_jin_hi5q_corrected,Salt3 +5Q,1.05,CANCELLED by 890970,21.476,7639.476,21.476,22,1.605,1.613,too_short,no,excluded_rerun,"Do not admit. Superseded/cancelled high-Q attempt has only ~21 s post-restart evidence and no usable late window; rerun or rebuild from corrected restart before re-gate."
salt3_jin_lo10q_corrected,Salt3 -10Q,0.90,RUNNING,1159.989,9428.159,1810.159,301,-0.345,0.355,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt3_jin_lo5q_corrected,Salt3 -5Q,0.95,RUNNING,1139.243,9389.171,1771.171,301,-0.136,0.187,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt4_jin_hi10q_corrected,Salt4 +10Q,1.10,RUNNING,967.613,11536.798,1536.798,301,0.057,1.187,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt4_jin_hi5q_corrected,Salt4 +5Q,1.05,RUNNING,879.091,11399.188,1399.188,301,-0.014,1.050,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt4_jin_lo10q_corrected,Salt4 -10Q,0.90,RUNNING,1044.886,11655.042,1655.042,301,-1.013,1.033,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
salt4_jin_lo5q_corrected,Salt4 -5Q,0.95,RUNNING,1079.934,11695.222,1695.222,301,-0.281,0.821,too_short,no,partial_requires_extended_continuation,"Document-only partial evidence: correct direction, full 300 s late window, no special scrutiny. Needs extended continuation and formal re-gate before closure use."
