R_cond_K_W,R_cond_m2K_W,R_cond_m2K_W_max,R_cond_m2K_W_min,Ta_K,Tsur_K,admission_or_score,area_m2,candidate_id,case_id,conductive_heat_in_W,corrected_q_conv_W,corrected_q_rad_W,corrected_q_total_W,emissivity,external_bc_split_role,finite_wall_state_count,hA_W_K,inner_wall_state_T_K,inner_wall_state_T_max_K,inner_wall_state_T_min_K,layer_options,layer_options_count,mapped_wall_state_sensors,naive_inner_surface_q_conv_W,naive_inner_surface_q_rad_W,naive_inner_surface_q_total_W,numeric_q_loss_release,outer_surface_T_K,radiation_reduction_factor,runtime_CFD_mdot_used,runtime_Qwall_used,runtime_imposed_cooler_duty_used,runtime_validation_temperature_used,runtime_wallHeatFlux_used,source_family,source_property_release
31.52306293070151,1.0267591183986717,1.0267591183986717,1.0267591183986717,299.19,299.19,False,0.03257168,PASSIVE-H2-CAND001,salt_2,6.044766797336715,2.361281124736732,3.6834856725999807,6.044766797336713,0.95,train,2,0.131759018,507.6607748655,509.072566673,506.248983058,0.001651 0.03556,1,TW10;TW11,27.467904577977365,102.47933387098738,129.94723844896475,False,317.1112107116397,27.82129292188954,False,False,False,False,False,cooling_branch,False
16.18600328523168,1.0267591183986717,1.0267591183986717,1.0267591183986717,299.19,299.19,False,0.063435,PASSIVE-H2-CAND001,salt_2,11.700583256163307,4.102733410752723,7.597849845410605,11.700583256163327,0.95,train,3,0.217194226,507.4653773653334,507.985917345,507.080063471,0.001651 0.03556,1,TW1;TW2;TW3,45.2362093817215,199.2344726694064,244.47068205112788,False,318.0796983419473,26.22248092856846,False,False,False,False,False,downcomer,False
24.15885333338286,1.0262390023426906,1.0262390023426906,1.0262390023426906,299.19,299.19,False,0.042478796,PASSIVE-H2-CAND001,salt_2,8.254151700055418,5.039594373952839,3.2145573261026192,8.254151700055457,0.95,train,4,0.408727585,510.93079933449997,513.253846688,508.407896429,0.006096001 0.03556,1,TW4;TW5;TW6;TW7,86.54430555795977,137.60377515553338,224.14808071349316,False,311.5199590213683,42.80644617477281,False,False,False,False,False,junction,False
61.97252730118309,1.0264990603706812,1.0267591183986717,1.0262390023426906,299.19,299.19,False,0.016563776,PASSIVE-H2-CAND001,salt_2,3.109194599776653,1.1949104539493762,1.9142841458272672,3.1091945997766435,0.95,train,3,0.065360646,510.15645021666666,512.041652307,508.407896429,0.001651 0.03556 | 0.006096001 0.03556,2,TW4;TW5;TW6,13.788903470488172,53.28811997328189,67.07702344377006,False,317.471802997317,27.837100406143293,False,False,False,False,False,lower_leg,False
20.41783168072381,1.0272847746563953,1.0278104309141192,1.0267591183986717,299.19,299.19,False,0.050313118,PASSIVE-H2-CAND001,salt_2,9.498620006974443,3.5035453487461887,5.995074658228262,9.49862000697445,0.95,train,3,0.186354144,511.931693724,513.253846688,510.972131532,0.001651 0.03556 | 0.0022 0.006096001 0.03556,2,TW7;TW8;TW9,39.645296227046195,164.43343555759324,204.07873178463944,False,317.9904692224402,27.42808804422606,False,False,False,False,False,upcomer,False
31.5230609950899,1.0267591183986717,1.0267591183986717,1.0267591183986717,299.79,299.79,False,0.032571682,PASSIVE-H2-CAND001,salt_3,6.478841075914882,2.5412246770609928,3.937616398853876,6.478841075914868,0.95,validation,2,0.1341047,522.972459566,524.430978992,521.51394014,0.001651 0.03556,1,TW10;TW11,29.929816785360554,117.07500599989147,147.00482278525203,False,318.7395571524413,29.732455917739614,False,False,False,False,False,cooling_branch,False
16.18600328523168,1.0267591183986717,1.0267591183986717,1.0267591183986717,299.79,299.79,False,0.063435,PASSIVE-H2-CAND001,salt_3,12.544782273465044,4.421767482380754,8.123014791084321,12.544782273465074,0.95,validation,3,0.221408988,522.8109258563333,523.336062861,522.429638566,0.001651 0.03556,1,TW1;TW2;TW3,49.378837496673775,227.69384013962267,277.0726776362964,False,319.7610387655119,28.030706085816245,False,False,False,False,False,downcomer,False
24.15885333338286,1.0262390023426906,1.0262390023426906,1.0262390023426906,299.79,299.79,False,0.042478796,PASSIVE-H2-CAND001,salt_3,8.838587951699315,5.416311517130563,3.4222764345687775,8.83858795169934,0.95,validation,4,0.416449962,526.3260619007499,528.67622546,523.777716148,0.006096001 0.03556,1,TW4;TW5;TW6;TW7,94.34093437019693,157.1178680381116,251.45880240830854,False,312.7959119014413,45.9103380577464,False,False,False,False,False,junction,False
61.97252730118309,1.0264990603706812,1.0267591183986717,1.0262390023426906,299.79,299.79,False,0.016563776,PASSIVE-H2-CAND001,salt_3,3.331181460559103,1.2869356940907988,2.0442457664683014,3.3311814605591,0.95,validation,3,0.06664283,525.5426740476665,527.453150251,523.777716148,0.001651 0.03556 | 0.006096001 0.03556,2,TW4;TW5;TW6,15.044797078604052,60.85829191855423,75.90308899715828,False,319.1009400379726,29.770535870398202,False,False,False,False,False,lower_leg,False
20.41783168072381,1.0272847746563953,1.0278104309141192,1.0267591183986717,299.79,299.79,False,0.050313118,PASSIVE-H2-CAND001,salt_3,10.169032000760884,3.7685647558507114,6.40046724491019,10.1690320007609,0.95,validation,3,0.189835359,527.2713372653333,528.67622546,526.279888137,0.001651 0.03556 | 0.0022 0.006096001 0.03556,2,TW7;TW8;TW9,43.184001325564616,187.5931582416368,230.7771595672014,False,319.64175351790345,29.30929119132912,False,False,False,False,False,upcomer,False
