case_id,qoi_id,lane,span,quantity,required_mesh_levels,extraction_or_reconciliation_needed,admission_precondition,source_paths
salt_2,pressure_gradient_friction::left_lower_leg::section_mean_static_gradient,pressure_gradient_friction,left_lower_leg,apparent_darcy_f,no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,exclude from final closure set or produce same-QOI monotone/asymptotic triplet,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,pressure_gradient_friction::left_lower_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,left_lower_leg,apparent_darcy_f,no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,exclude from final closure set or produce same-QOI monotone/asymptotic triplet,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,pressure_gradient_friction::left_upper_leg::section_mean_static_gradient,pressure_gradient_friction,left_upper_leg,apparent_darcy_f,missing_or_unreconciled_mesh_levels=coarse,reconcile missing mesh-level values first; do not compute publication GCI yet,admit pressure source row and same-QOI mesh-level provenance after missing triplet is reconciled,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
salt_2,pressure_gradient_friction::left_upper_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,left_upper_leg,apparent_darcy_f,missing_or_unreconciled_mesh_levels=coarse,reconcile missing mesh-level values first; do not compute publication GCI yet,admit pressure source row and same-QOI mesh-level provenance after missing triplet is reconciled,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
salt_2,pressure_gradient_friction::lower_leg::section_mean_static_gradient,pressure_gradient_friction,lower_leg,apparent_darcy_f,no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,"exclude from final closure set or produce same-QOI monotone/asymptotic triplet; resolve pressure fit-safety, pressure-recovery/noise, tap orientation, straight-loss subtraction, and recirculation gates",work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,lower_leg,apparent_darcy_f,no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,"exclude from final closure set or produce same-QOI monotone/asymptotic triplet; resolve pressure fit-safety, pressure-recovery/noise, tap orientation, straight-loss subtraction, and recirculation gates",work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,pressure_gradient_friction::right_leg::section_mean_static_gradient,pressure_gradient_friction,right_leg,apparent_darcy_f,no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,"exclude from final closure set or produce same-QOI monotone/asymptotic triplet; resolve pressure fit-safety, pressure-recovery/noise, tap orientation, straight-loss subtraction, and recirculation gates",work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,right_leg,apparent_darcy_f,no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,"exclude from final closure set or produce same-QOI monotone/asymptotic triplet; resolve pressure fit-safety, pressure-recovery/noise, tap orientation, straight-loss subtraction, and recirculation gates",work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,pressure_gradient_friction::test_section_span::section_mean_static_gradient,pressure_gradient_friction,test_section_span,apparent_darcy_f,missing_or_unreconciled_mesh_levels=coarse,reconcile missing mesh-level values first; do not compute publication GCI yet,admit pressure source row and same-QOI mesh-level provenance after missing triplet is reconciled,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
salt_2,pressure_gradient_friction::test_section_span::section_mean_total_pressure_gradient,pressure_gradient_friction,test_section_span,apparent_darcy_f,missing_or_unreconciled_mesh_levels=coarse,reconcile missing mesh-level values first; do not compute publication GCI yet,admit pressure source row and same-QOI mesh-level provenance after missing triplet is reconciled,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
